"topic","term","beta"
1,"know",0.0567681310251338
1,"maybe",0.0425760982688503
1,"many",0.0425760982688503
1,"go",0.0283840655125669
1,"watch",0.0283840655125669
1,"oh",0.0283840655125669
1,"haha",0.0283840655125669
1,"channel",0.0283840655125669
1,"get",0.0283840655125669
1,"kristin_rinaldi",0.0283840655125669
1,"lame",0.0283840655125669
1,"moms",0.0283840655125669
1,"real",0.0283840655125669
1,"away",0.0283840655125669
1,"head",0.0283840655125669
1,"run",0.0283840655125669
1,"things",0.0283840655125669
1,"people",0.0283840655125669
2,"lnk.ms",0.0897435241561178
2,"coffee",0.0512820138034959
2,"day",0.0384615103526219
2,"heavily",0.025641006901748
2,"thinking",0.025641006901748
2,"times",0.025641006901748
2,"unbearable",0.025641006901748
2,"weight",0.025641006901748
2,"screen",0.025641006901748
2,"know",0.012820503450874
2,"home",0.012820503450874
2,"just",0.012820503450874
2,"get",0.012820503450874
2,"event",0.012820503450874
2,"42fbff",0.012820503450874
2,"better",0.012820503450874
2,"calendar",0.012820503450874
2,"street",0.012820503450874
2,"thing",0.012820503450874
2,"two",0.012820503450874
2,"way",0.012820503450874
2,"tell",0.012820503450874
2,"fun",0.012820503450874
2,"vkp7i",0.012820503450874
2,"week",0.012820503450874
2,"without",0.012820503450874
2,"ahead",0.012820503450874
2,"cp8n9",0.012820503450874
2,"idea",0.012820503450874
2,"start",0.012820503450874
2,"face",0.012820503450874
2,"invite",0.012820503450874
2,"name",0.012820503450874
2,"put",0.012820503450874
2,"rmyre",0.012820503450874
2,"1zw9w",0.012820503450874
2,"laundry",0.012820503450874
2,"life",0.012820503450874
2,"lol",0.012820503450874
2,"0bfrv",0.012820503450874
2,"hand",0.012820503450874
2,"224qc",0.012820503450874
2,"around",0.012820503450874
2,"computer",0.012820503450874
2,"nothing",0.012820503450874
2,"screwing",0.012820503450874
2,"0fy9t",0.012820503450874
2,"250ql",0.012820503450874
2,"started",0.012820503450874
2,"trying",0.012820503450874
2,"28h6h",0.012820503450874
2,"beautiful",0.012820503450874
2,"dog",0.012820503450874
2,"enjoying",0.012820503450874
2,"walked",0.012820503450874
2,"0mmhh",0.012820503450874
2,"alive",0.012820503450874
2,"leave",0.012820503450874
3,"babes",0.037037037037037
3,"bars",0.037037037037037
3,"hands",0.037037037037037
3,"hereisaheart",0.037037037037037
3,"klondike",0.037037037037037
3,"like",0.037037037037037
3,"really",0.037037037037037
3,"percy",0.037037037037037
3,"snuggle",0.037037037037037
3,"today",0.037037037037037
3,"told",0.037037037037037
3,"totally",0.037037037037037
3,"wants",0.037037037037037
3,"chased",0.037037037037037
3,"chicken",0.037037037037037
3,"court",0.037037037037037
3,"food",0.037037037037037
3,"lady",0.037037037037037
3,"piece",0.037037037037037
3,"practically",0.037037037037037
3,"try",0.037037037037037
3,"twice",0.037037037037037
3,"vegetarian",0.037037037037037
3,"wanted",0.037037037037037
4,"kill",0.0750000000268174
4,"haha",0.0624999996647709
4,"please",0.0500000000178783
4,"hubby",0.0500000000178783
4,"tomorrow",0.0375000000134087
4,"awakening",0.0250000000089391
4,"goodness",0.0250000000089391
