"topic","term","beta"
1,"grand",0.043816325313815
1,"aug",0.0219081626569075
1,"co",0.0219081626569075
1,"jct",0.0219081626569075
1,"really",0.0219081626569075
1,"go",0.0219081626569075
1,"see",0.0219081626569074
1,"can",0.0219081626569073
1,"twitter",0.0219081626569059
1,"well",0.0219081626569044
2,"gjco",0.0310085306153448
2,"kettlewell",0.0232563979615086
2,"internet",0.0232563979613241
2,"fruita",0.0155042653076724
2,"sushi",0.0155042653076724
2,"pain",0.0155042653076724
2,"dark",0.0155042653076724
2,"also",0.0155042653076724
2,"home",0.0155042653076724
2,"watching",0.0155042653076724
2,"yay",0.0155042653076724
3,"day",0.039999934863288
3,"rt",0.0228571056361645
3,"right",0.0228571056361645
3,"wash",0.0171428292271234
3,"like",0.0171428292271234
3,"good",0.0171428292271234
3,"tell",0.0171428292271234
3,"ghostofkeywork",0.0171428292271234
3,"twitter",0.0114285528180823
3,"scrubby",0.0114285528180823
3,"muchuu",0.0114285528180823
3,"gjco",0.0114285528180823
3,"now",0.0114285528180823
3,"business",0.0114285528180823
3,"jasonbooms",0.0114285528180823
3,"plans",0.0114285528180823
3,"feel",0.0114285528180823
3,"sitting",0.0114285528180823
3,"theme",0.0114285528180823
3,"twobears29",0.0114285528180823
3,"little",0.0114285528180823
3,"somebody",0.0114285528180823
4,"rt",0.0535708484719466
4,"class",0.0535708484719466
4,"last",0.0267854242359733
4,"canceled",0.0267854242359733
4,"alex",0.0178569494906489
4,"mountainkhakis",0.0178569494906489
4,"bradtreat",0.0178569494906489
4,"go",0.0178569494906489
4,"please",0.0178569494906489
4,"awesome",0.0178569494906489
4,"today",0.0178569494906489
4,"waking",0.0178569494906489
4,"wtf",0.0178569494906489
5,"throat",0.0195264671386222
5,"week",0.0195264671386222
5,"better",0.0195264671385925
5,"gjco",0.0171696748347783
5,"rt",0.0130176447590815
5,"haha",0.0130176447590815
5,"ed",0.0130176447590815
5,"edkaiwi",0.0130176447590815
5,"fromdreamtime.com",0.0130176447590815
5,"kaiwi",0.0130176447590815
5,"sept",0.0130176447590815
5,"like",0.0130176447590815
5,"good",0.0130176447590815
5,"way",0.0130176447590815
5,"sore",0.0130176447590815
5,"made",0.0130176447590815
5,"muscular",0.0130176447590815
5,"rolfing",0.0130176447590815
5,"therapy",0.0130176447590815
6,"great",0.0283169627699613
6,"hope",0.0283169627699613
6,"broncos",0.0225424379189867
6,"county",0.0188779751799742
6,"day",0.0188779751799742
6,"next",0.0188779751799742
6,"is.gd",0.0188779751799742
6,"talkingdigital",0.0188779751799742
6,"economic",0.0188779751799742
6,"gardening",0.0188779751799742
6,"enjoy",0.0188779751799742
6,"time",0.0188779751799742
7,"broncos",0.0387973598315245
7,"back",0.0310378926863681
7,"gjco",0.0277857463680652
7,"circle",0.0232784195147761
7,"creative",0.0232784195147761
7,"dreamtime",0.0232784195147761
7,"dreamtimers.com",0.0232784195147761
7,"touchdown",0.0232784195147761
7,"via",0.0232784195147179
7,"hey",0.0232784194756849
8,"age",0.0148149467065389
8,"art",0.0148149467065389
8,"crisis",0.0148149467065389
8,"future",0.0148149467065389
8,"part",0.0148149467065389
8,"thank",0.0148149467065389
8,"always",0.0148149467065389
8,"got",0.0148149467065389
8,"lol",0.0148149467065389
8,"wish",0.0148149467065389
8,"went",0.0148149467065389
8,"thing",0.0148149467065389
9,"just",0.0420138400833331
9,"excited",0.0240079086190475
9,"thanks",0.0240078488464814
9,"interesting",0.0180059314642856
9,"broncos",0.0156758063916178
9,"tweetdeck",0.0120039543095238
9,"rt",0.0120039543095238
9,"now",0.0120039543095238
9,"new",0.0120039543095238
9,"good",0.0120039543095238
9,"one",0.0120039543095238
9,"start",0.0120039543095238
9,"love",0.0120039543095238
9,"k1ngb00",0.0120039543095238
9,"big",0.0120039543095238
9,"case",0.0120039543095238
9,"yeah",0.0120039543095238
9,"getting",0.0120039543095238
9,"makes",0.0120039543095238
9,"chiefs",0.0120039543095238
9,"raiders",0.0120039543095238
9,"wow",0.0120039543095238
