"topic","term","beta"
1,"twitpic.com",0.136363636359458
1,"ass",0.0909090909095307
1,"lol",0.0909090909095307
1,"i02j0",0.0454545454547653
1,"newfag",0.0454545454547653
1,"still",0.0454545454547653
1,"body",0.0454545454547653
1,"earlier",0.0454545454547653
1,"meant",0.0454545454547653
1,"non",0.0454545454547653
1,"pumping",0.0454545454547653
1,"speakers",0.0454545454547653
1,"spelling",0.0454545454547653
1,"straight",0.0454545454547653
1,"yo",0.0454545454547653
1,"bad",0.0454545454547653
1,"iwquz",0.0454545454547653
1,"niece",0.0454545454547653
2,"fat",0.111111111111111
2,"way",0.0555555555555556
2,"chubby",0.0555555555555556
2,"face",0.0555555555555556
2,"loves",0.0555555555555556
2,"masks",0.0555555555555556
2,"rough",0.0555555555555556
2,"0b7qk",0.0555555555555556
2,"can",0.0555555555555556
2,"complain",0.0555555555555556
2,"either",0.0555555555555556
2,"gets",0.0555555555555556
2,"jiggles",0.0555555555555556
2,"laugh",0.0555555555555556
2,"life",0.0555555555555556
2,"lnk.ms",0.0555555555555556
2,"road",0.0555555555555556
3,"pic.gd",0.129140603211053
3,"love",0.0797485524175602
3,"ludajuice",0.0797485524175602
3,"rlockman",0.0797485524175602
3,"3b2559",0.0733723149397321
3,"wgmgda.jagj.adgd",0.0265828508058534
3,"look",0.0265828508058534
3,"noooo",0.0265828508058534
3,"new",0.0265828508058534
3,"album",0.0265828508058534
3,"carey's",0.0265828508058534
3,"hot",0.0265828508058534
3,"ilikesit",0.0265828508058534
3,"mariah",0.0265828508058534
3,"e361c",0.0265828508058534
3,"glasses:d",0.0265828508058534
3,"45d514",0.0265828508058534
3,"photo",0.0265828508058534
3,"think",0.0265828508058534
3,"dmx",0.0265828508058534
3,"hell",0.0265828508058534
3,"rough",0.0265828508058534
3,"though",0.0265828508058534
3,"great",0.0265828508058534
3,"h.a.t.e.u",0.0265828508058534
3,"song",0.0265828508058534
4,"just",0.171073074903955
4,"3b2559",0.0530267861402471
4,"pic.gd",0.0488395706134402
4,"everyone",0.0427682687259888
4,"smile",0.0427682687259888
4,"anyone",0.0427682687259888
4,"fun",0.0427682687259888
4,"know",0.0427682687259888
4,"skip",0.0427682687259888
4,"today",0.0427682687259888
4,"concert",0.0427682687259888
4,"dailybooth.com",0.0427682687259888
4,"new",0.0427682687259888
4,"oqir",0.0427682687259888
4,"picture",0.0427682687259888
4,"u",0.0427682687259888
4,"uploaded",0.0427682687259888
4,"check",0.0427682687259888
4,"tweetphoto",0.0427682687259888
4,"voted",0.0427682687259888
5,"like",0.12
5,"varyx",0.08
5,"twitpic.com",0.04
5,"today",0.04
5,"bitches",0.04
5,"pictures",0.04
5,"taken",0.04
5,"ass",0.04
5,"bleachers",0.04
5,"cheerleader",0.04
5,"lyrics",0.04
5,"always",0.04
5,"day",0.04
5,"done",0.04
5,"good",0.04
5,"kicking",0.04
5,"migraine",0.04
5,"pissed",0.04
5,"colors",0.04
5,"iwr3g",0.04
5,"rainbow",0.04
5,"rocking",0.04
6,"awful",0.0740742348339361
6,"god",0.0740742348339361
6,"oh",0.0740742348339361
6,"band",0.0370371174169681
6,"metal",0.0370371174169681
6,"enough",0.0370371174169681
6,"heard",0.0370371174169681
6,"music",0.0370371174169681
6,"tonight",0.0370371174169681
6,"xd",0.0370371174169681
6,"leaving",0.0370371174169681
6,"thank",0.0370371174169681
6,"d",0.0370371174169681
6,"heart",0.0370371174169681
6,"hurts",0.0370371174169681
6,"rejected",0.0370371174169681
6,"iwr01",0.0370371174169681
6,"pow",0.0370371174169681
6,"feeling",0.0370371174169681
6,"im",0.0370371174169681
6,"manaj",0.0370371174169681
6,"nicki",0.0370371174169681
7,"normal",0.0909090909090909
7,"difficulty",0.0454545454545454
7,"mr",0.0454545454545454
7,"talent",0.0454545454545454
7,"warrick",0.0454545454545454
7,"calm",0.0454545454545454
7,"cheese",0.0454545454545454
7,"hlwew",0.0454545454545454
7,"twitpic.com",0.0454545454545454
7,"emily",0.0454545454545454
7,"gotta",0.0454545454545454
7,"loving",0.0454545454545454
7,"mother",0.0454545454545454
7,"way",0.0454545454545454
7,"always",0.0454545454545454
7,"another",0.0454545454545454
7,"itunes",0.0454545454545454
7,"shit",0.0454545454545454
7,"update",0.0454545454545454
7,"updating",0.0454545454545454
7,"wtf",0.0454545454545454
8,"difficulties",0.0434782608695652
8,"technical",0.0434782608695652
8,"keep",0.0434782608695652
8,"later",0.0434782608695652
8,"matter",0.0434782608695652
8,"telling",0.0434782608695652
8,"working",0.0434782608695652
8,"twitpic.com",0.0434782608695652
8,"lol",0.0434782608695652
8,"3n",0.0434782608695652
8,"much",0.0434782608695652
8,"rt",0.0434782608695652
8,"talk",0.0434782608695652
8,"tl.gd",0.0434782608695652
8,"twitlonger",0.0434782608695652
8,"twitter",0.0434782608695652
8,"usherraymondiv",0.0434782608695652
8,"alot",0.0434782608695652
8,"area",0.0434782608695652
8,"ix35s",0.0434782608695652
8,"queenofblending",0.0434782608695652
8,"small",0.0434782608695652
8,"wow",0.0434782608695652
9,"d",0.0666666666666667
9,"like",0.0666666666666667
9,"ass",0.0666666666666667
9,"crazy",0.0666666666666667
9,"gaga",0.0666666666666667
9,"hill",0.0666666666666667
9,"lady",0.0666666666666667
9,"look",0.0666666666666667
9,"made",0.0666666666666667
9,"monster",0.0666666666666667
9,"red",0.0666666666666667
9,"silent",0.0666666666666667
9,"thing",0.0666666666666667
9,"vmas",0.0666666666666667
9,"wore",0.0666666666666667
