"topic","term","beta"
1,"tonight",0.0277777777777778
1,"adorable",0.0277777777777778
1,"today",0.0277777777777778
1,"rt",0.0277777777777778
1,"ago",0.0277777777777778
1,"alinsky",0.0277777777777778
1,"community",0.0277777777777778
1,"dinner",0.0277777777777778
1,"lecture",0.0277777777777778
1,"lecturer",0.0277777777777778
1,"organizing",0.0277777777777778
1,"party",0.0277777777777778
1,"saul",0.0277777777777778
1,"turns",0.0277777777777778
1,"went",0.0277777777777778
1,"years",0.0277777777777778
1,"animal",0.0277777777777778
1,"best",0.0277777777777778
1,"case",0.0277777777777778
1,"crap",0.0277777777777778
1,"ecvov",0.0277777777777778
1,"ever",0.0277777777777778
1,"four",0.0277777777777778
1,"holy",0.0277777777777778
1,"love",0.0277777777777778
1,"might",0.0277777777777778
1,"minutes",0.0277777777777778
1,"nicopitney",0.0277777777777778
1,"spent",0.0277777777777778
1,"20dvp5",0.0277777777777778
1,"cameroon",0.0277777777777778
1,"check",0.0277777777777778
1,"first",0.0277777777777778
1,"hot",0.0277777777777778
1,"lady",0.0277777777777778
1,"stuff",0.0277777777777778
2,"orpheus5x5",0.0363636363636364
2,"booooo",0.0363636363636364
2,"fake",0.0363636363636364
2,"open",0.0363636363636364
2,"season",0.0363636363636364
2,"unicorns",0.0363636363636364
2,"better",0.0363636363636364
2,"far",0.0363636363636364
2,"lucky",0.0363636363636364
2,"someone",0.0363636363636364
2,"surfluna",0.0363636363636364
2,"trained",0.0363636363636364
2,"whole",0.0363636363636364
2,"time",0.0363636363636364
3,"saragthatsme",0.0634920634920635
3,"game",0.0317460317460318
3,"night",0.0317460317460318
3,"tonight",0.0317460317460318
3,"hmmm",0.0317460317460318
3,"really",0.0317460317460318
3,"smwhr23",0.0317460317460318
3,"meet",0.0317460317460318
3,"place",0.0317460317460318
3,"totally",0.0317460317460318
3,"understandable",0.0317460317460318
3,"florida",0.0317460317460318
3,"kids",0.0317460317460318
3,"lovin",0.0317460317460318
3,"meglette",0.0317460317460318
3,"bar",0.0317460317460318
3,"funk",0.0317460317460318
4,"need",0.0833333333333333
4,"sucks",0.0833333333333333
4,"awesome",0.0416666666666667
4,"feelings",0.0416666666666667
4,"glad",0.0416666666666667
4,"good",0.0416666666666667
4,"got",0.0416666666666667
4,"keep",0.0416666666666667
4,"michelemullen",0.0416666666666667
4,"though",0.0416666666666667
4,"well",0.0416666666666667
4,"different",0.0416666666666667
4,"guys",0.0416666666666667
4,"introduce",0.0416666666666667
