"topic","term","beta"
1,"work",0.0324115123500755
1,"rt",0.0261122897854349
1,"like",0.0189575561868418
1,"just",0.0121048859038298
1,"day",0.0118312115759226
1,"god",0.00957468454623465
1,"come",0.00950448683512132
1,"think",0.00872320103889954
1,"healthcare",0.00824598624803295
1,"go",0.0079444742333152
2,"rt",0.017100702337591
2,"3jeaow",0.0142820498103924
2,"gemini",0.0142820498103918
2,"lol",0.0114976856737131
2,"man",0.0110420719534315
2,"old",0.00999743486727083
2,"world",0.00974528970045535
2,"still",0.00928199026734789
2,"p",0.00824951670803422
2,"san",0.00714102490519674
3,"think",0.0245771091459352
3,"today",0.0195276329504809
3,"great",0.0166713547553974
3,"monterey",0.0159921606754392
3,"jazz",0.0139251000322313
3,"going",0.0132515040051656
3,"w",0.0126947439628554
3,"fun",0.0121346941783675
3,"day",0.0117065739696364
3,"just",0.0115621986745988
4,"good",0.0273665277502331
4,"new",0.0227263241083222
4,"free",0.0191496268413284
4,"yeah",0.0135962566865418
4,"qs",0.0109466112470886
4,"u",0.00957827080933513
4,"quotes",0.00957803696778333
4,"see",0.00913788385901989
4,"blog",0.00820995843531647
4,"love",0.00809541569245194
5,"get",0.0192441772054517
5,"lol",0.0135175311161715
5,"haha",0.012475340512713
5,"much",0.0124753396764624
5,"just",0.0117744987439436
5,"theoffice",0.00900759368018599
5,"time",0.00845240281390834
5,"one",0.00835080932723395
5,"really",0.00826607650338491
5,"right",0.00793885305354463
6,"random",0.0380702375740955
6,"us",0.0225601403075825
6,"quote",0.0197401232965423
6,"day",0.017933035936517
6,"can",0.0178194196851104
6,"see",0.013224304024305
6,"time",0.0126865777537917
6,"good",0.011280070455167
6,"hate",0.011280070455167
6,"home",0.011280070353434
7,"lol",0.0234986371334173
7,"grill",0.0134800715629315
7,"night",0.013475766772063
7,"new",0.0108261315989647
7,"something",0.00854464086091851
7,"last",0.00839620540247337
7,"care",0.00735397787442871
7,"is.gd",0.00735397787442871
7,"health",0.00735393900200608
7,"just",0.00680330290812024
8,"love",0.0257003139457425
8,"now",0.0180612081967209
8,"bed",0.0133959576399949
8,"friends",0.0106124252767896
8,"read",0.0106120538029979
8,"one",0.00799761106664164
8,"chp",0.00795931895759218
8,"northbound",0.00795931895759218
8,"reporting",0.00795931895759218
8,"get",0.00668461632159393
9,"go",0.0380466821190692
9,"salinas",0.0355275873300259
9,"getting",0.0207638915766957
9,"ready",0.0184037735171144
9,"today",0.0143592769346128
9,"man",0.0126021682157457
9,"house",0.0122725929948479
9,"californian",0.0110453336953631
9,"busy",0.00981807439587832
9,"working",0.00981807439527227
