"topic","term","beta"
1,"good",0.0338621004283925
1,"like",0.0336423921243878
1,"today",0.0160701904792828
1,"just",0.0119594139025812
1,"morning",0.0110253065332119
1,"feel",0.0109673238700936
1,"now",0.0106771708008319
1,"ass",0.00777625614410517
1,"yo",0.00730028383253962
1,"people",0.00726886971897812
2,"video",0.0412821996267731
2,"can",0.0322549824341662
2,"u",0.0283428583296961
2,"just",0.0225251879809336
2,"time",0.017294178507718
2,"tinychat.com",0.0172522625305918
2,"ihop",0.0154038058308855
2,"chat",0.0141715013644147
2,"dont",0.0135552256827321
2,"make",0.0122554911393193
3,"rt",0.0560302991353832
3,"got",0.024504866813512
3,"know",0.0146676179433879
3,"hate",0.0145862303132481
3,"good",0.0122488809456322
3,"let",0.0116688767427031
3,"like",0.0112389889970007
3,"go",0.0112301288743269
3,"man",0.0081467734979862
3,"always",0.00771195908910698
4,"day",0.0334392717645704
4,"just",0.0112184665779559
4,"see",0.00962159214267164
4,"going",0.00945643018756632
4,"free",0.00709855834426216
4,"long",0.00623608926184483
4,"first",0.00584691742662387
4,"tonight",0.00571986214660049
4,"weekend",0.00568917042755776
4,"haha",0.00555236097989522
5,"just",0.0136923994395727
5,"new",0.0130440814740436
5,"never",0.011850622554212
5,"rt",0.011459109775501
5,"next",0.00914779824449788
5,"right",0.00763039402705575
5,"still",0.00749177510292507
5,"get",0.00738370848139433
5,"something",0.0072223404379739
5,"d",0.00671631655240846
6,"one",0.0140222074009962
6,"watch",0.0119815874207878
6,"happy",0.0113821997831399
6,"now",0.00853176431690306
6,"really",0.00845414928030761
6,"first",0.00733289951813622
6,"football",0.00714308317590095
6,"go",0.00668880056776546
6,"job",0.00647384166861623
6,"lol",0.00637205156680648
7,"thanks",0.016695635487185
7,"rt",0.0132566670173138
7,"us",0.012566063472129
7,"want",0.0101942790835741
7,"hey",0.00947866364177672
7,"android",0.00839540224988799
7,"help",0.00833061723374518
7,"think",0.00783344591779788
7,"may",0.0077957306602148
7,"sorry",0.00779573065871657
8,"im",0.0167649753983014
8,"get",0.00923757463596117
8,"ok",0.00809754559134064
8,"just",0.00783817559993456
8,"work",0.0070372911317021
8,"mmm",0.00702891871961861
8,"lol",0.00675562050582379
8,"well",0.00663605937447833
8,"someone",0.00638887328646985
8,"put",0.00608940977766382
9,"love",0.0284999095396383
9,"night",0.0193013633891586
9,"twitpic.com",0.014944722286482
9,"whats",0.0118279731419105
9,"race",0.00996314821646756
9,"singapore",0.00996314802605206
9,"class",0.00996314792145461
9,"season",0.00917113144822055
9,"f1",0.00871775468937187
9,"wait",0.00871347725908706
