"topic","term","beta"
1,"nc",0.0740740740740741
1,"pinehurst",0.0740740740740741
1,"cnnmoney",0.0740740740740741
1,"g7dng",0.0740740740740741
1,"great",0.037037037037037
1,"another",0.037037037037037
1,"best",0.037037037037037
1,"mention",0.037037037037037
1,"places",0.037037037037037
1,"retire",0.037037037037037
1,"27b0yj",0.037037037037037
1,"consider",0.037037037037037
1,"relocating",0.037037037037037
1,"retiring",0.037037037037037
1,"thinking",0.037037037037037
1,"audragmarotta",0.037037037037037
1,"community",0.037037037037037
1,"connections",0.037037037037037
1,"contacts",0.037037037037037
1,"find",0.037037037037037
1,"one",0.037037037037037
1,"realtor",0.037037037037037
1,"someone",0.037037037037037
2,"blogs",0.0769230769230769
2,"different",0.0769230769230769
2,"happily",0.0769230769230769
2,"hopefully",0.0769230769230769
2,"info",0.0769230769230769
2,"technology",0.0769230769230769
2,"today",0.0769230769230769
2,"tours",0.0769230769230769
2,"updates",0.0769230769230769
2,"virtual",0.0769230769230769
2,"websites",0.0769230769230769
2,"working",0.0769230769230769
2,"3wacgy",0.0769230769230769
3,"check",0.103448275862069
3,"post",0.103448275862069
3,"rt",0.0689655172413793
3,"great",0.0689655172413793
3,"details",0.0689655172413793
3,"going",0.0689655172413793
3,"green",0.0689655172413793
3,"money",0.0689655172413793
3,"save",0.0689655172413793
3,"just",0.0344827586206896
3,"twtjobs.com",0.0344827586206896
3,"found",0.0344827586206896
3,"resume",0.0344827586206896
3,"www.parkersgreenpost.easyurl.net",0.0344827586206896
3,"ideas",0.0344827586206896
3,"parkerdunahay",0.0344827586206896
3,"worth",0.0344827586206896
3,"www.parkersgreenpost",0.0344827586206896
4,"just",0.1
4,"post",0.05
4,"facebook",0.05
4,"cancel",0.05
4,"connection",0.05
4,"duplicate",0.05
4,"get",0.05
4,"posts",0.05
4,"sorry",0.05
4,"twitter",0.05
4,"2r0634",0.05
4,"around",0.05
4,"cool",0.05
4,"forum",0.05
4,"happening",0.05
4,"know",0.05
4,"share",0.05
4,"something",0.05
4,"town",0.05
5,"responsible",0.0740740740740741
5,"good",0.037037037037037
5,"nc",0.037037037037037
5,"best",0.037037037037037
5,"appointed",0.037037037037037
5,"awesome",0.037037037037037
5,"chairwoman",0.037037037037037
5,"criminal",0.037037037037037
5,"da",0.037037037037037
5,"forms",0.037037037037037
5,"krueger",0.037037037037037
5,"kudos",0.037037037037037
5,"maureen",0.037037037037037
5,"state",0.037037037037037
5,"subcommittee",0.037037037037037
5,"10zu6t",0.037037037037037
5,"ask",0.037037037037037
5,"home",0.037037037037037
5,"legislators",0.037037037037037
5,"lending",0.037037037037037
5,"market",0.037037037037037
5,"purchasing",0.037037037037037
5,"regs",0.037037037037037
5,"support",0.037037037037037
5,"update",0.037037037037037
5,"video",0.037037037037037
6,"nc",0.0869565217391304
6,"pines",0.0869565217391304
6,"southern",0.0869565217391304
6,"area",0.0434782608695652
6,"b9wv37",0.0434782608695652
6,"buyer",0.0434782608695652
6,"looking",0.0434782608695652
6,"pinehurst",0.0434782608695652
6,"property",0.0434782608695652
6,"represent",0.0434782608695652
6,"seller",0.0434782608695652
6,"twtjobs.com",0.0434782608695652
6,"4linlo",0.0434782608695652
6,"50th",0.0434782608695652
6,"anniversary",0.0434782608695652
6,"eds",0.0434782608695652
6,"event",0.0434782608695652
6,"spread",0.0434782608695652
6,"wonderful",0.0434782608695652
6,"word",0.0434782608695652
7,"new",0.117647058823529
7,"nc",0.0588235294117647
7,"pinehurst",0.0588235294117647
7,"property",0.0588235294117647
7,"check",0.0588235294117647
7,"great",0.0588235294117647
7,"2p6u8k",0.0588235294117647
7,"sale",0.0588235294117647
7,"twitter",0.0588235294117647
7,"video",0.0588235294117647
7,"media",0.0588235294117647
7,"qcmt8",0.0588235294117647
7,"social",0.0588235294117647
7,"socialnomics",0.0588235294117647
7,"sure",0.0588235294117647
7,"world",0.0588235294117647
8,"beach",0.0909090909090909
8,"jacksonville",0.0909090909090909
8,"mellow",0.0909090909090909
8,"mushroom",0.0909090909090909
8,"opening",0.0909090909090909
8,"yum",0.0909090909090909
8,"business",0.0909090909090909
8,"coming",0.0909090909090909
8,"facebook",0.0909090909090909
8,"profile",0.0909090909090909
8,"soon",0.0909090909090909
9,"good",0.0769230769230769
9,"swim",0.0769230769230769
9,"checking",0.0384615384615385
9,"console",0.0384615384615385
9,"don",0.0384615384615385
9,"license",0.0384615384615385
9,"like",0.0384615384615385
9,"pilot's",0.0384615384615385
9,"seems",0.0384615384615385
9,"t",0.0384615384615385
9,"tips",0.0384615384615385
9,"tweetdeck",0.0384615384615385
9,"awesome",0.0384615384615385
9,"day",0.0384615384615385
9,"decided",0.0384615384615385
9,"dive",0.0384615384615385
9,"emma",0.0384615384615385
9,"friends",0.0384615384615385
9,"head",0.0384615384615385
9,"let",0.0384615384615385
9,"real",0.0384615384615385
9,"savannah",0.0384615384615385
9,"show",0.0384615384615385
9,"times",0.0384615384615385
