"topic","term","beta"
1,"s",0.0302235690565307
1,"home",0.0251813009592085
1,"free",0.0151117845282654
1,"new",0.0151117845282654
1,"game",0.0151117844371352
1,"today",0.0125931537735545
1,"flashforcast",0.0125931537735545
1,"opportunity",0.0100745230188436
1,"40th",0.0100745230188436
1,"anniversary",0.0100745230188436
1,"social",0.0100745230188436
1,"work",0.0100745230188436
1,"year",0.0100745230188436
1,"site",0.0100745230188436
1,"benchmark",0.0100745230188436
1,"china",0.0100745230188436
1,"gaining",0.0100745230188436
1,"index",0.0100745230188436
1,"investment",0.0100745230188436
1,"korea",0.0100745230188436
1,"ng",0.0100745230188436
1,"percent",0.0100745230188436
1,"sees",0.0100745230188436
1,"stocks",0.0100745230188436
1,"review",0.0100745230188436
1,"college",0.0100745230188436
1,"upcoming",0.0100745230188436
2,"now",0.0158541256402071
2,"work",0.0158541256402071
2,"day",0.0158541256402071
2,"can",0.0158541256400302
2,"get",0.0158527198169561
2,"like",0.0135892504045988
2,"think",0.0134198522321152
2,"money",0.0113243754572908
2,"re",0.0113243754572908
2,"love",0.0096640270265491
3,"just",0.0333899360906075
3,"drowninginmercy",0.0294066939107997
3,"raptr.com",0.0294066939107997
3,"playing",0.027306215774314
3,"challenge",0.027306215774314
3,"puzzle",0.027306215774314
3,"quest",0.027306215774314
3,"warlords",0.027306215774314
3,"started",0.0231052595013426
3,"mary",0.0168038250918855
4,"data",0.0235955195184231
4,"linkeddata",0.0214366262264783
4,"can",0.017160377831816
4,"nice",0.015015330602839
4,"november",0.012870283373862
4,"reconciliation",0.0124848989972766
4,"lod",0.010725236144885
4,"vaccine",0.008580188915908
4,"jigsaw",0.008580188915908
4,"mini",0.008580188915908
4,"pair",0.008580188915908
4,"pink",0.008580188915908
4,"stars",0.008580188915908
4,"one",0.008580188915908
4,"cash",0.008580188915908
4,"something",0.008580188915908
4,"tinyurl.com",0.008580188915908
4,"financial",0.008580188915908
5,"know",0.0197148147372348
5,"mcneese",0.01408201053824
5,"dont",0.011265608430592
5,"directors",0.011265608430592
5,"oecd",0.011265608430592
5,"exports",0.011265608430592
5,"s",0.011265608430592
5,"blog",0.011265608430592
5,"fucked",0.011265608430592
5,"stimulus",0.011265608430592
5,"girlfriend",0.011265608430592
6,"now",0.0226286556296405
6,"win",0.0135771933777843
6,"blog",0.0113143278148202
6,"tell",0.0113143278148202
6,"j.mp",0.0113143278148202
6,"oecd",0.00905146225185618
6,"michelle",0.00905146225185618
6,"business",0.00905146225185618
6,"just",0.00702314220280829
6,"people",0.00678859668889214
6,"continues",0.00678859668889214
6,"use",0.00678859668889214
6,"back",0.00678859668889214
6,"woman",0.00678859668889214
6,"give",0.00678859668889214
6,"us",0.00678859668889214
6,"grommet",0.00678859668889214
7,"go",0.0245997415174342
7,"news",0.0122998707587171
7,"business",0.0122998707587171
7,"new",0.0122998707587171
7,"nothing",0.0122998707587171
7,"good",0.0102498922989309
7,"studio",0.0102498922989309
7,"s",0.00819991383914475
7,"beacon",0.00819991383914475
7,"social",0.00819991383914475
7,"flourish",0.00819991383914475
7,"ahead",0.00819991383914475
7,"analysts",0.00819991383914475
7,"economy",0.00819991383914475
7,"road",0.00819991383914475
7,"rocky",0.00819991383914475
7,"warn",0.00819991383914475
7,"app",0.00819991383914475
7,"state",0.00819991383914475
7,"touchdown",0.00819991383914475
8,"good",0.019782603348301
8,"haha",0.0109903352052394
8,"flashforcast",0.0109903352052394
8,"lots",0.0106866682865947
8,"military",0.00879226816419153
8,"spouses",0.00879226816419153
8,"nbc",0.00879226816419153
8,"program",0.00879226816419153
8,"beatles",0.00879226816419153
8,"social",0.00879226816419153
8,"healthier",0.00879226816419153
8,"step",0.00879226816419153
8,"hello",0.00879226816419153
8,"income",0.00879226816419153
8,"taelorrr",0.00879226816419153
9,"business",0.032101088120489
9,"want",0.0321000599915838
9,"new",0.0220694980787033
9,"success",0.0200631800753407
9,"s",0.0160505440602725
9,"venture",0.0160505440602725
9,"support",0.0139873413038511
9,"unique",0.0120379080452044
9,"sdqlp",0.0120379080452044
9,"sure",0.0120379080452044
