"topic","term","beta"
1,"riweasel",0.0502868837464882
1,"thinking",0.0335008056553252
1,"one",0.0167622945821627
1,"tomorrow",0.0167622945821627
1,"senior",0.0167622945821627
1,"year",0.0167622945821627
1,"im",0.0167622945821627
1,"although",0.0167622945821627
1,"believe",0.0167622945821627
1,"cant",0.0167622945821627
1,"excited",0.0167622945821627
1,"kinda",0.0167622945821627
1,"last",0.0167622945821627
1,"pretty",0.0167622945821627
1,"summer",0.0167622945821627
1,"vacation",0.0167622945821627
1,"week",0.0167622945821627
1,"sometimes",0.0167622945821627
1,"listen",0.0167622945821627
1,"big",0.0167622945821627
1,"dirty",0.0167622945821627
1,"far",0.0167622945821627
1,"favorite",0.0167622945821627
1,"listening",0.0167622945821627
1,"rest",0.0167622945821627
1,"hurt",0.0167622945821627
1,"lol",0.0167622945821627
1,"high",0.0167622945821627
1,"yes",0.0167622945821627
1,"bought",0.0167622945821627
1,"feet",0.0167622945821627
1,"funeral",0.0167622945821627
1,"grandma's",0.0167622945821627
1,"heels",0.0167622945821627
1,"holy",0.0167622945821627
1,"killer",0.0167622945821627
1,"omg",0.0167622945821627
1,"pain",0.0167622945821627
1,"used",0.0167622945821627
1,"wtf",0.0167622945821627
1,"sarahsmiles99",0.0167622945821627
1,"ah",0.0167622945821627
1,"mama",0.0167622945821627
1,"price",0.0167622945821627
1,"sexy",0.0167622945821627
1,"cute",0.0167622945821627
1,"dress",0.0167622945821627
1,"forgotten",0.0167622945821627
1,"fortunately",0.0167622945821627
1,"heals",0.0167622945821627
1,"pride",0.0167622945821627
1,"quickly",0.0167622945821627
1,"super",0.0167622945821627
1,"ahahaha",0.0167622945821627
1,"caved",0.0167622945821627
2,"boots",0.0422525905081566
2,"mall",0.0422525905081566
2,"u",0.0281683936721044
2,"hooker",0.0281683936721044
2,"going",0.0281683936721044
2,"shopping",0.0281683936721044
2,"halezzz",0.0281683936721044
2,"ass",0.0281683936721044
2,"hubby",0.0281683936721044
2,"riweasel",0.0281683936721044
3,"now",0.105616968870025
3,"put",0.0422467875480101
3,"lol",0.0422467875480101
3,"new",0.0381967832938869
3,"tonight",0.0374452441506754
3,"right",0.0371754340472265
3,"get",0.021123393774005
3,"much",0.021123393774005
3,"dinner",0.021123393774005
3,"just",0.021123393774005
3,"better",0.021123393774005
3,"sometimes",0.021123393774005
3,"keep",0.021123393774005
3,"never",0.021123393774005
3,"yummy",0.021123393774005
3,"eggface",0.021123393774005
3,"always",0.021123393774005
3,"drooling",0.021123393774005
3,"guacamole",0.021123393774005
3,"practically",0.021123393774005
3,"rice",0.021123393774005
3,"tortillas",0.021123393774005
3,"damn",0.021123393774005
3,"cami",0.021123393774005
3,"chest",0.021123393774005
3,"entire",0.021123393774005
3,"girls",0.021123393774005
3,"guess",0.021123393774005
3,"hanging",0.021123393774005
3,"hot",0.021123393774005
3,"looked",0.021123393774005
3,"top",0.021123393774005
3,"body",0.021123393774005
3,"pee",0.021123393774005
3,"seriously",0.021123393774005
