"topic","term","beta"
1,"je",0.0290301073370737
1,"da",0.0259726842097028
1,"d",0.0197468961962392
1,"na",0.0149119109293389
1,"mi",0.0134159299673295
1,"ti",0.00894395331155302
1,"bilo",0.00894395331155302
1,"ovo",0.00894395331155302
1,"su.pr",0.00688692175133255
1,"ja",0.00670796498366476
1,"sam",0.00670796498366476
1,"uskoro",0.00670796498366476
1,"xd",0.00670796498366476
1,"se",0.00670796498366476
1,"pre",0.00670796498366476
1,"just",0.00670796498366476
1,"nema",0.00670796498366476
1,"pa",0.00670796498366476
1,"balkan_file",0.00670796498366476
2,"na",0.0285426047227179
2,"sa",0.0285424741681972
2,"cli.gs",0.0228340837781743
2,"bloga",0.0171255627605635
2,"u",0.0142713023613589
2,"bi",0.0136351595369492
2,"mesić",0.0114170418890872
2,"година",0.0114170418890872
2,"nacional",0.0114170418890872
2,"bez",0.0114170418890872
2,"crkveni",0.0114170418890872
2,"deset",0.0114170418890872
2,"dobivao",0.0114170418890872
2,"kler",0.0114170418890872
2,"manje",0.0114170418890872
2,"mesićev",0.0114170418890872
2,"porez",0.0114170418890872
2,"puta",0.0114170418890872
2,"testamenta",0.0114170418890872
2,"tuđmanovog",0.0114170418890872
2,"višemjes",0.0114170418890872
2,"video",0.0114170418890872
2,"sve",0.0114170418890872
3,"u",0.0749364638855449
3,"hrvatska",0.0343905293699322
3,"cli.gs",0.0206343176219593
3,"s",0.0206343176219593
3,"sa",0.0171952646849661
3,"je",0.0138142590279949
3,"automobila",0.0137562117479729
3,"eu",0.0137562117479729
3,"europi",0.0137562117479729
3,"među",0.0137562117479729
3,"najvećim",0.0137562117479729
3,"padom",0.0137562117479729
3,"prodaje",0.0137562117479729
3,"skupini",0.0137562117479729
3,"zemljama",0.0137562117479729
4,"da",0.0336428225603713
4,"у",0.0192744462461352
4,"je",0.0163382781962046
4,"производња",0.0144558346846014
4,"na",0.0144558346846014
4,"cli.gs",0.0144558346846014
4,"se",0.0144558346846014
4,"u",0.00963722312306762
4,"петрохемији",0.00963722312306762
4,"su.pr",0.00944439493564863
5,"da",0.0323347882603092
5,"se",0.0199745565994373
5,"za",0.0161681172342601
5,"hvala",0.014980917449578
5,"je",0.0124840978746483
5,"u",0.00998727829971867
5,"ljudi",0.00998727829971867
5,"e",0.00998727829955219
5,"d",0.00791067270155661
5,"ako",0.007490458724789
5,"samo",0.007490458724789
5,"su.pr",0.007490458724789
5,"pravi",0.007490458724789
6,"da",0.0281066993597348
6,"u",0.0203763204008294
6,"se",0.0178860814107403
6,"na",0.0127757724362431
6,"je",0.0102206179489945
6,"sa",0.0102206179489945
6,"od",0.0102206179489945
6,"ovo",0.0102206179489945
6,"su.pr",0.0102206179489945
6,"pu",0.00766546346174585
6,"varp",0.00766546346174585
6,"d",0.00766546346174585
6,"reklama",0.00766546346174585
6,"za",0.00766546346174585
6,"po",0.00766546346174585
7,"rt",0.0444651610849255
7,"tweetmeme",0.0396625950096145
7,"biblioteka",0.0376794652591348
7,"kompjuter",0.0376794652591348
7,"da",0.0370882613066212
7,"je",0.0218144272552886
7,"kako",0.0218144272552886
7,"mi",0.0158650380038463
7,"knjiga",0.0138819082500515
7,"sa",0.0118987785028847
7,"se",0.0118987785028847
8,"je",0.0553582289598842
8,"sam",0.024308340554044
8,"za",0.019825017207229
8,"koji",0.0182311944585672
8,"da",0.0153030127096287
8,"u",0.015192712894488
8,"dragan",0.0121541703155904
8,"maca",0.0121541703155904
8,"marinković",0.0121541703155904
8,"је",0.0121541703155904
8,"cli.gs",0.0121541703155904
9,"cli.gs",0.0505152349094157
9,"u",0.0233147238043457
9,"je",0.0233147238043457
9,"ne",0.0207816002282048
9,"život",0.0194289365036214
9,"mi",0.0194289364936617
9,"hrvatska",0.0155431492028971
9,"динар",0.0155431492028971
9,"минимално",0.0155431492028971
9,"ће",0.0155431492028971
9,"glumac",0.0155431492028971
9,"nacional",0.0155431492028971
9,"direktor",0.0155431492028971
9,"kredit",0.0155431492028971
9,"mladinić",0.0155431492028971
9,"možemo",0.0155431492028971
9,"nam",0.0155431492028971
9,"podravci",0.0155431492028971
9,"splitske",0.0155431492028971
9,"treba",0.0155431492028971
9,"tvrt",0.0155431492028971
9,"više",0.0155431492028971
9,"vratiti",0.0155431492028971
9,"vremena",0.0155431492028971
9,"američki",0.0155431492028971
9,"ha",0.0155431492028971
9,"harrelson",0.0155431492028971
9,"hrvatskoj",0.0155431492028971
9,"kafić",0.0155431492028971
9,"poznati",0.0155431492028971
9,"spasio",0.0155431492028971
9,"uzdravlje",0.0155431492028971
9,"woody",0.0155431492028971
9,"popusta",0.0155431492028971
