"topic","term","beta"
1,"still",0.119666112047925
1,"left",0.102496381019409
1,"yd",0.0598330560239623
1,"min",0.0598330560239623
1,"first",0.0598330560239623
1,"scots",0.0598330560239623
1,"makes",0.0598330560239623
1,"fg",0.0598330560239623
1,"half",0.0598330560239623
1,"kyle",0.0598330560239623
1,"points",0.0598330560239623
1,"possessions",0.0598330560239623
1,"put",0.0598330560239623
1,"tuor's",0.0598330560239623
2,"3rd",0.2
2,"open",0.1
2,"td",0.1
2,"scots",0.1
2,"bricker",0.1
2,"gives",0.1
2,"day",0.1
2,"qtr",0.1
2,"scores",0.1
2,"susanshanwood",6.81204077801462e-278
2,"ya",6.81204077801462e-278
3,"4th",0.1
3,"carlson",0.1
3,"carries",0.1
3,"open",0.1
3,"r",0.1
3,"run",0.1
3,"td",0.1
3,"yd",0.1
3,"yds",0.1
3,"susanshanwood",0.05
3,"ya",0.05
4,"td",0.125
4,"scots",0.125
4,"pass",0.0625
4,"run",0.0625
4,"yd",0.0625
4,"first",0.0625
4,"tanney",0.0625
4,"caleb",0.0625
4,"makes",0.0625
4,"midway",0.0625
4,"pratt",0.0625
4,"half",0.0625
4,"kyle",0.0625
4,"wantland",0.0625
5,"run",0.0769230769230769
5,"yd",0.0769230769230769
5,"mc",0.0769230769230769
5,"early",0.0769230769230769
5,"scots",0.0769230769230769
5,"makes",0.0769230769230769
5,"ball",0.0769230769230769
5,"dominating",0.0769230769230769
5,"one",0.0769230769230769
5,"sides",0.0769230769230769
5,"2nd",0.0769230769230769
5,"bricker",0.0769230769230769
5,"clay",0.0769230769230769
6,"pass",0.125
6,"td",0.0625
6,"yd",0.0625
6,"alex",0.0625
6,"blodgett",0.0625
6,"breaks",0.0625
6,"early",0.0625
6,"first",0.0625
6,"michael",0.0625
6,"purlee's",0.0625
6,"record",0.0625
6,"school",0.0625
6,"scots",0.0625
6,"tanney",0.0625
6,"tds",0.0625
7,"run",0.0833333333333333
7,"td",0.0833333333333333
7,"yd",0.0833333333333333
7,"scots",0.0833333333333333
7,"bricker",0.0833333333333333
7,"clay",0.0833333333333333
7,"half",0.0833333333333333
7,"avon",0.0833333333333333
7,"gives",0.0833333333333333
7,"grad",0.0833333333333333
7,"just",0.0833333333333333
7,"lead",0.0833333333333333
8,"pass",0.117647058823529
8,"td",0.0588235294117647
8,"84th",0.0588235294117647
8,"alex",0.0588235294117647
8,"april",0.0588235294117647
8,"career",0.0588235294117647
8,"h",0.0588235294117647
8,"kickoff",0.0588235294117647
8,"mc",0.0588235294117647
8,"min",0.0588235294117647
8,"next",0.0588235294117647
8,"purlee",0.0588235294117647
8,"rob",0.0588235294117647
8,"stadium",0.0588235294117647
8,"tanney's",0.0588235294117647
8,"zorn",0.0588235294117647
9,"picked",0.150524986550447
9,"w",0.150515202013163
9,"left",0.0968598652288396
9,"pass",0.0752624932752233
9,"seven",0.0752624932752233
9,"steck",0.0752624932752233
9,"alleman",0.0752624932752233
9,"hail",0.0752624932752233
9,"mary",0.0752624932752233
9,"stecks",0.0752624932752233
9,"wins",0.0752624932752233
