"topic","term","beta"
1,"rt",0.0365964530468877
1,"check",0.0183835866829823
1,"new",0.0101442751097425
1,"tr.im",0.00786605391870621
1,"free",0.00772056411329162
1,"thank",0.00689382357586221
1,"d",0.00687431739071506
1,"story",0.00581957355168459
1,"yrse",0.00530295769800419
1,"interview",0.00521457501898124
2,"lol",0.0263862197210606
2,"u",0.0250784483295039
2,"now",0.0214778437411844
2,"twitter",0.0180748103112695
2,"just",0.0141758237423004
2,"still",0.0128036125864052
2,"right",0.0126161520208842
2,"night",0.00959943151488727
2,"social",0.00900054754651455
2,"make",0.00864099931507767
3,"rt",0.0461374079696402
3,"day",0.0289144388537604
3,"tinyurl.com",0.019111047998383
3,"thanks",0.0106819202382532
3,"find",0.00947177378277062
3,"book",0.00849254962522786
3,"win",0.00840993406699652
3,"nice",0.00805574997333982
3,"great",0.00729484683019759
3,"cisco",0.00690502333609395
4,"obama",0.0155795106651475
4,"people",0.0127613036094085
4,"house",0.0108341785434502
4,"live",0.00977185728001276
4,"twitpic.com",0.0074740842579519
4,"says",0.00696808413489991
4,"new",0.00654762048291147
4,"looking",0.00650191673834199
4,"hey",0.0060858531718002
4,"now",0.00524694055078292
5,"just",0.0332591608346543
5,"got",0.0176644165219151
5,"good",0.0116979265938122
5,"rt",0.0109847568570449
5,"best",0.0105820157868507
5,"made",0.009361134236583
5,"get",0.00870192831147675
5,"today",0.0062211018705049
5,"love",0.00619890691190265
5,"know",0.00597524259216914
6,"health",0.01547001551492
6,"rt",0.0113968806933707
6,"care",0.0111216868362263
6,"just",0.00827723807465289
6,"ow.ly",0.00559553949654841
6,"one",0.00549181941556645
6,"big",0.00522756285711616
6,"start",0.00512354521373836
6,"fb",0.0050319188654663
6,"today",0.00462252797615669
7,"back",0.0135261353522365
7,"get",0.0130016633165935
7,"happy",0.00957731264982472
7,"oh",0.00875608645002001
7,"home",0.00812426008714518
7,"always",0.00770573843454725
7,"way",0.0074832305370712
7,"go",0.0073490881511632
7,"like",0.00669461083770161
7,"something",0.00653314579907535
8,"love",0.0171913199576497
8,"going",0.0163793451952802
8,"know",0.0136667383376693
8,"tonight",0.0121769686801437
8,"see",0.0113805160373737
8,"can",0.0109491566123384
8,"like",0.00932226695671392
8,"think",0.00925669745482112
8,"get",0.00860976022579795
8,"b",0.00719563895096392
9,"dc",0.0312865365247045
9,"jobs",0.02743588588027
9,"washington",0.0229112000868394
9,"hiring",0.0179055255218604
9,"shjobs",0.0174241941906276
9,"rt",0.0127809241504789
9,"job",0.0114556856833402
9,"va",0.00866396396219053
9,"project",0.00712370370224555
9,"manager",0.00664237237101274
