"topic","term","beta"
1,"mia",0.117647054751091
1,"college",0.0588235273755454
1,"football",0.0588235273755454
1,"gt",0.0588235273755454
1,"spanking",0.0588235273755454
1,"watching",0.0588235273755454
1,"aawwwww",0.0588235273755454
1,"boy",0.0588235273755454
1,"head",0.0588235273755454
1,"philly",0.0588235273755454
1,"rob",0.0588235273755454
1,"snap",0.0588235273755454
2,"big",0.125
2,"game",0.125
2,"fantasy",0.0625
2,"couple",0.0625
2,"need",0.0625
2,"football",0.0625
2,"daaaamn",0.0625
2,"dallas",0.0625
2,"games",0.0625
2,"order",0.0625
2,"p",0.0625
2,"players",0.0625
2,"rivers",0.0625
2,"win",0.0625
3,"game",0.0625
3,"go",0.0625
3,"atl",0.0625
3,"bring",0.0625
3,"est",0.0625
3,"falcons",0.0625
3,"hours",0.0625
3,"less",0.0625
3,"little",0.0625
3,"n",0.0625
3,"offically",0.0625
3,"ok",0.0625
3,"pitt",0.0625
3,"season",0.0625
3,"start",0.0625
3,"ten",0.0625
4,"busy",0.0666666666666667
4,"earlier",0.0666666666666667
4,"evening",0.0666666666666667
4,"go",0.0666666666666667
4,"hookies",0.0666666666666667
4,"says",0.0666666666666667
4,"tech",0.0666666666666667
4,"va",0.0666666666666667
4,"whoooo",0.0666666666666667
4,"block",0.0666666666666667
4,"writers",0.0666666666666667
4,"recover",0.0666666666666667
4,"still",0.0666666666666667
4,"trying",0.0666666666666667
4,"x",0.0666666666666667
5,"game",0.136363636363636
5,"terrellowens",0.0909090909090909
5,"go",0.0454545454545454
5,"t.o",0.0454545454545454
5,"damn",0.0454545454545454
5,"demo",0.0454545454545454
5,"lets",0.0454545454545454
5,"outer",0.0454545454545454
5,"space",0.0454545454545454
5,"waiting",0.0454545454545454
5,"block",0.0454545454545454
5,"couple",0.0454545454545454
5,"days",0.0454545454545454
5,"get",0.0454545454545454
5,"last",0.0454545454545454
5,"need",0.0454545454545454
5,"serious",0.0454545454545454
5,"writers",0.0454545454545454
5,"u",0.0454545454545454
6,"elitegirljen",0.0588235294117647
6,"crushing",0.0588235294117647
6,"fantasy",0.0588235294117647
6,"fleaflicker",0.0588235294117647
6,"team",0.0588235294117647
6,"brother",0.0588235294117647
6,"friends",0.0588235294117647
6,"good",0.0588235294117647
6,"one",0.0588235294117647
6,"partner",0.0588235294117647
6,"shout",0.0588235294117647
6,"twitter",0.0588235294117647
6,"welcome",0.0588235294117647
6,"going",0.0588235294117647
6,"interesting",0.0588235294117647
6,"mayweather",0.0588235294117647
6,"ufc",0.0588235294117647
7,"go",0.100000000777201
7,"yea",0.0999999947382566
7,"atl",0.099999994036323
7,"say",0.0999999927941941
7,"espn",0.0500000014711686
7,"nfl",0.0500000014711686
7,"oh",0.0500000014711686
7,"teams",0.0500000014711686
7,"last",0.0500000014711686
7,"3rd",0.0500000014711686
7,"killin",0.0500000014711686
7,"overall",0.0500000014711686
7,"panthers",0.0500000014711686
7,"pick",0.0500000014711686
7,"t.g",0.0500000014711686
7,"year",0.0500000014711686
8,"corn",0.0526315789473684
8,"hey",0.0526315789473684
8,"pats",0.0526315789473684
8,"pop",0.0526315789473684
8,"ready",0.0526315789473684
8,"t.o",0.0526315789473684
8,"terrellowens",0.0526315789473684
8,"bring",0.0526315789473684
8,"year",0.0526315789473684
8,"alllllll",0.0526315789473684
8,"day",0.0526315789473684
8,"division",0.0526315789473684
8,"ground",0.0526315789473684
8,"nfc",0.0526315789473684
8,"running",0.0526315789473684
8,"saints",0.0526315789473684
8,"south",0.0526315789473684
8,"turner",0.0526315789473684
8,"want",0.0526315789473684
9,"game",0.0555555555555556
9,"start",0.0555555555555556
9,"yea",0.0555555555555556
9,"oh",0.0555555555555556
9,"gaming",0.0555555555555556
9,"got",0.0555555555555556
9,"home",0.0555555555555556
9,"just",0.0555555555555556
9,"getting",0.0555555555555556
9,"halo",0.0555555555555556
9,"hit",0.0555555555555556
9,"live",0.0555555555555556
9,"network",0.0555555555555556
9,"phew",0.0555555555555556
9,"ps",0.0555555555555556
9,"thebrownbomba",0.0555555555555556
9,"wars",0.0555555555555556
9,"xbox",0.0555555555555556
