"topic","term","beta"
1,"apple",0.0260172360150837
1,"today",0.0130086180075428
1,"12xvj7",0.0130086180075428
1,"candy",0.0130086180075428
1,"caramel",0.0130086180075428
1,"deluxe",0.0130086180075428
1,"house",0.0130086180075428
1,"toffee",0.0130086180075428
1,"bengals",0.0130086180075428
1,"nothing",0.00975646350565709
1,"went",0.00975646350565709
1,"best",0.00975646350565709
1,"ever",0.00975646350565709
1,"got",0.00975646350565709
1,"show",0.00975646350565709
1,"complete",0.00975646350565709
1,"pass",0.00975646350565709
2,"que",0.0660743583674109
2,"y",0.0293663815212682
2,"un",0.0220247859430521
2,"twitter",0.0220247327670618
2,"fb",0.0183503965918667
2,"cruzen",0.0146831907606341
2,"para",0.0146831907606341
2,"yo",0.0146831907606341
2,"la",0.0146831907606341
2,"los",0.0146831907606341
2,"d",0.0146831907606341
3,"dothestring.com",0.0443005152183404
3,"gokeygirl80",0.0193813930404669
3,"yay",0.0166126932071396
3,"da",0.0166126932071396
3,"y",0.0166126932071396
3,"money",0.0166126932071396
3,"web",0.0166126932071396
3,"peoplestring",0.0165427564355255
3,"really",0.0138439110059496
3,"free",0.0137973165382011
4,"pwh1983",0.022546144715049
4,"just",0.0222273447668301
4,"u",0.0204401528227444
4,"know",0.0204401528227444
4,"pack",0.0127750955142153
4,"mermaid",0.0127750955142153
4,"still",0.0107663628157434
4,"bee",0.0102200764113722
4,"bumble",0.0102200764113722
4,"go",0.0102200764113722
4,"cha",0.0102200764113722
4,"ching",0.0102200764113722
4,"working",0.0102200764113722
5,"now",0.0326768688153859
5,"right",0.0251404305947979
5,"get",0.0127781340940745
5,"today",0.0125702152973989
5,"either",0.0125702152973989
5,"one",0.0125702152973989
5,"crazy",0.012570195937947
5,"go",0.0100561722379192
5,"figure",0.0100561722379192
5,"dothestring.com",0.0100561722379192
6,"gracias",0.0375408244558939
6,"por",0.0250272163039292
6,"good",0.0247580275539252
6,"el",0.0187704122279469
6,"muchas",0.0187704122279469
6,"like",0.0138679059157274
6,"recomiendo",0.0125136081519646
6,"ff",0.0125136081519646
6,"uc8pd",0.012513458182269
6,"persimmons",0.0125134289034526
7,"people",0.0235691273139661
7,"racine",0.0202021091340086
7,"take",0.0168350909450072
7,"love",0.0168350909450072
7,"crashoverride_",0.0134680727560057
7,"wi",0.0134680727560057
7,"see",0.0134680727560057
7,"darkmarkus",0.0130880137471833
7,"free",0.0101010545670043
7,"site",0.0101010545670043
7,"fall",0.0101010545670043
7,"dannylohner",0.0101010545670043
7,"follow",0.0101010545670043
7,"got",0.0101010545670043
8,"get",0.0269887418566918
8,"like",0.0205582645038659
8,"last",0.0156524775271897
8,"life",0.0156524775271897
8,"tonight",0.0156524774947784
8,"day",0.0131017279901323
8,"fire",0.0125219820217517
8,"b",0.0125219820217517
8,"missed",0.0125219820217509
8,"watch",0.0125219817570532
9,"blue",0.026001002116632
9,"thanks",0.0227508768627498
9,"back",0.0195007180617333
9,"day",0.0173903113723917
9,"enough",0.0130005010644285
9,"work",0.0130005010644285
9,"much",0.0130005010644285
9,"soon",0.0130005010644285
9,"acheo",0.0130005010644285
9,"get",0.0130005010644285
9,"ahead",0.0130005010644285
