"topic","term","beta"
1,"day",0.076923076923077
1,"rose",0.076923076923077
1,"flowers",0.0512820512820513
1,"www.anytimeflowers.net",0.0512820512820513
1,"delivered",0.0256410256410256
1,"worldwide",0.0256410256410256
1,"8.00",0.0256410256410256
1,"bouquet",0.0256410256410256
1,"carry",0.0256410256410256
1,"cash",0.0256410256410256
1,"deal",0.0256410256410256
1,"hand",0.0256410256410256
1,"roses",0.0256410256410256
1,"wrapped",0.0256410256410256
1,"cold",0.0256410256410256
1,"first",0.0256410256410256
1,"appropriate",0.0256410256410256
1,"autumn",0.0256410256410256
1,"good",0.0256410256410256
1,"hello",0.0256410256410256
1,"rainy",0.0256410256410256
1,"send",0.0256410256410256
1,"cut",0.0256410256410256
1,"experiance",0.0256410256410256
1,"floral",0.0256410256410256
1,"lavender",0.0256410256410256
1,"living",0.0256410256410256
1,"longest",0.0256410256410256
1,"red",0.0256410256410256
1,"shortest",0.0256410256410256
1,"varieties",0.0256410256410256
1,"yellow",0.0256410256410256
1,"yrs",0.0256410256410256
2,"day",0.04
2,"flower",0.04
2,"thru",0.04
2,"water",0.04
2,"began",0.04
2,"best",0.04
2,"blackwell",0.04
2,"crisis",0.04
2,"family",0.04
2,"folks",0.04
2,"go",0.04
2,"help",0.04
2,"huge",0.04
2,"ok",0.04
2,"small",0.04
2,"thanks",0.04
2,"towns",0.04
2,"life",0.04
2,"www.anytimeflowers.net",0.04
2,"always",0.04
2,"arrangements",0.04
2,"change",0.04
2,"every",0.04
2,"longer",0.04
2,"vase",0.04
3,"flood",0.0666666666666667
3,"home",0.0666666666666667
3,"shop",0.0666666666666667
3,"water",0.0666666666666667
3,"life",0.0666666666666667
3,"can",0.0666666666666667
3,"cause",0.0666666666666667
3,"cleaning",0.0666666666666667
3,"grief",0.0666666666666667
3,"much",0.0666666666666667
3,"source",0.0666666666666667
3,"tough",0.0666666666666667
3,"warehouse",0.0666666666666667
3,"waters",0.0666666666666667
3,"yet",0.0666666666666667
4,"flowers",0.0606060606060606
4,"air",0.0606060606060606
4,"beautiful",0.0606060606060606
4,"babies",0.0303030303030303
4,"life",0.0303030303030303
4,"sbcglobal.net",0.0303030303030303
4,"see",0.0303030303030303
4,"www.anytimeflowers",0.0303030303030303
4,"www.anytimeflowers.net",0.0303030303030303
4,"love",0.0303030303030303
4,"worldwide",0.0303030303030303
4,"nice",0.0303030303030303
4,"weather",0.0303030303030303
4,"balloons",0.0303030303030303
4,"birthday",0.0303030303030303
4,"first",0.0303030303030303
4,"fun",0.0303030303030303
4,"hats",0.0303030303030303
4,"kids",0.0303030303030303
4,"park",0.0303030303030303
4,"party",0.0303030303030303
4,"pauls",0.0303030303030303
4,"shaun",0.0303030303030303
4,"swords",0.0303030303030303
4,"twisted",0.0303030303030303
4,"yesterday",0.0303030303030303
4,"send",0.0303030303030303
4,"chill",0.0303030303030303
4,"dry",0.0303030303030303
4,"sunny",0.0303030303030303
5,"breakfast",0.0833333333333334
5,"need",0.0555555555555556
5,"church",0.0555555555555556
5,"feed",0.0555555555555556
5,"month",0.0555555555555556
5,"flowers",0.0277777777777778
5,"flood",0.0277777777777778
5,"home",0.0277777777777778
5,"know",0.0277777777777778
5,"brothers",0.0277777777777778
5,"christ",0.0277777777777778
5,"food",0.0277777777777778
5,"going",0.0277777777777778
5,"jesus",0.0277777777777778
5,"sisters",0.0277777777777778
5,"spiritual",0.0277777777777778
5,"turn",0.0277777777777778
5,"bringing",0.0277777777777778
5,"called",0.0277777777777778
5,"getting",0.0277777777777778
5,"check",0.0277777777777778
5,"insurance",0.0277777777777778
5,"make",0.0277777777777778
5,"oncoming",0.0277777777777778
5,"secure",0.0277777777777778
5,"still",0.0277777777777778
5,"waiting",0.0277777777777778
5,"warm",0.0277777777777778
5,"winter",0.0277777777777778
5,"wwww.anytimeflowers.net",0.0277777777777778
6,"daisies",0.0909090909090909
6,"delivery",0.0909090909090909
6,"www.anytimeflowers.net",0.0909090909090909
6,"flowers",0.0454545454545454
6,"flower",0.0454545454545454
6,"blackwell",0.0454545454545454
6,"ok",0.0454545454545454
