"topic","term","beta"
1,"day",0.0265186193347509
1,"u",0.0174316142616959
1,"going",0.0171325905492996
1,"get",0.0152073232399774
1,"just",0.0151097551931183
1,"back",0.0124650455761451
1,"fb",0.00975119101191354
1,"weekend",0.00960590677002242
1,"morning",0.00948586386251512
1,"tonight",0.0091528036473543
2,"twitpic.com",0.0448843656894835
2,"now",0.0142146832043921
2,"going",0.0127661108798315
2,"way",0.0121553377578036
2,"like",0.0119870378029026
2,"night",0.010345122203207
2,"dont",0.00748870540792624
2,"people",0.00725869707306581
2,"girl",0.00713085021926672
2,"home",0.00646677202492712
3,"rt",0.0245271907121542
3,"got",0.0230889331310801
3,"just",0.0204567067690668
3,"followers",0.0201930609433717
3,"40ouo",0.019231486612735
3,"twitter",0.0182688329736974
3,"army",0.0125004662982777
3,"social",0.011538891967641
3,"make",0.0105274769786547
3,"omg",0.00961574288833794
4,"rt",0.0443049525108882
4,"mayweather",0.0232931887962741
4,"live",0.0135085980888161
4,"thanks",0.0132839308376493
4,"care",0.0126171450427798
4,"ready",0.0115180726344886
4,"fight",0.0100596917688813
4,"d",0.00956183188558462
4,"still",0.00862736584917715
4,"now",0.00836011803613579
5,"post",0.0117402153461011
5,"just",0.011676787468391
5,"u",0.0100023278715006
5,"lol",0.00964485624996054
5,"someone",0.00926063380450119
5,"www.digitalzendo.com",0.00880516150975932
5,"wish",0.00880516150975687
5,"ma",0.00782681023089675
5,"nd",0.00782680345661066
5,"miiz_ronnie",0.00775851481109846
6,"good",0.0486127169673253
6,"today",0.0142718574628612
6,"like",0.0108162340460085
6,"great",0.0101074905934957
6,"night",0.00952388031092266
6,"boy",0.00917260248163716
6,"school",0.00917260234920246
6,"feel",0.00844264526196682
6,"year",0.00825487663045879
6,"coffee",0.00674756969499801
7,"know",0.0297817110661972
7,"one",0.0296161896303617
7,"think",0.0215170868631326
7,"work",0.0209703222215393
7,"little",0.0192532899057868
7,"love",0.0159697663928412
7,"haha",0.0140280281918439
7,"ya",0.0107004145295754
7,"take",0.0106585848798152
7,"rt",0.0105327745117814
8,"ping.fm",0.0153109324347688
8,"time",0.0121224671541859
8,"just",0.0118944719776214
8,"new",0.0103424760111078
8,"much",0.0100678302323527
8,"better",0.00940782622583134
8,"can",0.00874802306176373
8,"way",0.00709697422042478
8,"like",0.00706490260736274
8,"best",0.00697910558167528
9,"new",0.0358782374482631
9,"tinyurl.com",0.0234833105614053
9,"qjoa8o",0.0224158873540747
9,"cacsm.com",0.0213484641467378
9,"county",0.0213484641467378
9,"wide",0.0213484641467378
9,"pole",0.0202810409394009
9,"great",0.0154912259610622
9,"delaware",0.0149439228929139
9,"professional",0.0117416545924373
