"topic","term","beta"
1,"rt",0.0259379659857848
1,"need",0.0186852346733338
1,"just",0.0164865699193657
1,"kuww",0.0145974544421842
1,"tinyurl.com",0.0137171073386546
1,"honk4tad",0.0131377089979658
1,"tickets",0.0131373776990561
1,"see",0.0129991309647111
1,"time",0.011677914864071
1,"ku",0.0113702226101871
2,"kansas",0.0283704732747422
2,"duke",0.0257913393406747
2,"follow",0.0180539375384723
2,"great",0.0138392689792371
2,"coverage",0.0116061027033036
2,"kugameday",0.0116061027033036
2,"game",0.0112860930731942
2,"ku",0.0105883999540178
2,"rt",0.0105268081885752
2,"jayhawks",0.00902696876923616
3,"love",0.0231488861095392
3,"like",0.0219545805601408
3,"friend",0.0134496968717242
3,"just",0.0132824756244202
3,"day",0.011234250064869
3,"look",0.0111094220573715
3,"get",0.011005738911838
3,"rt",0.0101883183448613
3,"make",0.00922096047797952
3,"womp",0.00790409094018932
3,"kids",0.00790409094018932
3,"stuff",0.00790409094018932
4,"good",0.0239179688691091
4,"back",0.0204373623490303
4,"work",0.0163077545272735
4,"like",0.0119139958256501
4,"can",0.0104668387385413
4,"day",0.00973447803130216
4,"watching",0.00869746908220128
4,"jayhawks",0.00865017690360933
4,"tonight",0.0082740913268052
4,"game",0.00788007309028188
5,"just",0.0178110155894812
5,"go",0.0172358440957728
5,"now",0.0134236423082256
5,"kanye",0.0126669996785615
5,"awesome",0.0103639088333962
5,"bad",0.0103638818803308
5,"rt",0.0101567541131301
5,"right",0.00921236340746328
5,"show",0.00806081796805246
5,"good",0.00806081796055005
6,"griffin",0.0506780837951379
6,"tim",0.0287632367485918
6,"posted",0.0273935588081827
6,"espn.com's",0.0260238808677735
6,"really",0.0164361191137799
6,"big",0.0123271014636822
6,"one",0.0121589198583317
6,"texas",0.0109574235232731
6,"week",0.0109574235232523
6,"thinking",0.0102989948770167
7,"time",0.0288039461502944
7,"day",0.0155360775410974
7,"going",0.0150701312961299
7,"today",0.0143307027174432
7,"get",0.0137271960772743
7,"just",0.0109815474712855
7,"one",0.010635935195949
7,"new",0.00960132719109075
7,"full",0.00960125321392123
7,"dinner",0.0082297090209349
8,"oh",0.043497268736589
8,"airport",0.0314980221885645
8,"f",0.0314980221885645
8,"allen",0.0299981163700614
8,"county",0.0299981163700614
8,"lima",0.0299981163700614
8,"pressure",0.0299981163700614
8,"vgnm1",0.0299981163700614
8,"winds",0.0299981163700614
8,"lnk.ms",0.0254983989145522
8,"kt",0.0254983989145522
8,"mph",0.0254983989145522
9,"chicken",0.0134065171350836
9,"social",0.0134065171348977
9,"rt",0.00893767809005572
9,"basketball",0.00893767809005572
9,"blue",0.00893767809005572
9,"college",0.00893767809005572
9,"get",0.00801585556601596
9,"today",0.00784146921576587
9,"selected",0.00744806507504644
9,"fry",0.00744806507504644
9,"stir",0.00744806507504644
9,"aldrich",0.00744806507504644
9,"preaseason",0.00744806507504644
9,"ribbon",0.00744806507504644
9,"yearbook",0.00744806507504644
