"topic","term","beta"
1,"see",0.0208977549376637
1,"love",0.0146284284533412
1,"rt",0.0125380401945646
1,"got",0.0106389178333045
1,"followfriday",0.0104488774688318
1,"great",0.0104488774688318
1,"pick",0.00835910197506547
1,"watch",0.00835870981110202
1,"right",0.0062693264812991
1,"talk",0.0062693264812991
1,"turkreno",0.0062693264812991
1,"parents",0.0062693264812991
1,"kid",0.0062693264812991
1,"hard",0.0062693264812991
2,"get",0.0289680324227276
2,"like",0.0140660882254485
2,"want",0.0126171996517577
2,"going",0.0105143330431314
2,"yet",0.0103646447917685
2,"science",0.00841146643450513
2,"bad",0.00841146643450513
2,"coreytexas",0.00841146643450513
2,"gylda",0.00841146643449567
2,"let",0.00840968394903502
3,"day",0.0229626622906293
3,"today",0.0167051893005544
3,"just",0.0155733527138037
3,"good",0.0141233045969628
3,"now",0.0131323799782329
3,"d",0.0102707489337584
3,"school",0.00883179344154332
3,"freaking",0.00883179344154332
3,"wtfnews",0.00883179344154332
3,"lol",0.00883166660982469
4,"love",0.0193541153781173
4,"september",0.0169348509558526
4,"fishing",0.014515586533588
4,"can",0.014515586533588
4,"river",0.014515586533588
4,"family",0.0120963221113233
4,"university",0.0118006802721904
4,"body",0.00967705768905864
4,"cumberland",0.00967705768905864
4,"found",0.00967705768905864
4,"nicole",0.00967705768905864
4,"tennessean",0.00967705768905864
4,"trip",0.00967705768905864
4,"young",0.00967705768905864
4,"hope",0.00967705768905864
4,"lorimoreno",0.00967705768905864
4,"tweets",0.00967705768905864
5,"fishing",0.104685391653913
5,"report",0.0249246719843084
5,"texas",0.0249149501272127
5,"fish",0.0221508091422397
5,"man",0.0149550560999912
5,"s",0.0149550560999912
5,"make",0.0134116627685918
5,"high",0.0124625467499926
5,"day",0.0124625435880748
5,"bass",0.0114559949679582
6,"corpus",0.0354170794196826
6,"christi",0.0354170794196296
6,"times",0.0247919555942273
6,"caller",0.0230211016232111
6,"just",0.0224193095869768
6,"texas",0.0123959777971137
6,"university",0.0123959777971137
6,"better",0.0123959777971137
6,"m",0.0123959764773237
6,"morning",0.00885426985508119
7,"today",0.0214467171161236
7,"false",0.0161094081524725
7,"need",0.0161094076420652
7,"none",0.0107396054349817
7,"x",0.0107396054349817
7,"top",0.0107396054349817
7,"one",0.0107396054349817
7,"tackle",0.0102101869472478
7,"win",0.00805470407623626
7,"please",0.00805470407623626
7,"ok",0.00805470407623626
7,"usc",0.00805470407623626
7,"upset",0.00805470407623626
7,"going",0.00805470407623626
7,"think",0.00805470407623626
7,"watch",0.00805470407623626
8,"water",0.118421052631581
8,"wind",0.061403508771931
8,"speed",0.0599415204678177
8,"cdt",0.0584795321637438
8,"f",0.0584795321637438
8,"ft",0.0584795321637438
8,"level",0.0584795321637438
8,"mph",0.0584795321637438
8,"msl",0.0584795321637438
8,"sep",0.0584795321637438
8,"temp",0.0584795321637438
8,"wed",0.0584795321637438
9,"lol",0.0176872899683612
9,"thanks",0.0138586807660102
9,"facts",0.0118788692280088
9,"going",0.0118788692280088
9,"bored",0.00989905767985991
9,"im",0.00989905759965658
9,"get",0.00987917643593322
9,"now",0.00903839658371627
9,"fishin",0.00791924615200585
9,"legend",0.00791924615200585
9,"local",0.00791924615200585
9,"jk",0.00791924615200585
9,"book",0.00791924615200585
9,"right",0.00791924615200585
9,"can",0.00791924615200585
9,"message",0.00791924615200585
9,"ha",0.00791924615200585
9,"rt",0.00791924615200585
9,"twitter",0.00791924615200585
9,"tonight",0.00791924615200585
9,"things",0.00791924615200585
9,"ralphp",0.00791924615200585
9,"vodatron",0.00791924615200585
