"topic","term","beta"
1,"just",0.0403692950157217
1,"feel",0.0153210750773254
1,"say",0.0151081766295367
1,"god",0.0140451745630175
1,"work",0.0130236700381386
1,"little",0.0122455816925619
1,"school",0.0107999807566752
1,"around",0.0102146724094402
1,"well",0.0101857719125678
1,"get",0.00993889077637508
2,"good",0.0249344224609227
2,"show",0.0153764615166024
2,"just",0.0152696535459942
2,"next",0.015089398441655
2,"now",0.0149381111954236
2,"make",0.0127820613233908
2,"right",0.0118049350962997
2,"shit",0.0102086414012219
2,"much",0.00945317755247068
2,"time",0.00945182694169901
3,"long",0.0182311147957864
3,"home",0.0158875787180735
3,"night",0.0156149195311901
3,"amandanoyes",0.0131745021059093
3,"day",0.0130089038802486
3,"getting",0.0124500393148508
3,"last",0.0111366780512333
3,"smh",0.00911548925541042
3,"today",0.00877815603412279
3,"first",0.00797611272138421
4,"youtube",0.0185994649863763
4,"mobsters2",0.0172709317730637
4,"life",0.0149148183811845
4,"twitpic.com",0.0145832099162635
4,"time",0.0134637056096912
4,"channel",0.0119567989198133
4,"watch",0.0119565634597549
4,"cause",0.0119427113793655
4,"come",0.0116476749134707
4,"subscribed",0.0106282657065008
5,"go",0.0356029756927341
5,"lol",0.0286858431991647
5,"back",0.0188266733970132
5,"game",0.0154046936514396
5,"now",0.0140136893315302
5,"said",0.0130347214224053
5,"gonna",0.012548239600969
5,"going",0.0116853554480366
5,"think",0.0114404391132648
5,"one",0.0106647879126907
6,"riverside",0.0355761408701608
6,"ca",0.0301028884286053
6,"confidential",0.0232613228766495
6,"ha",0.0136831311038687
6,"take",0.010946504806539
6,"uraredsoxfanwhen",0.0109448475972521
6,"can",0.0104211977082817
6,"haha",0.00865161637048855
6,"vikkfury",0.0082098786623469
6,"true",0.00808184968557875
7,"im",0.0327698631750419
7,"new",0.0218478687637214
7,"need",0.0195049463279518
7,"us",0.0191992220805268
7,"wtf",0.0149921155508314
7,"good",0.0127054994709756
7,"got",0.0123961042351053
7,"holyhottie82",0.0109709842669413
7,"anything",0.0109709842364838
7,"even",0.0109698391292108
8,"get",0.033522697200796
8,"d",0.021201164158523
8,"u",0.01804711162777
8,"twitter",0.0157869317827387
8,"can",0.0145688718512144
8,"l0l",0.0144713542978671
8,"like",0.0134072624569508
8,"well",0.0128180579731142
8,"oh",0.0114987860290643
8,"rissacupcake",0.0105246103556807
9,"tayypk",0.0417195561939724
9,"robdyrdeksphonenumber",0.0208598195308187
9,"tomorrow",0.0206906483238945
9,"see",0.0174808879648221
9,"maybe",0.0143402387554031
9,"haha",0.0138002155253264
9,"night",0.0133002007981844
9,"big",0.0130373872067765
9,"hollywood323",0.0130373872067765
9,"awesome",0.0116571442839317
