"topic","term","beta"
1,"good",0.08
1,"long",0.08
1,"around",0.04
1,"song",0.04
1,"world",0.04
1,"get",0.04
1,"much",0.04
1,"kids",0.04
1,"mornin",0.04
1,"pandora",0.04
1,"radio",0.04
1,"day",0.04
1,"hard",0.04
1,"already",0.04
1,"awesome",0.04
1,"bump",0.04
1,"capped",0.04
1,"head",0.04
1,"right",0.04
1,"sock",0.04
1,"funk",0.04
1,"never",0.04
1,"wake",0.04
2,"new",0.0644640360174361
2,"enough",0.0644640360174361
2,"just",0.0644640360174361
2,"like",0.032232018008718
2,"thank",0.032232018008718
2,"good",0.032232018008718
2,"jam",0.032232018008718
2,"mqockn",0.032232018008718
2,"rt",0.032232018008718
2,"therealsyg",0.032232018008718
2,"tinyurl.com",0.032232018008718
2,"video",0.032232018008718
2,"watch",0.032232018008718
2,"actually",0.032232018008718
2,"black",0.032232018008718
2,"dahlia",0.032232018008718
2,"got",0.032232018008718
2,"lately",0.032232018008718
2,"listening",0.032232018008718
2,"maybe",0.032232018008718
2,"metal",0.032232018008718
2,"murder",0.032232018008718
2,"nile",0.032232018008718
2,"drink",0.032232018008718
2,"okay",0.032232018008718
2,"pbr",0.032232018008718
2,"wine",0.032232018008718
2,"yay",0.032232018008718
3,"really",0.0869565217391304
3,"go",0.0434782608695652
3,"anything",0.0434782608695652
3,"early",0.0434782608695652
3,"even",0.0434782608695652
3,"fan",0.0434782608695652
3,"get",0.0434782608695652
3,"job",0.0434782608695652
3,"nice",0.0434782608695652
3,"real",0.0434782608695652
3,"sleeping",0.0434782608695652
3,"sometimes",0.0434782608695652
3,"though",0.0434782608695652
3,"night",0.0434782608695652
3,"butt",0.0434782608695652
3,"chubby",0.0434782608695652
3,"fruz",0.0434782608695652
3,"wants",0.0434782608695652
3,"yogen",0.0434782608695652
3,"officially",0.0434782608695652
3,"party",0.0434782608695652
3,"pooper",0.0434782608695652
4,"good",0.0526315789473684
4,"ever",0.0526315789473684
4,"new",0.0263157894736842
4,"song",0.0263157894736842
4,"emmure",0.0263157894736842
4,"led",0.0263157894736842
4,"zeppelin",0.0263157894736842
4,"vs",0.0263157894736842
4,"appreciates",0.0263157894736842
4,"end",0.0263157894736842
4,"fade",0.0263157894736842
4,"nice",0.0263157894736842
4,"anymore",0.0263157894736842
4,"boy",0.0263157894736842
4,"can",0.0263157894736842
4,"girl",0.0263157894736842
4,"make",0.0263157894736842
4,"obvious",0.0263157894736842
4,"cover",0.0263157894736842
4,"distance",0.0263157894736842
4,"falling",0.0263157894736842
4,"night",0.0263157894736842
4,"river",0.0263157894736842
4,"slowly",0.0263157894736842
4,"every",0.0263157894736842
4,"movie",0.0263157894736842
4,"notice",0.0263157894736842
4,"racquetball",0.0263157894736842
4,"s",0.0263157894736842
4,"scene",0.0263157894736842
4,"hurt",0.0263157894736842
4,"legs",0.0263157894736842
4,"pain",0.0263157894736842
4,"cease",0.0263157894736842
4,"disappoint",0.0263157894736842
4,"people",0.0263157894736842
5,"today",0.0952380952380952
5,"going",0.0476190476190476
5,"idea",0.0476190476190476
5,"sunday",0.0476190476190476
5,"focus",0.0476190476190476
5,"actual",0.0476190476190476
5,"anybody",0.0476190476190476
5,"college",0.0476190476190476
5,"credit",0.0476190476190476
5,"fair",0.0476190476190476
5,"flyers",0.0476190476190476
5,"hard",0.0476190476190476
5,"internship",0.0476190476190476
5,"passing",0.0476190476190476
5,"su",0.0476190476190476
5,"table",0.0476190476190476
5,"theater",0.0476190476190476
5,"want",0.0476190476190476
5,"westcott",0.0476190476190476
5,"work",0.0476190476190476
6,"cowboys",0.05
6,"giants",0.05
6,"go",0.05
6,"team",0.05
6,"vs",0.05
6,"forgot",0.05
6,"knew",0.05
6,"minusthebeard",0.05
6,"morning",0.05
6,"something",0.05
6,"mall",0.05
6,"almost",0.05
6,"certain",0.05
6,"chinese",0.05
6,"death",0.05
6,"food",0.05
6,"last",0.05
6,"meal",0.05
6,"mediocre",0.05
6,"row",0.05
7,"now",0.114367571758356
7,"summer",0.0854412833282982
7,"go",0.0853938211667316
7,"autumn",0.0571837858997291
7,"day",0.0571837858997291
7,"right",0.0571837858997291
7,"really",0.0285918929498646
7,"job",0.0285918929498646
7,"crappy",0.0285918929498646
7,"muggy",0.0285918929498646
7,"town",0.0285918929498646
7,"flyer",0.0285918929498646
7,"gonna",0.0285918929498646
7,"mall",0.0285918929498646
7,"sucks",0.0285918929498646
7,"think",0.0285918929498646
7,"amazing",0.0285918929498646
7,"sky",0.0285918929498646
7,"w",0.0285918929498646
7,"away",0.0285918929498646
7,"needs",0.0285918929498646
7,"check",0.0285918929498646
7,"nickelodeon",0.0285918929498646
7,"stations",0.0285918929498646
7,"tv",0.0285918929498646
8,"like",0.0526315789473684
8,"take",0.0526315789473684
8,"time",0.0526315789473684
8,"long",0.0526315789473684
8,"america",0.0263157894736842
8,"englishcore",0.0263157894736842
8,"guileful",0.0263157894736842
8,"introducing",0.0263157894736842
8,"mattwillson43",0.0263157894736842
8,"thank",0.0263157894736842
8,"word",0.0263157894736842
8,"youth",0.0263157894736842
8,"bran",0.0263157894736842
8,"cracklin",0.0263157894736842
8,"full",0.0263157894736842
8,"goes",0.0263157894736842
8,"little",0.0263157894736842
8,"much",0.0263157894736842
8,"oat",0.0263157894736842
8,"remember",0.0263157894736842
8,"tummy",0.0263157894736842
8,"ugh",0.0263157894736842
8,"way",0.0263157894736842
8,"alive",0.0263157894736842
8,"beer",0.0263157894736842
8,"come",0.0263157894736842
8,"didnt",0.0263157894736842
8,"feel",0.0263157894736842
8,"one",0.0263157894736842
8,"sooo",0.0263157894736842
8,"cream",0.0263157894736842
8,"drinking",0.0263157894736842
8,"eating",0.0263157894736842
8,"ice",0.0263157894736842
9,"oh",0.0909090909090909
9,"drunk",0.0606060606060606
9,"fox",0.0303030303030303
9,"funny",0.0303030303030303
9,"news",0.0303030303030303
9,"thank",0.0303030303030303
9,"idea",0.0303030303030303
9,"get",0.0303030303030303
9,"ericwk",0.0303030303030303
9,"motorola",0.0303030303030303
9,"rokr",0.0303030303030303
9,"hello",0.0303030303030303
9,"sucks",0.0303030303030303
9,"iamjeffzorn",0.0303030303030303
9,"yep",0.0303030303030303
9,"close",0.0303030303030303
9,"love",0.0303030303030303
9,"salad",0.0303030303030303
9,"talker",0.0303030303030303
9,"pbr",0.0303030303030303
9,"yay",0.0303030303030303
9,"minusthebear",0.0303030303030303
