"topic","term","beta"
1,"got",0.0526315565672919
1,"mlboyd25",0.0526315565672919
1,"iz",0.0526315565672919
1,"lol",0.0350877043781946
1,"eljones91",0.0350877043781946
1,"gonna",0.0350877043781946
1,"mssandytaylor",0.0350877043781946
1,"myspace",0.0350877043781946
1,"anybody",0.0175438521890973
1,"key",0.0175438521890973
1,"temple",0.0175438521890973
1,"clothes",0.0175438521890973
1,"war",0.0175438521890973
1,"think",0.0175438521890973
1,"yall",0.0175438521890973
1,"damn",0.0175438521890973
1,"true",0.0175438521890973
1,"2day",0.0175438521890973
1,"day",0.0175438521890973
1,"good",0.0175438521890973
1,"headz",0.0175438521890973
1,"tweet",0.0175438521890973
1,"big",0.0175438521890973
1,"nigga",0.0175438521890973
1,"kingcuttasc",0.0175438521890973
1,"highryse",0.0175438521890973
1,"thadutchez843",0.0175438521890973
1,"thatz",0.0175438521890973
1,"christmas",0.0175438521890973
1,"dancer",0.0175438521890973
1,"edition",0.0175438521890973
1,"exotic",0.0175438521890973
1,"follow",0.0175438521890973
1,"isis",0.0175438521890973
1,"animal",0.0175438521890973
1,"beatz",0.0175438521890973
1,"mami",0.0175438521890973
1,"muzik",0.0175438521890973
1,"twirk",0.0175438521890973
1,"hatin",0.0175438521890973
1,"nevermind",0.0175438521890973
1,"ok",0.0175438521890973
1,"play",0.0175438521890973
1,"tryin",0.0175438521890973
2,"da",0.0571428571428571
2,"rt",0.0428571428571429
2,"team",0.0428571428571429
2,"shirt",0.0428571428571429
2,"twitpic.com",0.0428571428571429
2,"u",0.0285714285714286
2,"already",0.0285714285714286
2,"gotta",0.0285714285714286
2,"know",0.0285714285714286
2,"beach",0.0285714285714286
2,"tonight",0.0285714285714286
2,"highryse",0.0285714285714286
2,"hold",0.0285714285714286
2,"j983t",0.0285714285714286
2,"look",0.0285714285714286
2,"wearing",0.0285714285714286
3,"wit",0.0980392107327112
3,"fuckin",0.0588235297348232
3,"im",0.0588235297348232
3,"king",0.0588235297348232
3,"madden10",0.0588235297348232
3,"can",0.0588235297348232
3,"lol",0.0392156864898821
3,"thought",0.0392156864898821
3,"aint",0.0392156864898821
3,"beat",0.0392156864898821
3,"big",0.0392156864898821
3,"brother",0.0392156864898821
3,"chilling",0.0392156864898821
3,"nigga",0.0392156864898821
4,"u",0.0370370360106093
4,"go",0.0370370360106093
4,"tomnmusic",0.0370370360106093
4,"things",0.0370370360106093
4,"mssandytaylor",0.0370370360106093
4,"today",0.0370370360106093
4,"biggkev88big",0.0370370360106093
4,"poppin",0.0370370360106093
4,"love",0.0185185180053046
4,"lol",0.0185185180053046
4,"damn",0.0185185180053046
4,"hell",0.0185185180053046
4,"ready",0.0185185180053046
4,"just",0.0185185180053046
4,"agree",0.0185185180053046
4,"already",0.0185185180053046
4,"approach",0.0185185180053046
4,"defeated",0.0185185180053046
4,"downs",0.0185185180053046
4,"every",0.0185185180053046
4,"let",0.0185185180053046
4,"pass",0.0185185180053046
4,"relationship",0.0185185180053046
4,"situation",0.0185185180053046
4,"one",0.0185185180053046
4,"time",0.0185185180053046
4,"god",0.0185185180053046
4,"know",0.0185185180053046
4,"now",0.0185185180053046
4,"prepare",0.0185185180053046
4,"take",0.0185185180053046
4,"work",0.0185185180053046
4,"chillin",0.0185185180053046
4,"plan",0.0185185180053046
4,"whatz",0.0185185180053046
4,"always",0.0185185180053046
4,"mess",0.0185185180053046
4,"retweets",0.0185185180053046
4,"calculating",0.0185185180053046
4,"consumer",0.0185185180053046
4,"index",0.0185185180053046
4,"industry",0.0185185180053046
4,"learning",0.0185185180053046
4,"major",0.0185185180053046
4,"music",0.0185185180053046
4,"price",0.0185185180053046
5,"rt",0.0634920634920635
5,"juve803",0.0476190476190476
5,"ready",0.0317460317460318
5,"chmurray4644",0.0317460317460318
5,"big",0.0317460317460318
5,"bad",0.0317460317460318
5,"bussin",0.0317460317460318
5,"cuffin",0.0317460317460318
5,"itz",0.0317460317460318
5,"nigga's",0.0317460317460318
5,"ones",0.0317460317460318
5,"smes",0.0317460317460318
6,"thehustleboyz",0.0677966101694915
6,"rt",0.0508474576271186
6,"check",0.0508474576271186
6,"cam5812",0.0338983050847458
6,"hitmansc",0.0338983050847458
6,"www.myspace.com",0.0338983050847458
6,"got",0.0169491525423729
6,"blunt",0.0169491525423729
6,"boosie",0.0169491525423729
6,"damn",0.0169491525423729
6,"gun",0.0169491525423729
6,"hell",0.0169491525423729
6,"lawyer",0.0169491525423729
6,"mustof",0.0169491525423729
6,"ninemill",0.0169491525423729
6,"ti",0.0169491525423729
6,"years",0.0169491525423729
6,"church",0.0169491525423729
6,"jesus",0.0169491525423729
6,"sermon",0.0169491525423729
6,"title",0.0169491525423729
6,"wept",0.0169491525423729
6,"attention",0.0169491525423729
6,"carolinas",0.0169491525423729
6,"courtesy",0.0169491525423729
6,"mschriss",0.0169491525423729
6,"support",0.0169491525423729
6,"www.thelyfestyle.com",0.0169491525423729
6,"clean",0.0169491525423729
6,"dj's",0.0169491525423729
6,"drty",0.0169491525423729
6,"everywhere",0.0169491525423729
6,"ft",0.0169491525423729
6,"grindin",0.0169491525423729
6,"instru",0.0169491525423729
6,"lil_ri",0.0169491525423729
6,"nc",0.0169491525423729
6,"promo",0.0169491525423729
6,"sc",0.0169491525423729
6,"tinyurl",0.0169491525423729
6,"everybody",0.0169491525423729
6,"hey",0.0169491525423729
6,"minutes",0.0169491525423729
6,"next",0.0169491525423729
6,"page",0.0169491525423729
6,"brand",0.0169491525423729
6,"musick",0.0169491525423729
6,"new",0.0169491525423729
6,"uploaded",0.0169491525423729
7,"rt",0.0909090661730284
7,"come",0.0545454560296183
7,"grindcity",0.0363636373530789
7,"lmao",0.0363636373530789
7,"wit",0.0181818186765394
7,"thehustleboyz",0.0181818186765394
7,"lol",0.0181818186765394
7,"mlboyd25",0.0181818186765394
7,"make",0.0181818186765394
7,"call",0.0181818186765394
7,"called",0.0181818186765394
7,"heard",0.0181818186765394
7,"one",0.0181818186765394
7,"streets",0.0181818186765394
7,"thru",0.0181818186765394
7,"now",0.0181818186765394
7,"dj",0.0181818186765394
7,"right",0.0181818186765394
7,"check",0.0181818186765394
7,"interview",0.0181818186765394
7,"nancio",0.0181818186765394
7,"radio",0.0181818186765394
7,"www.grindcityent.com",0.0181818186765394
7,"100.3",0.0181818186765394
7,"beach",0.0181818186765394
7,"cleve",0.0181818186765394
7,"djcleve",0.0181818186765394
7,"live",0.0181818186765394
7,"lock",0.0181818186765394
7,"mix",0.0181818186765394
7,"myrtle",0.0181818186765394
7,"power",0.0181818186765394
7,"smes",0.0181818186765394
7,"sure",0.0181818186765394
7,"tonight",0.0181818186765394
7,"mssandytaylor",0.0181818186765394
7,"booty",0.0181818186765394
7,"dance",0.0181818186765394
7,"first",0.0181818186765394
7,"gone",0.0181818186765394
7,"m",0.0181818186765394
7,"must",0.0181818186765394
7,"see",0.0181818186765394
7,"swole",0.0181818186765394
