"topic","term","beta"
1,"like",0.0294117647058823
1,"arts",0.0294117647058823
1,"bnp",0.0294117647058823
1,"even",0.0294117647058823
1,"expert",0.0294117647058823
1,"laughing",0.0294117647058823
1,"left",0.0294117647058823
1,"lie",0.0294117647058823
1,"martial",0.0294117647058823
1,"wer",0.0294117647058823
1,"wing",0.0294117647058823
1,"yeah",0.0294117647058823
1,"blast",0.0294117647058823
1,"chance",0.0294117647058823
1,"liquid",0.0294117647058823
1,"metal",0.0294117647058823
1,"roll",0.0294117647058823
1,"thing",0.0294117647058823
1,"traffic",0.0294117647058823
1,"truck",0.0294117647058823
1,"windows",0.0294117647058823
1,"help",0.0294117647058823
1,"poison_the_well",0.0294117647058823
1,"best",0.0294117647058823
1,"buy",0.0294117647058823
1,"hand",0.0294117647058823
1,"merch",0.0294117647058823
1,"outs",0.0294117647058823
1,"paypal",0.0294117647058823
1,"shows",0.0294117647058823
1,"supporting",0.0294117647058823
1,"taking",0.0294117647058823
1,"us",0.0294117647058823
1,"way",0.0294117647058823
2,"half",0.0606060606060606
2,"get",0.0303030303030303
2,"week",0.0303030303030303
2,"day",0.0303030303030303
2,"van",0.0303030303030303
2,"work",0.0303030303030303
2,"life",0.0303030303030303
2,"bored",0.0303030303030303
2,"night",0.0303030303030303
2,"sit",0.0303030303030303
2,"threw",0.0303030303030303
2,"can",0.0303030303030303
2,"figure",0.0303030303030303
2,"fire",0.0303030303030303
2,"gideon",0.0303030303030303
2,"i45jo",0.0303030303030303
2,"try'n",0.0303030303030303
2,"twitpic.com",0.0303030303030303
2,"gear",0.0303030303030303
2,"help",0.0303030303030303
2,"ow.ly",0.0303030303030303
2,"personal",0.0303030303030303
2,"please",0.0303030303030303
2,"pleasert",0.0303030303030303
2,"poison_the_well",0.0303030303030303
2,"possessions",0.0303030303030303
2,"q2yb",0.0303030303030303
2,"rt",0.0303030303030303
2,"stolen",0.0303030303030303
2,"trailer",0.0303030303030303
2,"second",0.0303030303030303
2,"begins",0.0303030303030303
3,"another",0.0666666666666667
3,"rt",0.0444444444444445
3,"nothing",0.0444444444444445
3,"now",0.0444444444444445
3,"day",0.0222222222222222
3,"going",0.0222222222222222
3,"boring",0.0222222222222222
