"topic","term","beta"
1,"see",0.022296449882046
1,"want",0.0173979699263843
1,"great",0.0116773692436461
1,"ow.ly",0.0107599536976486
1,"run",0.00959836263148452
1,"good",0.00890160544161123
1,"one",0.00820196726198437
1,"twitter",0.00651167735429641
1,"night",0.0059259044935891
1,"everyone",0.00574303842980729
2,"going",0.0217585030123463
2,"right",0.0169414635415675
2,"nice",0.0132875925987779
2,"rt",0.0117387562794523
2,"even",0.00998764471696712
2,"yeah",0.00880305878273675
2,"just",0.00864763751224342
2,"now",0.00815474325283353
2,"today",0.00781127079591129
2,"day",0.00727775059821485
3,"rt",0.0608442158791125
3,"check",0.014618919690123
3,"media",0.0112563901239537
3,"twitpic.com",0.0110070403042075
3,"social",0.0108811767541442
3,"hey",0.00663004763249211
3,"personal",0.00616006511888628
3,"call",0.00600340805747485
3,"back",0.00586509106917867
3,"many",0.00562612618417729
4,"go",0.0243593767775895
4,"like",0.0156160901961875
4,"one",0.0150252617133672
4,"rt",0.0128354104947893
4,"day",0.0119879550093623
4,"fun",0.00951153510587479
4,"best",0.00920945640950563
4,"weekend",0.00864964408899461
4,"twins",0.00864963726905065
4,"great",0.00841940051362559
5,"rt",0.0155174763103748
5,"thank",0.0133520457593344
5,"u",0.0117507359779971
5,"now",0.00954078991608344
5,"well",0.00766267301508076
5,"like",0.00754025185915686
5,"done",0.00752227897268455
5,"always",0.00658196066450355
5,"can",0.00652004683866265
5,"ok",0.00629792209825873
6,"good",0.0296195552871571
6,"just",0.0194503070078606
6,"need",0.0102491603099343
6,"school",0.00904679775319684
6,"new",0.00745507507197628
6,"day",0.00695393674786969
6,"fantasy",0.00684347077115486
6,"found",0.00684346126857615
6,"like",0.00655914532233138
6,"morning",0.00646569452591353
7,"work",0.021197901449336
7,"getting",0.0128380563505364
7,"still",0.0116335962861131
7,"can",0.0114944712839754
7,"get",0.0110134133316757
7,"just",0.0107721630264266
7,"twitter",0.00925286319431656
7,"coffee",0.00834595135933822
7,"please",0.00834595135933822
7,"share",0.00834595135933822
8,"love",0.0281420447944795
8,"home",0.0151062435762975
8,"thanks",0.0149939979974013
8,"first",0.0142480635172796
8,"show",0.0128583301065411
8,"just",0.0125720709886056
8,"minneapolis",0.0113297872929229
8,"mn",0.00730406321899412
8,"friday",0.00703702675595299
8,"morning",0.00690226116220208
9,"tinyurl.com",0.0473224444558946
9,"lol",0.0191186172086801
9,"health",0.0122915453851383
9,"yes",0.0118818091749384
9,"new",0.0103835354082492
9,"care",0.00921865903875399
9,"visit",0.00757975336022573
9,"s",0.0068536633192804
9,"obama",0.00675444359313371
9,"jackson",0.00655549087207375
