"topic","term","beta"
1,"ca",0.0147123499838136
1,"long",0.0124487075726717
1,"day",0.0118499076366368
1,"beach",0.0116768564254235
1,"happy",0.0105788848179567
1,"hey",0.00873907877495939
1,"new",0.00873617621009837
1,"deals",0.00735922423154487
1,"great",0.00683335251265503
1,"ass",0.00659557349863586
2,"love",0.0421331134252237
2,"just",0.0229233820113504
2,"know",0.0163382535671213
2,"want",0.0144671343345839
2,"like",0.012966167256216
2,"still",0.011274611902027
2,"good",0.00918347629383837
2,"get",0.00806804617529929
2,"one",0.00769549602503342
2,"ugh",0.00738397071244123
3,"now",0.0182198687125535
3,"thanks",0.0169404453597782
3,"new",0.016138211159341
3,"blog",0.0120209307700829
3,"home",0.0114640727031596
3,"lol",0.0109855233472578
3,"check",0.0104158562953797
3,"just",0.0101208985041437
3,"watching",0.00827040959048887
3,"dame",0.00774421614999818
3,"notre",0.00774421614999818
4,"free",0.0286926707237587
4,"can",0.0166842061576076
4,"get",0.0112616547521754
4,"mi",0.010695342826189
4,"nice",0.0104335881660646
4,"rt",0.0085923571901265
4,"waiting",0.00826525205060778
4,"people",0.00804268785269613
4,"going",0.00790074204840228
4,"getting",0.00775426684568636
5,"just",0.0166540060573294
5,"see",0.0139747728996611
5,"night",0.0137916970187052
5,"really",0.0136109318438285
5,"like",0.0123501156269859
5,"good",0.0119240914444544
5,"haha",0.0100949876505663
5,"work",0.00954038663219096
5,"damn",0.00889786904521378
5,"sleep",0.00845149817490039
6,"u",0.0414203814291024
6,"can",0.0215774846787635
6,"rt",0.0141895305140325
6,"let",0.0105557331251503
6,"ever",0.0102349335710825
6,"money",0.0102297958827156
6,"awesome",0.00979381376896515
6,"made",0.00932734050674872
6,"fun",0.00775172363036988
6,"just",0.0075643367839643
7,"today",0.0304791080993027
7,"day",0.0109176313531408
7,"just",0.0101604316687159
7,"weekend",0.010152711489167
7,"go",0.00982253747464332
7,"www.moneymatters101",0.0092361088035797
7,"rt",0.00893436018096686
7,"com",0.00817861261200661
7,"time",0.00679577824602429
7,"got",0.0065620328156023
8,"one",0.0247597339636801
8,"best",0.0150765448439258
8,"rt",0.010802526670493
8,"better",0.0100539832250465
8,"now",0.00984415969767448
8,"need",0.00981861236040758
8,"always",0.00981400504794708
8,"think",0.00885526452322271
8,"guys",0.00822357753537307
8,"going",0.00762541752829837
9,"lol",0.0614863134754957
9,"get",0.0370191437650752
9,"im",0.0181690803678144
9,"like",0.0125160305892564
9,"rt",0.0116705409152451
9,"haha",0.0114849839955226
9,"u",0.0097094435105655
9,"shit",0.00918546623246809
9,"fuck",0.00865785319370104
9,"just",0.00792879354878921
