"topic","term","beta"
1,"now",0.0373611135687528
1,"go",0.0294863397124114
1,"willowbeehive",0.0129564825288488
1,"tweets",0.0107223053499704
1,"really",0.0107223053499704
1,"find",0.0107223053499704
1,"way",0.0107223053499704
1,"best",0.0107223053499701
1,"next",0.0107222999112038
1,"pokes",0.010722299104851
2,"success",0.0404296374079389
2,"like",0.0278348419777723
2,"zacksutton",0.0248797768664239
2,"find",0.0217698020450213
2,"get",0.0215778900464116
2,"tip",0.018659832649818
2,"know",0.018659832649818
2,"accomplished",0.015549860541515
2,"time",0.012439888433212
2,"deconstruct",0.012439888433212
2,"duplicate",0.012439888433212
2,"emulate",0.012439888433212
2,"someone",0.012439888433212
2,"whose",0.012439888433212
2,"awesome",0.012439888433212
2,"yay",0.012439888433212
3,"post",0.0315928630470177
3,"cd",0.0293362299722307
3,"win",0.0200355765838033
3,"montysongs.freeforums.org",0.0159820029564691
3,"message",0.0157964183378241
3,"challenge",0.0135397984487219
3,"itunes",0.0135397984487206
3,"today's",0.0135397906015596
3,"new",0.0112831653739349
3,"can",0.0112831653739349
3,"card",0.0112831653739349
4,"twitter",0.0416794135479655
4,"day",0.0299080360241601
4,"marketing",0.0239237430597335
4,"tip",0.0195444130996122
4,"followers",0.0179448229076231
4,"without",0.0179448229076226
4,"rt",0.0155084810346887
4,"d",0.0149540190896859
4,"just",0.0120218977544804
4,"life",0.0119632152717487
4,"going",0.0119632152717487
5,"griffin",0.0934805302513675
5,"posted",0.0604873986631721
5,"tim",0.0549885472030386
5,"espn.com's",0.0549885472028401
5,"twitpic.com",0.0329931283203109
5,"mind",0.024744846243009
5,"tweet",0.0192388715236699
5,"big",0.0186067233042557
5,"one",0.016496564160671
5,"change",0.0164941030422191
6,"rt",0.0271433898085515
6,"get",0.0200367814753019
6,"fun",0.0193592723430992
6,"good",0.0165936620239387
6,"god",0.0136676690431544
6,"need",0.0114848647251929
6,"class",0.0110624413492925
6,"dirt",0.0110624413492925
6,"camping",0.0110624413492925
6,"abeahanfnp",0.0110624413492925
6,"awesome",0.0110624413492925
6,"eagles",0.0110624413492925
6,"engines",0.0110624413492925
6,"frankgoldsmith",0.0110624413492925
6,"jet",0.0110624413492925
6,"may",0.0110624413492925
6,"soar",0.0110624413492925
6,"sucked",0.0110624413492925
6,"weasels",0.0110624413492925
6,"lomonette",0.0110624413492925
7,"come",0.0213960380595786
7,"time",0.0187215333021313
7,"love",0.0170899306206891
7,"georgeferris",0.016047028544684
7,"much",0.0160470274472418
7,"wait",0.0159699234750475
7,"i’m",0.0133725237872366
7,"first",0.0133722406184617
7,"hang",0.0106980190297893
7,"back",0.0106980190297893
8,"run",0.013285872983429
8,"really",0.0106286983867432
8,"like",0.0106286983867432
8,"start",0.0106286983867432
8,"rally",0.0106286983867432
8,"funny",0.0106286983867432
8,"big",0.00858934235623204
8,"gotta",0.00797152379005739
8,"going",0.00797152379005739
8,"www.myspace.com",0.00797152379005739
8,"wow",0.00797152379005739
8,"friday",0.00797152379005739
8,"hirstdamien",0.00797152379005739
8,"remember",0.00797152379005739
8,"used",0.00797152379005739
9,"rt",0.0406100445550101
9,"leecothran",0.040220735554088
9,"just",0.038058368833339
9,"got",0.0270628479852852
9,"bike",0.0183617639381908
9,"isaiah",0.0162440178220216
9,"think",0.0162440178205815
9,"matt_fletch",0.016244017809663
9,"srpc",0.0135366815184007
9,"weather",0.0135304918589968
