"topic","term","beta"
1,"good",0.100504758325731
1,"get",0.0335015861086307
1,"work",0.0335015861086307
1,"morning",0.0335015861086307
1,"love",0.0223343907390871
1,"cough",0.0223343907390871
1,"think",0.0223343907390871
1,"oh",0.0223343907390871
1,"fotosmurf",0.0223343907390871
1,"rt",0.0223343907390871
2,"u",0.0649551588039173
2,"n",0.0355365974348446
2,"im",0.0266524481443901
2,"bored",0.0266524481443901
2,"tired",0.0266524481443901
2,"damn",0.0266524481443901
2,"get",0.0210062086939567
2,"lol",0.0209998997481784
2,"jump",0.0177682987629267
2,"boo",0.0177682987629267
2,"got",0.0177682987629267
2,"love",0.0177682987629267
2,"artikphreeze",0.0177682987629267
2,"wat",0.0177682987629267
2,"friend",0.0177682987629267
3,"know",0.0398191998218493
3,"xraytid",0.0398191998216008
3,"miss",0.0298643998663869
3,"practice",0.0298643998663869
3,"one",0.0298643998663869
3,"im",0.0298643998663869
3,"day",0.0272121585473668
3,"lol",0.0262433507413938
3,"get",0.026236281489127
3,"new",0.0240098640587425
4,"u",0.147193376299562
4,"now",0.0881499543359037
4,"twitter",0.0629642530970741
4,"nd",0.0434712530488112
4,"mypromise2god",0.0274041493682391
4,"didnt",0.0251857012388297
4,"mad",0.0251857012388297
4,"told",0.0251857012388297
4,"b17bookie",0.0251857012388297
4,"sunofthunder100",0.0251857012388297
5,"trip",0.0416712083275732
5,"niggas",0.0416712083275732
5,"old",0.0277808055517155
5,"tweet",0.0277808055517155
5,"rt",0.0277808055517155
5,"babe",0.0277808051556021
5,"work",0.0138904027758577
5,"love",0.0138904027758577
5,"college",0.0138904027758577
5,"r",0.0138904027758577
5,"petersburg",0.0138904027758577
5,"shit",0.0138904027758577
5,"tht",0.0138904027758577
5,"fucking",0.0138904027758577
5,"ugh",0.0138904027758577
5,"wack",0.0138904027758577
5,"bf",0.0138904027758577
5,"bloated",0.0138904027758577
5,"d's",0.0138904027758577
5,"fat",0.0138904027758577
5,"feel",0.0138904027758577
5,"lies",0.0138904027758577
5,"life",0.0138904027758577
5,"mickey",0.0138904027758577
5,"raven",0.0138904027758577
5,"tonette",0.0138904027758577
5,"miss_shadylady",0.0138904027758577
5,"going",0.0138904027758577
5,"bay",0.0138904027758577
5,"cowboys",0.0138904027758577
5,"crush",0.0138904027758577
5,"tampa",0.0138904027758577
5,"dmv",0.0138904027758577
5,"hatin",0.0138904027758577
5,"stop",0.0138904027758577
5,"hey",0.0138904027758577
5,"first",0.0138904027758577
5,"official",0.0138904027758577
5,"phone",0.0138904027758577
5,"america's",0.0138904027758577
5,"best",0.0138904027758577
5,"blogs",0.0138904027758577
5,"house",0.0138904027758577
5,"idea",0.0138904027758577
5,"national",0.0138904027758577
5,"natlparkservice",0.0138904027758577
5,"ow.ly",0.0138904027758577
5,"parks",0.0138904027758577
5,"pulk",0.0138904027758577
5,"white",0.0138904027758577
5,"later",0.0138904027758577
5,"breaking",0.0138904027758577
5,"close",0.0138904027758577
5,"dif7i",0.0138904027758577
5,"grocery",0.0138904027758577
5,"nbc12",0.0138904027758577
5,"roanoke",0.0138904027758577
5,"rva",0.0138904027758577
5,"store",0.0138904027758577
5,"ukropalypse",0.0138904027758577
5,"ukrop’s",0.0138904027758577
5,"bye",0.0138904027758577
5,"ya",0.0138904027758577
6,"lol",0.0454545836436734
6,"back",0.0454545836436734
6,"watching",0.0454545836436734
6,"cream",0.0227272918218367
6,"ice",0.0227272918218367
6,"nd",0.0227272918218367
6,"bout",0.0227272918218367
6,"nothing",0.0227272918218367
6,"somebody",0.0227272918218367
6,"america",0.0227272918218367
6,"bbc",0.0227272918218367
7,"day",0.0409674230680184
7,"drama",0.0376258882364793
7,"boo",0.0376258882364793
7,"like",0.0376258882364793
7,"talk",0.0376258882364793
7,"guess",0.0250839254909862
7,"shit",0.0250839254909862
7,"kno",0.0250839254909862
7,"twitter",0.0250839254909862
7,"international",0.0250839254909862
7,"pirate",0.0250839254909862
8,"well",0.0698372963650322
8,"mypromise2god",0.0553504973422057
8,"guess",0.0486006781273755
8,"fuck",0.0243003390636878
8,"cant",0.0243003390636878
8,"fuckin",0.0243003390636878
8,"go",0.0243003390636878
8,"real",0.0243003390636878
8,"time",0.0243003390636878
8,"sleep",0.0243003390636878
8,"leonhunt",0.0243003390636878
8,"learning",0.0243003390636878
8,"still",0.0243003390636878
8,"lunch",0.0243003390636878
8,"amyt2004",0.0243003390636878
9,"design",0.0235294117647059
9,"can",0.0235294117647059
9,"steve",0.0235294117647059
9,"thanks",0.0235294117647059
9,"via",0.0235294117647059
9,"better",0.0235294117647059
9,"change",0.0235294117647059
9,"cream",0.0117647058823529
9,"ice",0.0117647058823529
9,"now",0.0117647058823529
9,"cant",0.0117647058823529
9,"classes",0.0117647058823529
9,"enrolling",0.0117647058823529
9,"fashion",0.0117647058823529
9,"start",0.0117647058823529
9,"textile",0.0117647058823529
9,"till",0.0117647058823529
9,"wait",0.0117647058823529
9,"feel",0.0117647058823529
9,"video",0.0117647058823529
9,"like",0.0117647058823529
9,"twitter",0.0117647058823529
9,"applebees",0.0117647058823529
9,"hurt",0.0117647058823529
9,"stomach",0.0117647058823529
9,"throwing",0.0117647058823529
9,"z",0.0117647058823529
9,"good",0.0117647058823529
9,"wish",0.0117647058823529
9,"really",0.0117647058823529
9,"lunch",0.0117647058823529
9,"away",0.0117647058823529
9,"background",0.0117647058823529
9,"blown",0.0117647058823529
9,"changing",0.0117647058823529
9,"friend",0.0117647058823529
9,"okay",0.0117647058823529
9,"prepare",0.0117647058823529
9,"booyah",0.0117647058823529
9,"rt",0.0117647058823529
9,"brain",0.0117647058823529
9,"control",0.0117647058823529
9,"msnbc_health",0.0117647058823529
9,"rx1e4",0.0117647058823529
9,"mashable",0.0117647058823529
9,"must",0.0117647058823529
9,"project",0.0117647058823529
9,"read",0.0117647058823529
9,"retweet",0.0117647058823529
9,"uw7lg",0.0117647058823529
9,"color",0.0117647058823529
9,"fall",0.0117647058823529
9,"foliage",0.0117647058823529
9,"guide",0.0117647058823529
9,"leafpeeping",0.0117647058823529
9,"leaves",0.0117647058823529
9,"mental_floss",0.0117647058823529
9,"felt",0.0117647058823529
9,"channels",0.0117647058823529
9,"nba",0.0117647058823529
9,"nba_20090917_red_roundball1",0.0117647058823529
9,"nba_tv",0.0117647058823529
9,"special",0.0117647058823529
9,"tweettreat",0.0117647058823529
9,"www.nba.com",0.0117647058823529
9,"beast",0.0117647058823529
9,"cheese",0.0117647058823529
9,"dee",0.0117647058823529
9,"friday",0.0117647058823529
9,"horseradish",0.0117647058823529
9,"lish",0.0117647058823529
9,"pepperjack",0.0117647058823529
9,"roast",0.0117647058823529
9,"shorti",0.0117647058823529
9,"sorry",0.0117647058823529
9,"vegans",0.0117647058823529
9,"w",0.0117647058823529
9,"wawa",0.0117647058823529
