"topic","term","beta"
1,"shades",0.0625
1,"wear",0.0625
1,"cuz",0.0625
1,"dr",0.0625
1,"eye",0.0625
1,"grocery",0.0625
1,"home",0.0625
1,"indoors",0.0625
1,"looks",0.0625
1,"stopped",0.0625
1,"store",0.0625
1,"stupid",0.0625
1,"sunglasses",0.0625
1,"think",0.0625
1,"took",0.0625
1,"way",0.0625
2,"ftp",0.0526315789473684
2,"little",0.0526315789473684
2,"site",0.0526315789473684
2,"like",0.0263157894736842
2,"stupid",0.0263157894736842
2,"balls",0.0263157894736842
2,"big",0.0263157894736842
2,"darn",0.0263157894736842
2,"entertainment",0.0263157894736842
2,"now",0.0263157894736842
2,"realize",0.0263157894736842
2,"red",0.0263157894736842
2,"right",0.0263157894736842
2,"show",0.0263157894736842
2,"watching",0.0263157894736842
2,"wipeout",0.0263157894736842
2,"buy",0.0263157894736842
2,"guy",0.0263157894736842
2,"used",0.0263157894736842
2,"client",0.0263157894736842
2,"long",0.0263157894736842
2,"notebook",0.0263157894736842
2,"updating",0.0263157894736842
2,"using",0.0263157894736842
2,"web",0.0263157894736842
2,"always",0.0263157894736842
2,"break",0.0263157894736842
2,"can",0.0263157894736842
2,"files",0.0263157894736842
2,"ftping",0.0263157894736842
2,"play",0.0263157894736842
2,"suppose",0.0263157894736842
2,"version",0.0263157894736842
2,"w",0.0263157894736842
2,"ws",0.0263157894736842
3,"ted",0.153846153846154
3,"turner",0.0769230769230769
3,"lisaalexander16",0.0769230769230769
3,"ago",0.0769230769230769
3,"connection",0.0769230769230769
3,"investing",0.0769230769230769
3,"nebraska",0.0769230769230769
3,"northern",0.0769230769230769
3,"part",0.0769230769230769
3,"ranchland",0.0769230769230769
3,"several",0.0769230769230769
3,"years",0.0769230769230769
4,"ted",0.0344827586206897
4,"just",0.0344827586206897
4,"lisaalexander16",0.0344827586206897
4,"pic",0.0344827586206897
4,"eye",0.0344827586206897
4,"buy",0.0344827586206897
4,"bigger",0.0344827586206897
4,"check",0.0344827586206897
4,"flaunt",0.0344827586206897
4,"got",0.0344827586206897
4,"need",0.0344827586206897
4,"tyra150",0.0344827586206897
4,"called",0.0344827586206897
4,"guy",0.0344827586206897
4,"needed",0.0344827586206897
4,"project",0.0344827586206897
4,"purchased",0.0344827586206897
4,"ranch",0.0344827586206897
4,"wanted",0.0344827586206897
4,"whole",0.0344827586206897
4,"work",0.0344827586206897
4,"anything",0.0344827586206897
4,"checking",0.0344827586206897
4,"ebay",0.0344827586206897
4,"keep",0.0344827586206897
4,"looking",0.0344827586206897
4,"parts",0.0344827586206897
4,"see",0.0344827586206897
4,"things",0.0344827586206897
5,"lisaalexander16",0.125
5,"just",0.03125
5,"like",0.03125
5,"pic",0.03125
5,"shades",0.03125
5,"stylin",0.03125
5,"time",0.03125
5,"wear",0.03125
5,"store",0.03125
5,"racecars",0.03125
5,"building",0.03125
5,"camaro",0.03125
5,"convertible",0.03125
5,"decided",0.03125
5,"room",0.03125
5,"sell",0.03125
5,"project",0.03125
5,"blue",0.03125
5,"car",0.03125
5,"end",0.03125
5,"front",0.03125
5,"picture",0.03125
5,"rod",0.03125
5,"street",0.03125
5,"willys",0.03125
5,"working",0.03125
5,"d95dd",0.03125
5,"one",0.03125
5,"twitpic.com",0.03125
6,"field",0.0512820512820513
6,"turner",0.0512820512820513
6,"lisaalexander16",0.0512820512820513
6,"ha",0.0512820512820513
6,"ted",0.0256410256410256
6,"bloodshot",0.0256410256410256
6,"cops",0.0256410256410256
6,"dare",0.0256410256410256
6,"eyes",0.0256410256410256
6,"look",0.0256410256410256
6,"madly",0.0256410256410256
6,"oh",0.0256410256410256
6,"probably",0.0256410256410256
6,"real",0.0256410256410256
6,"realized",0.0256410256410256
6,"stop",0.0256410256410256
6,"superstoned",0.0256410256410256
6,"well",0.0256410256410256
6,"ya",0.0256410256410256
6,"atlanta",0.0256410256410256
6,"gear",0.0256410256410256
6,"guessing",0.0256410256410256
6,"head",0.0256410256410256
6,"help",0.0256410256410256
6,"honey",0.0256410256410256
6,"named",0.0256410256410256
6,"bama",0.0256410256410256
6,"bear",0.0256410256410256
6,"blame",0.0256410256410256
6,"bryant",0.0256410256410256
6,"care",0.0256410256410256
6,"either",0.0256410256410256
6,"overrated",0.0256410256410256
6,"said",0.0256410256410256
6,"yea",0.0256410256410256
7,"lisaalexander16",0.0666666666666667
7,"well",0.0666666666666667
7,"big",0.0666666666666667
7,"around",0.0666666666666667
7,"baseball",0.0666666666666667
7,"farm",0.0666666666666667
7,"huskers",0.0666666666666667
7,"it's1",0.0666666666666667
7,"kc",0.0666666666666667
7,"league",0.0666666666666667
7,"omaha",0.0666666666666667
7,"party",0.0666666666666667
7,"royals",0.0666666666666667
7,"rule",0.0666666666666667
7,"tailgate",0.0666666666666667
8,"lisaalexander16",0.1
8,"help",0.05
8,"football",0.05
8,"husker",0.05
8,"pro",0.05
8,"remember",0.05
8,"sports",0.05
8,"state",0.05
8,"teams",0.05
8,"build",0.05
8,"dirt",0.05
8,"drag",0.05
8,"dragsters",0.05
8,"engines",0.05
8,"guys",0.05
8,"race",0.05
8,"racer",0.05
8,"trannys",0.05
8,"used",0.05
9,"like",0.0454545454545455
9,"lisaalexander16",0.0454545454545455
9,"think",0.0454545454545455
9,"aaannnddd",0.0454545454545455
9,"buy",0.0454545454545455
9,"hottie",0.0454545454545455
9,"jill",0.0454545454545455
9,"makes",0.0454545454545455
9,"mercury",0.0454545454545455
9,"run",0.0454545454545455
9,"wagner",0.0454545454545455
9,"want",0.0454545454545455
9,"omaha",0.0454545454545455
9,"ass",0.0454545454545455
9,"build",0.0454545454545455
9,"enjoyed",0.0454545454545455
9,"game",0.0454545454545455
9,"go",0.0454545454545455
9,"kick",0.0454545454545455
9,"okay",0.0454545454545455
9,"racecars",0.0454545454545455
9,"really",0.0454545454545455
