"topic","term","beta"
1,"clemson",0.0262444473266358
1,"hole",0.0148438346432127
1,"follow",0.0148438346432127
1,"digs",0.0118750677145702
1,"kicker",0.0118750677145702
1,"defense",0.0118750677145702
1,"injury",0.0118750677145702
1,"puts",0.0118750677145702
1,"scafe",0.0118750677145702
1,"newswire",0.0118750677145702
1,"sc",0.0118750677145702
1,"hhamam",0.0118750677145702
2,"rt",0.0389733184425287
2,"fall",0.0225423557776559
2,"clemson",0.0187544083263173
2,"football",0.0180338846615712
2,"soccer",0.0180338846615712
2,"charleston",0.0180338846615712
2,"swap",0.0180338846615712
2,"dna",0.0180338846615712
2,"clemsontigers.com",0.0180338846615712
2,"plant",0.0180338846615712
2,"botanical",0.0180338846615712
3,"rt",0.0262385260976079
3,"u",0.022436792240547
3,"lol",0.0140229951503419
3,"clemson",0.0134325406415794
3,"msu",0.0112183961202735
3,"unbeaten",0.0112183961202735
3,"just",0.0112183961202735
3,"back",0.0112183961202735
3,"bobbyrettew",0.0112183961202735
3,"song",0.0112183961201824
4,"miami",0.0402667656679351
4,"good",0.0361442207696954
4,"acc",0.032213412534348
4,"now",0.032213412534348
4,"clemson",0.0302275042962335
4,"gt",0.024160059400761
4,"mailblog",0.024160059400761
4,"college",0.024160059400761
4,"vs",0.024160059400761
4,"espn",0.024160059400761
4,"newswire",0.024160059400761
5,"w",0.0216452297136487
5,"clemson",0.017316183770919
5,"diving",0.017316183770919
5,"swimming",0.017316183770919
5,"plank",0.017316183770919
5,"possum",0.017316183770919
5,"classic",0.017316183770919
5,"clemsontigers.com",0.017316183770919
5,"defeats",0.017316183770919
5,"like",0.017316183770919
5,"better",0.017316183770919
5,"twitpic.com",0.017316183770919
6,"newswire",0.0330181301658483
6,"clemson",0.027668032215862
6,"journal",0.0247586678539114
6,"saps",0.0165090650893301
6,"gardening",0.0165090650893301
6,"soil",0.0165090650893301
6,"sow",0.0165090650893301
6,"herald",0.0165090650893301
6,"spartanburg",0.0165090650893301
6,"well",0.0165090650893301
6,"andy",0.0165090650893301
6,"cd",0.0165090650893301
6,"lehman",0.0165090650893301
6,"release",0.0165090650893301
7,"just",0.0180656522085
7,"go",0.0180656522067168
7,"clemson",0.012043768139
7,"actually",0.012043768139
7,"now",0.00903282610425002
7,"lol",0.00903282610425002
7,"test",0.00903282610425002
7,"barcelona",0.00903282610425002
7,"sleep",0.00903282610425002
7,"say",0.00903282610425002
7,"old",0.00903282610425002
8,"really",0.0334542262073835
8,"get",0.0250906696555376
8,"need",0.0167271131036917
8,"just",0.012992389759434
8,"rt",0.0125453348277688
8,"always",0.0125453348277688
8,"earth",0.0125453348277688
8,"breakfast",0.0125453348277688
8,"great",0.0125453348277688
8,"yall",0.0125453348277688
9,"rt",0.033719158684896
9,"best",0.0262260123104746
9,"just",0.0162001813988862
9,"atlanta",0.0149862927488427
9,"gardening",0.0149862927488427
9,"urban",0.0149862927488427
9,"fall",0.0149862927488427
9,"study",0.011239719561632
9,"tech",0.011239719561632
9,"got",0.011239719561632
