"topic","term","beta"
1,"tacoma",0.0401766084419172
1,"wa",0.0324232278654071
1,"work",0.0322733095149907
1,"u",0.0261168611567739
1,"job",0.0169164667123675
1,"health",0.0126873500342897
1,"twitter",0.0115726883827509
1,"multicare",0.0112776444749242
1,"reasons",0.00916308613588872
1,"page",0.008458233356267
2,"now",0.022886137837112
2,"rt",0.0157900815138077
2,"right",0.011874290373816
2,"bad",0.00984510220348772
2,"good",0.00962553455958863
2,"people",0.00898096095417849
2,"writechat",0.00788275579796895
2,"hhrs",0.00713214822426762
2,"u",0.00695546297374244
2,"idea",0.0063711675943937
3,"night",0.0224583347276339
3,"going",0.0144868872191035
3,"getting",0.0139386104765382
3,"see",0.0113936371802594
3,"last",0.0108599049896531
3,"week",0.00950152064730221
3,"get",0.00937363683353258
3,"good",0.00933426988680467
3,"today",0.00922651857604081
3,"day",0.00842102660622853
4,"good",0.0312133920802654
4,"rt",0.0156692679541449
4,"one",0.0117370123503873
4,"go",0.0113911696426155
4,"lnk.ms",0.0105770810869509
4,"work",0.0103194891417612
4,"today",0.00966379701610095
4,"everyone",0.00959244501231219
4,"im",0.00941921665654382
4,"better",0.00850596469773463
5,"lol",0.0194258195059426
5,"know",0.0152941573105958
5,"blip.fm",0.0138730991099553
5,"song",0.0131976746500795
5,"yea",0.0112180234514293
5,"new",0.0104556634682831
5,"really",0.00981800399704854
5,"real",0.00857848850631411
5,"news",0.00786550504682546
5,"bunkmarciano",0.00772596488335137
6,"day",0.0195486931134498
6,"today",0.011629061058622
6,"want",0.0100751993571527
6,"much",0.00924045702845836
6,"rt",0.00847720497129792
6,"think",0.00840968411963124
6,"dont",0.00741067638975408
6,"quiz",0.00741067638975408
6,"lunch",0.00741067636001949
6,"clue",0.00732609881888087
7,"just",0.0197421718247947
7,"love",0.0122761823290562
7,"done",0.0120307775471475
7,"man",0.0110409810319908
7,"year",0.00909254176213226
7,"best",0.00840067955322938
7,"one",0.00741438797261133
7,"going",0.00732759016759831
7,"now",0.00730105196056323
7,"mom",0.00714416555602729
8,"like",0.0303908208402468
8,"just",0.0251766027005274
8,"can",0.0220841665585068
8,"lol",0.0209561802629832
8,"back",0.0150358163554883
8,"time",0.0131732678817943
8,"rt",0.0119021595217499
8,"happy",0.0115573533338115
8,"come",0.00983155407639454
8,"sleep",0.00973364279797553
9,"rt",0.0305415425439444
9,"home",0.0233019406188382
9,"check",0.0166838999621972
9,"twitpic.com",0.0155730928789293
9,"thank",0.0108935995194705
9,"get",0.0105200592496424
9,"aquickintermission.blogspot.com",0.00944112362236554
9,"free",0.00871488334388135
9,"kanye",0.00871488334372204
9,"guys",0.00726240278648894
