"topic","term","beta"
1,"like",0.0496447265963371
1,"just",0.0283684151979069
1,"twitter",0.0283684151979069
1,"feel",0.0283684151979069
1,"new",0.0212763113984302
1,"njguii",0.0212763113984302
1,"instantshift",0.0141842075989535
1,"rt",0.0141842075989535
1,"directory",0.0141842075989535
1,"friends",0.0141842075989535
1,"now",0.0141842075989535
1,"days",0.0141842075989535
1,"phone",0.0141842075989535
1,"hotforwords",0.0141842075989535
1,"paranormal",0.0141842075989535
2,"work",0.0500194080767333
2,"still",0.0370912362974525
2,"get",0.0247274908649683
2,"today",0.0185456181487262
2,"just",0.0185456181487262
2,"hate",0.0185456181487262
2,"aka_tk",0.0185456181487262
2,"go",0.0185456181487262
2,"really",0.0185456175667106
2,"love",0.0123637454324842
2,"world",0.0123637454324842
2,"friends",0.0123637454324842
2,"way",0.0123637454324842
2,"man",0.0123637454324842
2,"attentionsenses",0.0123637454324842
2,"time",0.0123637454324842
2,"chillin",0.0123637454324842
2,"miss",0.0123637454324842
2,"clumsyroyalty",0.0123637454324842
2,"weekend",0.0123637454324842
2,"vickyymakc",0.0123637454324842
2,"im",0.0123637454324842
2,"wants",0.0123637454324842
2,"snow",0.0123637454324842
3,"can",0.0333337521027023
3,"rt",0.0266670016821619
3,"next",0.0266670016821619
3,"good",0.0200002512616214
3,"links",0.0200002512616214
3,"measures",0.0200002512616214
3,"rt.nu",0.0200002512616214
3,"vertical",0.0200002512616214
3,"see",0.0200002512616214
3,"business",0.0133335008410809
3,"get",0.0133335008410809
3,"now",0.0133335008410809
3,"obama's",0.0133335008410809
3,"fzdr9",0.0133335008410809
3,"headline",0.0133335008410809
3,"nlm",0.0133335008410809
4,"ever",0.0649848130600022
4,"now",0.0259939252240009
4,"jamii8",0.0259939252240009
4,"just",0.0259939252239857
4,"music",0.0259920748365385
4,"tonight",0.0194954439180007
4,"vote",0.0194954439180007
4,"voted",0.0194954439180007
4,"one",0.0194954439180007
4,"got",0.0194954307952721
5,"better",0.0236886039363732
5,"stoley",0.0236886039363732
5,"need",0.0177664529522799
5,"good",0.0177664529522799
5,"stop",0.0177664529522799
5,"feeling",0.0177664529522799
5,"great",0.0177664529522799
5,"see",0.0177664529522799
5,"know",0.0155206774142938
5,"sleep",0.0118443019681866
5,"already",0.0118443019681866
5,"ask",0.0118443019681866
5,"tonight",0.0118443019681866
5,"people",0.0118443019681866
5,"d",0.0118443019681866
5,"auditions",0.0118443019681866
5,"luck",0.0118443019681866
5,"cars",0.0118443019681866
5,"little",0.0118443019681866
5,"beck",0.0118443019681866
5,"glenn",0.0118443019681866
6,"girl",0.0384659297879081
6,"lunch",0.0349594741279883
6,"obama",0.0230795578727449
6,"lol",0.0230795578727449
6,"walmart",0.0230795523912463
6,"haha",0.0172067521199466
6,"date",0.0153863719151632
6,"stoked",0.0153863719151632
6,"tuesday",0.0153863719151632
6,"bout",0.0153863719151632
6,"jamii8",0.0153863719151632
7,"way",0.0250863918502806
7,"right",0.024785033111853
7,"today",0.0188147938877105
7,"im",0.0188147938877105
7,"know",0.0149214874152179
7,"cindyking",0.0125431959251403
7,"else",0.0125431959251403
7,"rt",0.0125431959251403
7,"start",0.0125431959251403
7,"going",0.0125431959251403
7,"tomorrow",0.0125431959251403
7,"yum",0.0125431959251403
7,"ready",0.0125431959251403
7,"someone",0.0125431959251403
7,"dinner",0.0125431959251403
7,"jamii8",0.0125431959251403
7,"arnylella",0.0125431959251403
7,"tho",0.0125431959251403
7,"anyone",0.0125431959251403
8,"now",0.0402514663621048
8,"just",0.0335428886421802
8,"well",0.0268343109137442
8,"went",0.0201257331853081
8,"best",0.0201257331853081
8,"vote",0.0201257331853081
8,"voted",0.0201257331853081
8,"haha",0.018538333352985
8,"work",0.0134171554568721
8,"run",0.0134171554568721
8,"today",0.0134171554568721
8,"watch",0.0134171554568721
8,"hours",0.0134171554568721
8,"san",0.0134171554568721
8,"ah",0.0134171554568721
8,"open",0.0134171554568721
8,"lol",0.0134171554568721
8,"demi",0.0134171554568721
8,"lovato",0.0134171554568721
8,"option",0.0134171554568721
8,"public",0.0134171554568721
9,"engine",0.0437956204373483
9,"search",0.0437956204373483
9,"rt",0.0364963503644569
9,"building",0.0291970802915655
9,"tweetmeme",0.0291970802915655
9,"link",0.0218978102186741
9,"need",0.0218978102186741
9,"just",0.0218978102186741
9,"get",0.0218978102186741
9,"helps",0.0145985401457828
9,"joe",0.0145985401457828
9,"money",0.0145985401457828
9,"journal",0.0145985401457828
9,"uber",0.0145985401457828
9,"everything",0.0145985401457828
