"topic","term","beta"
1,"haha",0.0231750147798476
1,"budurl.com",0.0162852183055784
1,"t4nl",0.0162852183055784
1,"people",0.0137578572459207
1,"much",0.0124435803477558
1,"x",0.0116126263269504
1,"good",0.0114044315117521
1,"want",0.0108597487725443
1,"can",0.0108144398874789
1,"rt",0.0101010752387956
2,"day",0.0327186255895892
2,"time",0.0276977067042024
2,"s",0.0235151602276144
2,"like",0.0206350585028039
2,"children",0.0150371655130035
2,"great",0.0134664234720194
2,"can",0.00988780157780018
2,"one",0.00949787512398905
2,"money",0.00888559780319347
2,"big",0.0088853474466465
3,"world",0.0140904882247962
3,"good",0.0139170173067675
3,"picture",0.012827967557003
3,"tweet",0.0121532287773629
3,"thing",0.0121532287772542
3,"night",0.0117367645621342
3,"know",0.00816871717860021
3,"feehilysfanatic",0.00810215251824191
3,"going",0.007864374121183
3,"rt",0.00743582756326545
4,"back",0.0151962831239326
4,"watch",0.0147885393111688
4,"good",0.0140158415803313
4,"day",0.0136831221055934
4,"today",0.0134270919541177
4,"first",0.0127134906725998
4,"thanks",0.0123639363715643
4,"bad",0.0110249714207012
4,"rt",0.0107936966732947
4,"take",0.0106477556295472
5,"done",0.0207351452893143
5,"home",0.0204566991411721
5,"x",0.0145876373901974
5,"today",0.014521672668268
5,"just",0.0142637748630095
5,"now",0.0112936651511936
5,"little",0.00912579934968264
5,"get",0.00891189161057565
5,"rt",0.00876012173357196
5,"twitter",0.00873109522982485
6,"lol",0.0401957299435
6,"online",0.0191151540713558
6,"oh",0.0140585126711367
6,"u",0.0123969976631658
6,"right",0.0112063495131457
6,"state",0.0105471524829902
6,"now",0.00990011290638672
6,"well",0.00889924126429576
6,"say",0.00856956139242955
6,"pool0",0.00791036436224266
7,"just",0.0147407412045748
7,"twitpic.com",0.0144830032837967
7,"check",0.0115364283175
7,"game",0.0105884312533977
7,"one",0.0105173409041541
7,"go",0.00982058650618233
7,"think",0.00964895193832262
7,"can",0.00888142522735539
7,"ever",0.0083458167996387
7,"see",0.0070136617961428
8,"just",0.0149695788848794
8,"happy",0.0139599560531064
8,"d",0.0127689821130945
8,"never",0.0114849814657511
8,"omg",0.00930664368093297
8,"traffic",0.00930664367289632
8,"full",0.00861947879909435
8,"shit",0.00825640233895703
8,"ending",0.00797712315595791
8,"think",0.00797558554754157
9,"just",0.0417758601761173
9,"0k",0.0300284521017745
9,"vote",0.0235937837942514
9,"voted",0.022878820648971
9,"dev",0.0157291891961676
9,"andthearbitor",0.0114394103244855
9,"devices",0.0100094840339248
9,"best",0.0100093771378637
9,"new",0.00949373138974865
9,"love",0.00945964786235342
