"topic","term","beta"
1,"fernwise",0.0526315789473684
1,"makes",0.0526315789473684
1,"sense",0.0526315789473684
1,"d",0.0526315789473684
1,"going",0.0526315789473684
1,"back",0.0526315789473684
1,"bleach",0.0526315789473684
1,"bed",0.0526315789473684
1,"believe",0.0526315789473684
1,"bit",0.0526315789473684
1,"chapter",0.0526315789473684
1,"fandom",0.0526315789473684
1,"finish",0.0526315789473684
1,"gahh",0.0526315789473684
1,"long",0.0526315789473684
1,"rereading",0.0526315789473684
1,"soon",0.0526315789473684
1,"goodnight",0.0526315789473684
1,"tweeties",0.0526315789473684
2,"go",0.0588235294117647
2,"hanaames",0.0588235294117647
2,"better",0.0588235294117647
2,"courage",0.0588235294117647
2,"life",0.0588235294117647
2,"make",0.0588235294117647
2,"oh",0.0588235294117647
2,"wolf",0.0588235294117647
2,"bed",0.0588235294117647
2,"xdd",0.0588235294117647
2,"around",0.0588235294117647
2,"morning",0.0588235294117647
2,"mostly",0.0588235294117647
2,"six",0.0588235294117647
2,"baseball",0.0588235294117647
2,"bat",0.0588235294117647
2,"beat",0.0588235294117647
3,"xd",0.0714285714285714
3,"going",0.0714285714285714
3,"back",0.0714285714285714
3,"bleach",0.0714285714285714
3,"chapters",0.0714285714285714
3,"dedicated",0.0714285714285714
3,"fill",0.0714285714285714
3,"gaps",0.0714285714285714
3,"memory",0.0714285714285714
3,"missed",0.0714285714285714
3,"okay",0.0714285714285714
3,"sigh",0.0714285714285714
3,"sitting",0.0714285714285714
3,"weekend",0.0714285714285714
4,"bad",0.0555555555555556
4,"next",0.0555555555555556
4,"xd",0.0555555555555556
4,"going",0.0555555555555556
4,"laid",0.0555555555555556
4,"commands",0.0555555555555556
4,"get",0.0555555555555556
4,"light",0.0555555555555556
4,"lord",0.0555555555555556
4,"brother",0.0555555555555556
4,"con",0.0555555555555556
4,"miss",0.0555555555555556
4,"never",0.0555555555555556
4,"order",0.0555555555555556
4,"plus",0.0555555555555556
4,"ramune",0.0555555555555556
4,"week",0.0555555555555556
4,"years",0.0555555555555556
5,"go",0.0869565217391304
5,"bad",0.0434782608695652
5,"buying",0.0434782608695652
5,"first",0.0434782608695652
5,"hellokerry",0.0434782608695652
5,"next",0.0434782608695652
5,"step",0.0434782608695652
5,"supposed",0.0434782608695652
5,"tickets",0.0434782608695652
5,"together",0.0434782608695652
5,"want",0.0434782608695652
5,"xd",0.0434782608695652
5,"xkarenskii",0.0434782608695652
5,"year",0.0434782608695652
5,"forgot",0.0434782608695652
5,"know",0.0434782608695652
5,"love",0.0434782608695652
5,"much",0.0434782608695652
5,"playing",0.0434782608695652
5,"somewhere",0.0434782608695652
5,"song",0.0434782608695652
5,"tyt",0.0434782608695652
6,"like",0.0740740717801384
6,"now",0.0740740717801384
6,"alone",0.0370370358900692
6,"collections",0.0370370358900692
6,"fics",0.0370370358900692
6,"multichapter",0.0370370358900692
6,"one",0.0370370358900692
6,"shot",0.0370370358900692
6,"stand",0.0370370358900692
6,"start",0.0370370358900692
6,"stories",0.0370370358900692
6,"take",0.0370370358900692
6,"turn",0.0370370358900692
6,"unrelated",0.0370370358900692
6,"usually",0.0370370358900692
6,"almost",0.0370370358900692
6,"boiled",0.0370370358900692
6,"craving",0.0370370358900692
6,"eggs",0.0370370358900692
6,"god",0.0370370358900692
6,"pickles",0.0370370358900692
6,"right",0.0370370358900692
7,"hanaames",0.157894743790634
7,"d",0.105263162385849
7,"xd",0.105263118660982
7,"okay",0.0526315812635446
7,"aww",0.0526315812635446
7,"become",0.0526315812635446
7,"just",0.0526315812635446
7,"live",0.0526315812635446
7,"loafing",0.0526315812635446
7,"pets",0.0526315812635446
7,"poor",0.0526315812635446
7,"thing",0.0526315812635446
7,"trying",0.0526315812635446
7,"woke",0.0526315812635446
7,"xdd",0.0526315812635446
8,"fernwise",0.03125
8,"xkarenskii",0.03125
8,"annoying",0.03125
8,"big",0.03125
8,"decided",0.03125
8,"friend",0.03125
8,"kind",0.03125
8,"like",0.03125
8,"mom",0.03125
8,"sister",0.03125
8,"thanks",0.03125
8,"things",0.03125
8,"love",0.03125
8,"song",0.03125
8,"anything",0.03125
8,"d",0.03125
8,"drool",0.03125
8,"going",0.03125
8,"moon",0.03125
8,"new",0.03125
8,"point",0.03125
8,"seeing",0.03125
8,"taycob",0.03125
8,"amused",0.03125
8,"default",0.03125
8,"listening",0.03125
8,"old",0.03125
8,"reaction",0.03125
8,"s.o.s",0.03125
8,"verbal's",0.03125
8,"words",0.03125
8,"xddd",0.03125
9,"hellokerry",0.0714285714285714
9,"xd",0.0714285714285714
9,"year",0.0714285714285714
9,"song",0.0714285714285714
9,"xdd",0.0714285714285714
9,"anyone",0.0714285714285714
9,"best",0.0714285714285714
9,"everybody",0.0714285714285714
9,"gets",0.0714285714285714
9,"hooked",0.0714285714285714
9,"laid",0.0714285714285714
9,"thank",0.0714285714285714
9,"think",0.0714285714285714
9,"tonight",0.0714285714285714
