"topic","term","beta"
1,"just",0.0306778769354672
1,"tonight",0.0306773968560784
1,"fantasy",0.0204519179569781
1,"1st",0.0204519179569781
1,"jenchuan",0.0204519179569781
1,"clinic",0.0204519179569781
1,"thanks",0.0204519179569781
1,"iowa",0.0204519179569781
1,"state",0.0204519179569781
1,"hope",0.0197878318207409
2,"td",0.0266666666666667
2,"god",0.0266666666666667
2,"new",0.0266666666666667
2,"iasip",0.0266666666666667
2,"sunnyfx",0.0266666666666667
2,"cool",0.0266666666666667
2,"one",0.0133333333333333
2,"care",0.0133333333333333
2,"fucking",0.0133333333333333
2,"days",0.0133333333333333
2,"guys",0.0133333333333333
2,"time",0.0133333333333333
2,"wearing",0.0133333333333333
2,"boondock",0.0133333333333333
2,"finally",0.0133333333333333
2,"ii",0.0133333333333333
2,"mother",0.0133333333333333
2,"saints",0.0133333333333333
2,"sweet",0.0133333333333333
2,"trailer",0.0133333333333333
2,"tzsln",0.0133333333333333
2,"well",0.0133333333333333
2,"called",0.0133333333333333
2,"catch",0.0133333333333333
2,"game",0.0133333333333333
2,"legit",0.0133333333333333
2,"mnf",0.0133333333333333
2,"old",0.0133333333333333
2,"raiders",0.0133333333333333
2,"should've",0.0133333333333333
2,"won",0.0133333333333333
2,"cause",0.0133333333333333
2,"dude",0.0133333333333333
2,"eat",0.0133333333333333
2,"stickers",0.0133333333333333
2,"favorite",0.0133333333333333
2,"ocular",0.0133333333333333
2,"patdown",0.0133333333333333
2,"phrase",0.0133333333333333
2,"artist",0.0133333333333333
2,"ff",0.0133333333333333
2,"guy",0.0133333333333333
2,"hollywood",0.0133333333333333
2,"maxriffner",0.0133333333333333
2,"really",0.0133333333333333
2,"smoozing",0.0133333333333333
2,"talented",0.0133333333333333
2,"album",0.0133333333333333
2,"listening",0.0133333333333333
2,"pearljam",0.0133333333333333
2,"rock",0.0133333333333333
2,"still",0.0133333333333333
2,"2s2mdb",0.0133333333333333
2,"addthis",0.0133333333333333
2,"via",0.0133333333333333
2,"today",0.0133333333333333
2,"breeze",0.0133333333333333
2,"green",0.0133333333333333
2,"jersey",0.0133333333333333
2,"lime",0.0133333333333333
2,"seahawks",0.0133333333333333
2,"seneca",0.0133333333333333
2,"wallace",0.0133333333333333
2,"wth",0.0133333333333333
2,"bobvanderplaats",0.0133333333333333
2,"ever",0.0133333333333333
2,"heard",0.0133333333333333
2,"question",0.0133333333333333
2,"rhetorical",0.0133333333333333
3,"u",0.0374361091674712
3,"maukingbird",0.0374361091674712
3,"efinkelstein",0.0374361091670496
3,"microsoft",0.0374361091664797
3,"macs",0.0374361091651074
3,"channel",0.0266611030092954
3,"got",0.0187180545837356
3,"just",0.0187180545837356
3,"know",0.0187180545837356
3,"days",0.0187180545837356
3,"great",0.0187180545837356
3,"creepy",0.0187180545837356
3,"devil",0.0187180545837356
3,"footage",0.0187180545837356
3,"freaky",0.0187180545837356
3,"guy's",0.0187180545837356
3,"hills",0.0187180545837356
3,"kill",0.0187180545837356
3,"popped",0.0187180545837356
3,"tell",0.0187180545837356
3,"voice",0.0187180545837356
3,"watching",0.0187180545837356
3,"weather",0.0187180545837356
3,"title",0.0187180545837356
3,"think",0.0187180545837356
3,"apple",0.0187180545837356
3,"mac",0.0187180545837356
3,"owned",0.0187180545837356
3,"ported",0.0187180545837356
3,"software",0.0187180545837356
3,"true",0.0187180545837356
3,"user",0.0187180545837356
3,"3.99",0.0187180545837356
3,"choosier",0.0187180545837356
3,"comics",0.0187180545837356
3,"hitting",0.0187180545837356
3,"little",0.0187180545837356
3,"per",0.0187180545837356
3,"readers",0.0187180545837356
3,"robertkirkman",0.0187180545837356
3,"stick",0.0187180545837356
3,"thats",0.0187180545837356
3,"walkingdead",0.0187180545837356
3,"look",0.0187180545837356
3,"suicidesketching",0.0187180545837356
3,"welcome",0.0187180545837356
4,"youtube",0.078347962339363
4,"video",0.0391739811696815
4,"subscribed",0.0391739811696815
4,"channel",0.0336327922592499
4,"view",0.0261159874464543
4,"manvfood",0.0261159874464543
4,"commented",0.0261159874464543
4,"thecreativeone",0.0261159874464543
4,"happy",0.0261159874464543
4,"twurl.nl",0.0261159874464543
5,"video",0.0707070707070707
5,"youtube",0.0707070707070707
5,"rated",0.0707070707070707
5,"stars",0.0707070707070707
5,"fairtax",0.0303030303030303
5,"going",0.0202020202020202
5,"just",0.0202020202020202
5,"say",0.0202020202020202
5,"stop",0.0202020202020202
5,"see",0.0101010101010101
5,"day",0.0101010101010101
5,"bell",0.0101010101010101
5,"heehee",0.0101010101010101
5,"instead",0.0101010101010101
5,"liberty",0.0101010101010101
5,"life",0.0101010101010101
5,"number",0.0101010101010101
5,"poetic",0.0101010101010101
5,"poop",0.0101010101010101
5,"pursuit",0.0101010101010101
5,"taco",0.0101010101010101
5,"tweet",0.0101010101010101
5,"wax",0.0101010101010101
5,"nlwjv",0.0101010101010101
5,"papermation",0.0101010101010101
5,"death",0.0101010101010101
5,"ghost",0.0101010101010101
5,"zfcuy",0.0101010101010101
5,"face",0.0101010101010101
5,"working",0.0101010101010101
5,"15kozv",0.0101010101010101
5,"motion",0.0101010101010101
5,"9.15.09",0.0101010101010101
5,"cant",0.0101010101010101
5,"girls",0.0101010101010101
5,"hunt",0.0101010101010101
5,"uwxdx",0.0101010101010101
5,"1kfvqp",0.0101010101010101
5,"peek",0.0101010101010101
5,"take",0.0101010101010101
5,"update",0.0101010101010101
5,"vid",0.0101010101010101
5,"19nxrw",0.0101010101010101
5,"fbi",0.0101010101010101
5,"groups",0.0101010101010101
5,"militia",0.0101010101010101
5,"operations",0.0101010101010101
5,"sting",0.0101010101010101
5,"4fh1m8",0.0101010101010101
5,"rap",0.0101010101010101
5,"revenge",0.0101010101010101
5,"swift",0.0101010101010101
5,"taylor",0.0101010101010101
5,"able",0.0101010101010101
5,"commercial",0.0101010101010101
5,"covered",0.0101010101010101
5,"kitty",0.0101010101010101
5,"laughing",0.0101010101010101
5,"marshmallows",0.0101010101010101
5,"windows",0.0101010101010101
5,"twurl.nl",0.0101010101010101
5,"rt",0.0101010101010101
5,"bobvanderplaats",0.0101010101010101
5,"47jagz",0.0101010101010101
5,"calls",0.0101010101010101
5,"plaats",0.0101010101010101
5,"shift",0.0101010101010101
5,"tax",0.0101010101010101
5,"vander",0.0101010101010101
6,"going",0.0448069638870744
6,"fishdirt",0.0448021829029626
6,"like",0.0336052229153058
6,"days",0.0336052229153058
6,"one",0.0238169498118328
6,"come",0.0224034819435372
6,"looks",0.0224034819435372
6,"coming",0.0224034819435372
6,"good",0.0224034819435372
6,"get",0.0224034819435372
6,"dog",0.0224034819435372
6,"chocolate",0.0224034819435372
7,"find",0.0340908035224709
7,"go",0.0227272023483139
7,"like",0.0227272023483139
7,"now",0.0227272023483139
7,"came",0.0227272023483139
7,"cups",0.0227272023483139
7,"can",0.0227272023483139
7,"video",0.011363601174157
7,"going",0.011363601174157
7,"check",0.011363601174157
7,"found",0.011363601174157
7,"fun",0.011363601174157
7,"geek",0.011363601174157
7,"inbflat.net",0.011363601174157
7,"internets",0.011363601174157
7,"music",0.011363601174157
7,"one",0.011363601174157
7,"seriously",0.011363601174157
7,"things",0.011363601174157
7,"got",0.011363601174157
7,"know",0.011363601174157
7,"best",0.011363601174157
7,"buy",0.011363601174157
7,"culturej.am",0.011363601174157
7,"deluxe",0.011363601174157
7,"die",0.011363601174157
7,"dvd",0.011363601174157
7,"entire",0.011363601174157
7,"etid",0.011363601174157
7,"every",0.011363601174157
7,"free",0.011363601174157
7,"stores",0.011363601174157
7,"stream",0.011363601174157
7,"time",0.011363601174157
7,"xfk",0.011363601174157
7,"finally",0.011363601174157
7,"tell",0.011363601174157
7,"say",0.011363601174157
7,"well",0.011363601174157
7,"amazing",0.011363601174157
7,"intro",0.011363601174157
7,"looks",0.011363601174157
7,"new",0.011363601174157
7,"plus",0.011363601174157
7,"secret",0.011363601174157
7,"shooting",0.011363601174157
7,"shot",0.011363601174157
7,"title",0.011363601174157
7,"oh",0.011363601174157
7,"really",0.011363601174157
7,"gabf",0.011363601174157
7,"right",0.011363601174157
7,"wish",0.011363601174157
7,"ate",0.011363601174157
7,"butter",0.011363601174157
7,"dog",0.011363601174157
7,"dogs",0.011363601174157
7,"home",0.011363601174157
7,"least",0.011363601174157
7,"norm",0.011363601174157
7,"peanut",0.011363601174157
7,"seems",0.011363601174157
7,"today",0.011363601174157
7,"vet",0.011363601174157
7,"avg",0.011363601174157
7,"mean",0.011363601174157
7,"minis",0.011363601174157
7,"pb",0.011363601174157
7,"fishdirt",0.011363601174157
7,"alittle",0.011363601174157
7,"bit",0.011363601174157
7,"call",0.011363601174157
7,"must",0.011363601174157
7,"stay",0.011363601174157
7,"sucks",0.011363601174157
7,"hopefully",0.011363601174157
7,"keep",0.011363601174157
8,"great",0.036144578313253
8,"ale",0.0240963855421687
8,"film",0.0240963855421687
8,"godfather",0.0240963855421687
8,"joshuacmurphy",0.0120481927710843
8,"thing",0.0120481927710843
8,"music",0.0120481927710843
8,"see",0.0120481927710843
8,"it'd",0.0120481927710843
8,"around",0.0120481927710843
8,"back",0.0120481927710843
8,"day",0.0120481927710843
8,"drugged",0.0120481927710843
8,"pissed",0.0120481927710843
8,"ridiculously",0.0120481927710843
8,"spend",0.0120481927710843
8,"stomach",0.0120481927710843
8,"thermacare",0.0120481927710843
8,"way",0.0120481927710843
8,"wearing",0.0120481927710843
8,"woo",0.0120481927710843
8,"god",0.0120481927710843
8,"trailer",0.0120481927710843
8,"chance",0.0120481927710843
8,"clerks",0.0120481927710843
8,"dogma",0.0120481927710843
8,"k",0.0120481927710843
8,"love",0.0120481927710843
8,"mallrats",0.0120481927710843
8,"sequels",0.0120481927710843
8,"smith",0.0120481927710843
8,"thatkevinsmith",0.0120481927710843
8,"basterds",0.0120481927710843
8,"greatest",0.0120481927710843
8,"history",0.0120481927710843
8,"inglourious",0.0120481927710843
8,"movie",0.0120481927710843
8,"perfection",0.0120481927710843
8,"period",0.0120481927710843
8,"theater",0.0120481927710843
8,"wait",0.0120481927710843
8,"wks",0.0120481927710843
8,"good",0.0120481927710843
8,"2hrs20min",0.0120481927710843
8,"aka",0.0120481927710843
8,"dark",0.0120481927710843
8,"jonas",0.0120481927710843
8,"longass",0.0120481927710843
8,"lord",0.0120481927710843
8,"nick",0.0120481927710843
8,"oh",0.0120481927710843
8,"satan",0.0120481927710843
8,"think",0.0120481927710843
8,"acting",0.0120481927710843
8,"action",0.0120481927710843
8,"cast",0.0120481927710843
8,"overall",0.0120481927710843
8,"photog",0.0120481927710843
8,"poohstwitmoviereview",0.0120481927710843
8,"amy",0.0120481927710843
8,"excellent",0.0120481927710843
8,"joelmchale",0.0120481927710843
8,"mann's",0.0120481927710843
8,"touch",0.0120481927710843
8,"wise",0.0120481927710843
8,"amber",0.0120481927710843
8,"atattooedtale",0.0120481927710843
8,"get",0.0120481927710843
8,"indiana",0.0120481927710843
8,"pale",0.0120481927710843
8,"stock",0.0120481927710843
8,"whenever",0.0120481927710843
8,"twurl.nl",0.0120481927710843
8,"band",0.0120481927710843
8,"helsing",0.0120481927710843
8,"qnzbma",0.0120481927710843
8,"red",0.0120481927710843
8,"stan",0.0120481927710843
9,"better",0.0833316995619113
9,"video",0.027804132902033
9,"actually",0.027804132902033
9,"following",0.027804132902033
9,"give",0.027804132902033
9,"now",0.027804132902033
9,"back",0.027804132902033
9,"new",0.027804132902033
9,"soon",0.027804132902033
9,"beer",0.027804132902033
