"topic","term","beta"
1,"amarillo",0.0767206098443471
1,"tx",0.0531143161698128
1,"best",0.0264941973377473
1,"sales",0.0236063627421391
1,"job",0.0236063627421391
1,"description",0.0236063627421391
1,"ow.ly",0.0177047720566043
1,"news",0.017696790729751
1,"full",0.0148182609001852
1,"time",0.0126678593750943
2,"happy",0.0363864255223079
2,"birthday",0.027989558094083
2,"day",0.0195926903827759
2,"love",0.0195926896418783
2,"rt",0.0167937348564498
2,"great",0.0167937348564498
2,"now",0.0167937348564492
2,"getting",0.0139947790470415
2,"just",0.0139947790470415
2,"like",0.0138431476073134
3,"tx",0.058351573028736
3,"therapist",0.0531462977954034
3,"amarillo",0.0482513821788071
3,"travel",0.0423261109842336
3,"physical",0.0398597233465526
3,"applied",0.0199298616732763
3,"staffing",0.0199298616732763
3,"heart",0.019929861661651
3,"cook",0.019929861643395
3,"family",0.0166082180610636
3,"tech",0.0166082180610636
3,"texas",0.0166082180610636
4,"high",0.0521586809474549
4,"near",0.0496751373034525
4,"low",0.0496751373034525
4,"tx",0.0283965980542492
4,"tonight",0.0273213250488415
4,"amarillo",0.0260139817766336
4,"hospital",0.0248375686517263
4,"sunny",0.0223538117865536
4,"stratford",0.019870054921381
4,"afternoon",0.019870054921381
5,"rt",0.0179162480206285
5,"see",0.0132738743114721
5,"think",0.0130427071316176
5,"better",0.0111976550128928
5,"today",0.0111976550128928
5,"new",0.0111976550128928
5,"take",0.0111976550128928
5,"just",0.010970761677372
5,"get",0.00895812401031427
5,"now",0.00895812401031427
5,"thing",0.00895812401031427
5,"house",0.00895812401031427
6,"twitter",0.0374257615442739
6,"rt",0.0319883032335254
6,"facebook",0.0310143065324056
6,"dirk_vanreenen",0.0194303437087735
6,"good",0.0181038207929643
6,"day",0.0163442293333668
6,"ow.ly",0.0155175606796837
6,"everyone",0.0129313005664031
6,"mostly",0.0129313005664031
6,"cloudy",0.0129313005664031
6,"highs",0.0129313005664031
7,"rt",0.0219078976594523
7,"meetings",0.0174172280102189
7,"museum",0.0149290525801875
7,"time",0.0126669865115181
7,"just",0.0124974905309863
7,"access",0.00995270172012508
7,"community",0.00995270172012508
7,"want",0.00995270172012508
7,"fan",0.0099526454609837
7,"like",0.00982732336758091
8,"day",0.0385191829678091
8,"woot",0.0170956457962207
8,"really",0.0170956457962207
8,"d",0.0170931146322492
8,"game",0.0170670689408341
8,"one",0.0154434386001518
8,"just",0.0142584911262604
8,"good",0.00926587575684495
8,"days",0.00854782289811037
8,"got",0.00854782289811037
9,"go",0.0249739220498976
9,"rt",0.0204488086466315
9,"lnk.ms",0.0113598914926543
9,"know",0.00908835939850288
9,"can",0.00908835939850288
9,"gus",0.00681626954887716
9,"johnson",0.00681626954887716
9,"today",0.00681626954887716
9,"now",0.00681626954887716
9,"believe",0.00681626954887716
9,"931element",0.00681626954887716
9,"haha",0.00681626954887716
9,"love",0.00681626954887716
9,"week",0.00681626954887716
9,"always",0.00681626954887716
9,"sky",0.00681626954887716
