"topic","term","beta"
1,"fishsticks",0.0560514667846422
1,"warm",0.0560514667846422
1,"wildboutbirds",0.0420386000884817
1,"day",0.0420386000884817
1,"later",0.0280257333923211
1,"always",0.0280257333923211
1,"five",0.0280257333923211
1,"got",0.0280257333923211
1,"great",0.0280257333923209
1,"take",0.0228037684744326
2,"today",0.0605845014018291
2,"close",0.0303037257612313
2,"riding",0.0303037257612313
2,"woohoo",0.0303037257612313
2,"harley",0.0303037257612313
2,"lol",0.0303037257612313
2,"heading",0.0303037257612313
2,"joshhoge",0.0303037257612313
2,"calistataylor",0.0303037257612313
2,"come",0.0151518628806157
2,"face",0.0151518628806157
2,"wind",0.0151518628806157
2,"see",0.0151518628806157
2,"caging",0.0151518628806157
2,"chapter",0.0151518628806157
2,"meeting",0.0151518628806157
2,"planning",0.0151518628806157
2,"raining",0.0151518628806157
2,"bike",0.0151518628806157
2,"get",0.0151518628806157
2,"going",0.0151518628806157
2,"ladies",0.0151518628806157
2,"never",0.0151518628806157
2,"woman",0.0151518628806157
2,"richmond",0.0151518628806157
2,"vienna",0.0151518628806157
2,"ya",0.0151518628806157
2,"bowling",0.0151518628806157
2,"family",0.0151518628806157
2,"green",0.0151518628806157
2,"visit",0.0151518628806157
2,"favorite",0.0151518628806157
2,"okay",0.0151518628806157
2,"person",0.0151518628806157
2,"herd",0.0151518628806157
2,"luvelizabethany",0.0151518628806157
2,"performance",0.0151518628806157
2,"prerecorded",0.0151518628806157
2,"make",0.0151518628806157
2,"hey",0.0151518628806157
2,"working",0.0151518628806157
2,"agent",0.0151518628806157
2,"anything",0.0151518628806157
2,"coming",0.0151518628806157
2,"fellow",0.0151518628806157
2,"happen",0.0151518628806157
2,"magic",0.0151518628806157
2,"soon",0.0151518628806157
2,"steampunk",0.0151518628806157
2,"writer",0.0151518628806157
2,"deal",0.0151518628806157
2,"fantasy",0.0151518628806157
2,"potential",0.0151518628806157
2,"seal",0.0151518628806157
2,"world",0.0151518628806157
3,"good",0.0472004913675141
3,"wish",0.0354003685256356
3,"today",0.0323596781077958
3,"dip",0.023600245683757
3,"dinner",0.023600245683757
3,"ride",0.023600245683757
3,"old",0.023600245683757
3,"luvelizabethany",0.023600245683757
3,"luck",0.023600245683757
3,"time",0.023600245683757
3,"break",0.023600245683757
3,"home",0.023600245683757
3,"gym",0.023600245683757
3,"music",0.023600245683757
3,"job",0.023600245683757
3,"radio",0.023600245683757
4,"said",0.0491803278688525
4,"news",0.0327868852459016
4,"alpha_computer",0.0327868852459016
4,"fun",0.0163934426229508
4,"hello",0.0163934426229508
4,"tell",0.0163934426229508
4,"see",0.0163934426229508
4,"get",0.0163934426229508
4,"great",0.0163934426229508
4,"brandoncrowe",0.0163934426229508
4,"chance",0.0163934426229508
4,"go",0.0163934426229508
4,"man",0.0163934426229508
4,"star",0.0163934426229508
4,"okay",0.0163934426229508
4,"just",0.0163934426229508
4,"got",0.0163934426229508
4,"job",0.0163934426229508
4,"hey",0.0163934426229508
4,"ale",0.0163934426229508
4,"ask",0.0163934426229508
4,"background",0.0163934426229508
4,"exceptional",0.0163934426229508
4,"fail",0.0163934426229508
4,"mauicountyjr",0.0163934426229508
4,"pale",0.0163934426229508
4,"photoshop",0.0163934426229508
4,"really",0.0163934426229508
4,"whale",0.0163934426229508
4,"best",0.0163934426229508
4,"bittersweet",0.0163934426229508
4,"call",0.0163934426229508
4,"suck",0.0163934426229508
4,"situation",0.0163934426229508
4,"suk",0.0163934426229508
4,"yes",0.0163934426229508
4,"cool",0.0163934426229508
4,"enough",0.0163934426229508
4,"hp",0.0163934426229508
4,"lauren",0.0163934426229508
4,"laurenisanitwit",0.0163934426229508
4,"mac",0.0163934426229508
4,"pc",0.0163934426229508
4,"say",0.0163934426229508
4,"connery",0.0163934426229508
4,"crystal",0.0163934426229508
4,"dad",0.0163934426229508
4,"died",0.0163934426229508
4,"immortal",0.0163934426229508
4,"indy's",0.0163934426229508
4,"movies",0.0163934426229508
4,"moviesforyou",0.0163934426229508
4,"neat",0.0163934426229508
4,"oh",0.0163934426229508
4,"since",0.0163934426229508
4,"trick",0.0163934426229508
4,"wait",0.0163934426229508
5,"cilantro",0.043476829278519
5,"allatwitter",0.043476829278519
5,"dip",0.0217384146392595
5,"lol",0.0217384146392595
5,"blue",0.0217384146392595
5,"feeling",0.0217384146392595
5,"go",0.0217384146392595
5,"please",0.0217384146392595
5,"fishsticks",0.0217384146392595
5,"bought",0.0217384146392595
5,"bunnyjeancook",0.0217384146392595
5,"fresh",0.0217384146392595
5,"happy",0.0217384146392595
5,"just",0.0217384146392595
5,"like",0.0217384146392595
5,"share",0.0217384146392595
5,"crack",0.0217384146392595
5,"glass",0.0217384146392595
5,"nip",0.0217384146392595
5,"rrcatty",0.0217384146392595
5,"sauce",0.0217384146392595
5,"side",0.0217384146392595
5,"something",0.0217384146392595
5,"ask",0.0217384146392595
5,"dean_mehrkens",0.0217384146392595
5,"feel",0.0217384146392595
5,"free",0.0217384146392595
5,"give",0.0217384146392595
5,"itstudios",0.0217384146392595
5,"questions",0.0217384146392595
5,"tweet",0.0217384146392595
5,"_really_",0.0217384146392595
5,"closing",0.0217384146392595
5,"commercial",0.0217384146392595
5,"gap",0.0217384146392595
5,"hate",0.0217384146392595
5,"tgif's",0.0217384146392595
5,"woody",0.0217384146392595
5,"yeah",0.0217384146392595
5,"movies",0.0217384146392595
5,"enjoy",0.0217384146392595
5,"minutes",0.0217384146392595
5,"obiorion",0.0217384146392595
5,"tells",0.0217384146392595
6,"now",0.041097235922834
6,"work",0.041097235922834
6,"sweettangerine_",0.041097235922834
6,"week",0.0273981572818893
6,"right",0.0273981572818893
6,"next",0.0273981572818893
6,"make",0.0273981572818893
6,"need",0.0273981572817291
6,"something",0.0273981572809457
6,"kanye",0.0273630405723128
7,"fun",0.0335673142953137
7,"making",0.0223782095302092
7,"night",0.0223782095302092
7,"elliottyamin",0.0223782095302092
7,"richmond",0.0223782095302092
7,"now",0.0223782095302092
7,"right",0.0223782095302092
7,"tonight",0.0223782095302092
7,"good",0.0223782095302092
7,"felineunit",0.0223782095302092
7,"fishsticks",0.0223782095302092
7,"sound",0.0223782095302092
8,"sirfudgeesq",0.0423716978463792
8,"sigh",0.0336010953058345
8,"realworlddcnewz",0.0336010953058345
8,"one",0.0336010950731571
8,"twitter",0.0336003919407879
8,"using",0.0336001323715133
8,"rocket",0.0335998477752182
8,"come",0.0168005476529172
8,"elliottyamin",0.0168005476529172
8,"club",0.0168005476529172
8,"favorite",0.0168005476529172
8,"gjvoc",0.0168005476529172
8,"love",0.0168005476529172
8,"twitpic.com",0.0168005476529172
8,"across",0.0168005476529172
8,"please",0.0168005476529172
8,"send",0.0168005476529172
8,"thing",0.0168005476529172
8,"way",0.0168005476529172
8,"control",0.0168005476529172
8,"seth",0.0168005476529172
8,"got",0.0168005476529172
8,"whattt",0.0168005476529172
8,"might",0.0168005476529172
8,"still",0.0168005476529172
8,"strong",0.0168005476529172
8,"band",0.0168005476529172
8,"episode",0.0168005476529172
8,"highway",0.0168005476529172
8,"know",0.0168005476529172
8,"local",0.0168005476529172
8,"rwdc",0.0168005476529172
8,"taped",0.0168005476529172
8,"account",0.0168005476529172
8,"aware",0.0168005476529172
8,"iheartphotons",0.0168005476529172
8,"network",0.0168005476529172
8,"reconsider",0.0168005476529172
8,"service",0.0168005476529172
8,"spam",0.0168005476529172
8,"want",0.0168005476529172
8,"baby",0.0168005476529172
8,"disciple",0.0168005476529172
8,"fu",0.0168005476529172
8,"interior",0.0168005476529172
8,"msinformation",0.0168005476529172
8,"realize",0.0168005476529172
8,"rookie",0.0168005476529172
8,"ah",0.0168005476529172
8,"brucefp",0.0168005476529172
8,"crush",0.0168005476529172
8,"helen",0.0168005476529172
9,"people",0.0483870967741936
9,"rain",0.032258064516129
9,"gurus",0.032258064516129
9,"get",0.0161290322580645
9,"gear",0.0161290322580645
9,"heading",0.0161290322580645
9,"least",0.0161290322580645
9,"mi",0.0161290322580645
9,"rally",0.0161290322580645
9,"state",0.0161290322580645
9,"use",0.0161290322580645
9,"va",0.0161290322580645
9,"now",0.0161290322580645
9,"right",0.0161290322580645
9,"life",0.0161290322580645
9,"opinion",0.0161290322580645
9,"screw",0.0161290322580645
9,"sucks",0.0161290322580645
9,"almost",0.0161290322580645
9,"done",0.0161290322580645
9,"elite",0.0161290322580645
9,"spirit",0.0161290322580645
9,"perhaps",0.0161290322580645
9,"pick",0.0161290322580645
9,"poop",0.0161290322580645
9,"robinzebley",0.0161290322580645
9,"specific",0.0161290322580645
9,"walk",0.0161290322580645
9,"one",0.0161290322580645
9,"yet",0.0161290322580645
9,"dapper",0.0161290322580645
9,"hat",0.0161290322580645
9,"herbie",0.0161290322580645
9,"herbie_cat",0.0161290322580645
9,"kitty",0.0161290322580645
9,"mercy",0.0161290322580645
9,"wow",0.0161290322580645
9,"congrats",0.0161290322580645
9,"larrydmarshall",0.0161290322580645
9,"passed",0.0161290322580645
9,"account",0.0161290322580645
9,"twitter",0.0161290322580645
9,"affiliate",0.0161290322580645
9,"engagement",0.0161290322580645
9,"getoffmylawn",0.0161290322580645
9,"linkers",0.0161290322580645
9,"row",0.0161290322580645
9,"six",0.0161290322580645
9,"suck",0.0161290322580645
9,"try",0.0161290322580645
9,"updating",0.0161290322580645
9,"choir",0.0161290322580645
9,"cute",0.0161290322580645
9,"fever",0.0161290322580645
9,"pcharing",0.0161290322580645
9,"pitch",0.0161290322580645
9,"preach",0.0161290322580645
9,"reached",0.0161290322580645
