"topic","term","beta"
1,"just",0.093023255813955
1,"done",0.0697674418604369
1,"chime",0.0465116279069775
1,"got",0.0465116279069775
1,"ceeisme",0.0465116279069775
1,"ff",0.0465116279069775
1,"detroitccw",0.0465116279069775
1,"hubertgam",0.0465116279069775
1,"josh_biggs",0.0465116279069775
1,"mrrocknroll",0.0465116279069775
1,"nursebevw",0.0465116279069775
1,"ok",0.0465116279069775
1,"sandywyatt",0.0465116279069775
1,"shitmydadsays",0.0465116279069775
1,"six_two",0.0465116279069775
1,"make",0.0465116279069775
1,"anything",0.0465116279069775
1,"missing",0.0465116279069775
1,"sure",0.0465116279069775
1,"want",0.0465116279069775
2,"slightly_crazy1",0.094356236971261
2,"ff",0.0471781184856305
2,"alexjferris",0.0471781184856305
2,"ferrisfamily",0.0471781184856305
2,"graceful89",0.0471781184856305
2,"greenbaybarb",0.0471781184856305
2,"meaganhaha",0.0471781184856305
2,"durand",0.0471781184856305
2,"make",0.0471781184856305
2,"sense",0.0471781184856305
3,"date",0.120685776244899
3,"getting",0.0724114657469395
3,"boyfriend",0.072411465746937
3,"wattyz",0.0482743104979597
3,"ceeisme",0.0482743104979597
3,"make",0.0482743104979597
3,"asking",0.0482743104979597
3,"can",0.0482743104979597
3,"chances",0.0482743104979597
3,"home",0.0482743104979597
3,"made",0.0482743104979597
3,"man",0.0482743104979597
3,"new",0.0482743104979597
3,"pass",0.0482743104979597
3,"sauce",0.0482743104979597
3,"night",0.0482743104979597
4,"bed",0.0612163555905708
4,"morning",0.0408109037270472
4,"wattyz",0.0408109037270472
4,"rt",0.0408109037270472
4,"professionalone",0.0408109037270472
4,"repeat",0.0408109037270472
4,"rise",0.0408109037270472
4,"rock",0.0408109037270472
4,"shine",0.0408109037270472
4,"tweet",0.0408109037270472
4,"advantage",0.0408109037270472
4,"free",0.0408109037270472
4,"scream",0.0408109037270472
4,"sniff",0.0408109037270472
4,"stay",0.0408109037270472
4,"take",0.0408109037270472
4,"soon",0.0408109037270472
4,"tomorrow",0.0408109037270472
5,"wattyz",0.089560942278698
5,"get",0.0745369297867867
5,"good",0.0597072948524654
5,"morning",0.0597072948524654
5,"one",0.0597072948524654
5,"door",0.0298536474262327
5,"dressed",0.0298536474262327
5,"give",0.0298536474262327
5,"head",0.0298536474262327
5,"reason",0.0298536474262327
5,"friday",0.0298536474262327
5,"happy",0.0298536474262327
5,"day",0.0298536474262327
5,"just",0.0298536474262327
5,"started",0.0298536474262327
5,"starting",0.0298536474262327
5,"yet",0.0298536474262327
5,"awesomeclub",0.0298536474262327
5,"ceeisme",0.0298536474262327
5,"anyone",0.0298536474262327
5,"bitch",0.0298536474262327
5,"deserves",0.0298536474262327
5,"epitome",0.0298536474262327
5,"hashtag",0.0298536474262327
5,"member",0.0298536474262327
5,"someone",0.0298536474262327
5,"uberawesomeclub",0.0298536474262327
6,"ff",0.0425531914893617
6,"dwiley224",0.0425531914893617
6,"lady4d",0.0425531914893617
6,"thank",0.0319148936170213
6,"looks",0.0212765957446809
6,"door",0.0212765957446809
6,"get",0.0212765957446809
6,"wattyz",0.0212765957446809
6,"awesomeclub",0.0212765957446809
6,"ceeisme",0.0212765957446809
6,"damnredhead",0.0212765957446809
6,"djcurtis",0.0212765957446809
6,"fatherwizard",0.0212765957446809
6,"jtshoemaker",0.0212765957446809
6,"lynix",0.0212765957446809
6,"sarahinmi",0.0212765957446809
6,"tori_thompson",0.0212765957446809
6,"tosol",0.0212765957446809
6,"chip_v1",0.0212765957446809
6,"greatfitness",0.0212765957446809
6,"ryderocz",0.0212765957446809
6,"blow",0.0212765957446809
6,"dryer",0.0212765957446809
6,"going",0.0212765957446809
6,"sooner",0.0212765957446809
6,"sorry",0.0212765957446809
6,"blush",0.0212765957446809
6,"job",0.0212765957446809
6,"leaving",0.0212765957446809
6,"mixed",0.0212765957446809
7,"good",0.0666666666666667
7,"reason",0.0666666666666667
7,"alcohol",0.0666666666666667
7,"beer",0.0666666666666667
7,"buy",0.0666666666666667
7,"computer",0.0666666666666667
7,"djplazma",0.0666666666666667
7,"earn",0.0666666666666667
7,"enough",0.0666666666666667
7,"erickbailey",0.0666666666666667
7,"internet",0.0666666666666667
7,"money",0.0666666666666667
7,"rt",0.0666666666666667
7,"stuff",0.0666666666666667
7,"work",0.0666666666666667
8,"homework",0.0652173913043478
8,"erickbailey",0.0434782608695652
8,"professionalone",0.0434782608695652
8,"ff",0.0434782608695652
8,"a_simple_girl",0.0434782608695652
8,"billbudgets",0.0434782608695652
8,"bubblesgalorecw",0.0434782608695652
8,"digitalvision",0.0434782608695652
8,"kramehr",0.0434782608695652
8,"madtownbabe",0.0434782608695652
8,"mjkep",0.0434782608695652
8,"pasties",0.0434782608695652
8,"tjlist",0.0434782608695652
8,"bed",0.0434782608695652
9,"today",0.0643318877638286
9,"now",0.0482489158235444
9,"blip.fm",0.0321659438823629
9,"d",0.0321659438823629
9,"dwetl",0.0321659438823629
9,"quite",0.0321659438823629
9,"rocks",0.0321659438823629
9,"simply",0.0321659438823629
9,"song",0.0321659438823629
9,"tenacious",0.0321659438823629
9,"wonderboy",0.0321659438823629
9,"new",0.0321659438823629
9,"cook",0.0321659438823629
9,"cooking",0.0321659438823629
9,"delivery",0.0321659438823629
9,"eating",0.0321659438823629
9,"guess",0.0321659438823629
9,"means",0.0321659438823629
9,"night",0.0321659438823629
9,"normally",0.0321659438823629
9,"stove",0.0321659438823629
9,"class",0.0321659438823629
