"topic","term","beta"
1,"weekend",0.0303959504445437
1,"vs",0.0273584527838114
1,"app",0.0273584527838114
1,"sunny",0.027162921486177
1,"go",0.0243186246967212
1,"mostly",0.0243186246967212
1,"today",0.0151991404354508
1,"state",0.0151991404354508
1,"davidson",0.0121593123483606
1,"w",0.0121593123483606
1,"game",0.0121593123483606
1,"f",0.0121593123483606
1,"forecast",0.0121593123483606
1,"winds",0.0121593123483606
1,"70s",0.0121593123483606
1,"becoming",0.0121593123483606
1,"hi",0.0121593123483606
1,"highs",0.0121593123483606
1,"mid",0.0121593123483606
2,"can",0.0302352244633276
2,"back",0.0231207290705711
2,"fun",0.0211646612019629
2,"love",0.0180297981336316
2,"new",0.0151176151442592
2,"say",0.0151176151442592
2,"getting",0.0150644790623641
2,"day",0.0130169117632237
2,"fuck",0.0120940921154073
2,"never",0.0120940921154073
2,"end",0.0120940921154073
2,"ready",0.0120940921154073
3,"clear",0.0694819400415986
3,"weather",0.0453143087227817
3,"pueblo",0.0362514469662194
3,"f",0.0332304930633733
3,"winds",0.0332304930633733
3,"co",0.0332304930633733
3,"currently",0.0332304930633733
3,"humidity",0.0332304930633733
3,"relative",0.0332304930633733
3,"mph",0.0241676313188169
4,"djrockinred",0.0335436005708014
4,"give",0.0167874535152615
4,"phones",0.0134299628122092
4,"day",0.0116625337526162
4,"just",0.0106520243998812
4,"head",0.0100724721091569
4,"young",0.0100724721091569
4,"hope",0.0100724721091569
4,"video",0.0100724721091569
4,"love",0.0100724721091569
4,"girl",0.0100724721091569
4,"gonna",0.0100724721091569
4,"old",0.0100724721091569
4,"says",0.0100724721091569
4,"wants",0.0100724721091569
4,"football",0.0100724721091569
5,"like",0.0466486992992604
5,"now",0.023324349650676
5,"luck",0.0166602497504829
5,"studio",0.0166602497504823
5,"well",0.0133281998003863
5,"info",0.0133281998003863
5,"another",0.0133281998003863
5,"wish",0.0133281998003863
5,"chile",0.0133281998003863
5,"love",0.0133281998003863
5,"around",0.0133281998003863
6,"cloudy",0.0297401841447227
6,"lol",0.0267661657302504
6,"just",0.0259365142407785
6,"partly",0.0237921473157781
6,"tonight",0.0237921473043453
6,"now",0.0177808671761358
6,"f",0.0150061754844484
6,"one",0.0148700920723613
6,"forecast",0.0148700920723613
6,"lo",0.0148700920723613
6,"lows",0.0148700920723613
6,"mph",0.0148700920723613
6,"near",0.0148700920723613
6,"winds",0.0148700920723613
7,"see",0.0197876237035284
7,"thedarlashow",0.0197876237035284
7,"never",0.016489686419607
7,"leighannshaver",0.0164896724579361
7,"first",0.0131917491356856
7,"time",0.0131917491356856
7,"know",0.0131917491356856
7,"sunny",0.0101059455442519
7,"people",0.00989381185176421
7,"experience",0.00989381185176421
7,"long",0.00989381185176421
7,"singing",0.00989381185176421
7,"mtvu",0.00989381185176421
7,"season",0.00989381185176421
7,"cyclonegoldie",0.00989381185176421
7,"always",0.00989381185176421
8,"currently",0.0559660109553657
8,"f",0.0558379679396492
8,"rain",0.0307813060254511
8,"64.0",0.0223864043821463
8,"drizzle",0.0223864043821463
8,"booneland",0.019588103834378
8,"get",0.0139915027388414
8,"im",0.0131696282609
8,"rt",0.0111932021910731
8,"today",0.0111932021910731
8,"good",0.0111932021910731
8,"light",0.0111932021910731
8,"boonetana",0.0111932021910731
8,"heavy",0.0111932021910731
8,"booneboro",0.0111932021910731
8,"booneberg",0.0111932021910731
8,"57.0",0.0111932021910731
9,"pueblo",0.0184905119525126
9,"tweetup",0.0184905119525126
9,"get",0.0184905119525126
9,"show",0.015408759960427
9,"please",0.0150938242176536
9,"go",0.014369314331661
9,"11hsoj",0.0123270079683417
9,"work",0.0123270079683417
9,"people",0.0123270079683417
9,"going",0.0115379860058364
