"topic","term","beta"
1,"today",0.0324187078316935
1,"twitpic.com",0.0155283339782459
1,"via",0.0142286311517088
1,"better",0.00953273611991081
1,"now",0.00761016680871112
1,"redskins",0.00733747636176451
1,"day",0.00711431557948643
1,"just",0.00711431557948643
1,"kfoldvik",0.00711431557948643
1,"think",0.00711122339757084
2,"party",0.0135389516293973
2,"tardy",0.0135389516293973
2,"now",0.0135354289055098
2,"rt",0.0120346236705753
2,"redskins",0.0110687834394745
2,"morning",0.0105302909653523
2,"night",0.010496879560688
2,"know",0.00918990807232582
2,"white",0.0090259677529311
2,"tonight",0.00891620875085751
3,"get",0.0217767609697903
3,"time",0.0112504127965186
3,"research",0.00953565463290012
3,"www.larkinpjm.com",0.00953565460626006
3,"keep",0.00817341825677153
3,"totally",0.00817341825677153
3,"hollyg_420",0.00817341563680768
3,"maybe",0.00817338678648154
3,"people",0.00805217986566062
3,"work",0.00681118188064294
3,"health",0.00681118188064294
3,"well",0.00681118188064294
3,"america",0.00681118188064294
4,"rt",0.0290670021897121
4,"something",0.0225828666165902
4,"know",0.0151071586340378
4,"day",0.0133044096896741
4,"much",0.0114122714011764
4,"fail",0.0113994007470919
4,"wow",0.011315204717176
4,"think",0.0100451975894463
4,"good",0.00978194761918614
4,"dylan_growe",0.00978194371852538
5,"never",0.0102466159321486
5,"constitution",0.00913446086959841
5,"going",0.00904445317020116
5,"thanks",0.00810456720498884
5,"can",0.00761205072466534
5,"t",0.00761205072466534
5,"playing",0.00761205072466534
5,"really",0.00705482627663766
5,"know",0.00656993029746188
5,"rt",0.00608964057973227
5,"happy",0.00608964057973227
5,"funding",0.00608964057973227
5,"jazz",0.00608964057973227
5,"smarthero",0.00608964057973227
6,"1aemju",0.0375006765283201
6,"blog",0.0315733547173
6,"photography",0.0243704206170572
6,"can",0.014208026567833
6,"www.larkinpjm.com",0.0142080265558627
6,"lost",0.0126293569491849
6,"mi",0.0126293569491849
6,"archive",0.00939318207108977
6,"read",0.00789334809324056
6,"one",0.00770873070861174
7,"just",0.027915081262951
7,"u",0.016227009733191
7,"need",0.0118014616245216
7,"rt",0.0103262789214574
7,"ur",0.0103262789214574
7,"time",0.00981908050343283
7,"great",0.00925629065527989
7,"lol",0.00885109621839202
7,"lil",0.00885109621839202
7,"thanks",0.00836096927177599
8,"tinyurl.com",0.0242802424766579
8,"via",0.0241740991408872
8,"rt",0.0187095734343466
8,"sla",0.0169114394828401
8,"us",0.0107618251356528
8,"nfl",0.0107618251356528
8,"football",0.00922442154484528
8,"kfoldvik",0.00922442154484496
8,"triviachick",0.00922441943409472
8,"love",0.00682630709652441
9,"rt",0.0185944496829383
9,"1aemju",0.0176599246079919
9,"healthcare",0.0154953747357819
9,"care",0.0123962997886256
9,"handsoff",0.0123962997886256
9,"photo",0.0123962997886256
9,"health",0.0117411152315337
9,"new",0.0107496362736659
9,"now",0.00929722484146916
9,"bill",0.00929722484146916
9,"free",0.00929722484146916
9,"opportunities",0.00929722484146916
