"topic","term","beta"
1,"communities",0.0344827586206897
1,"4u8hnx",0.0229885057471264
1,"b'more",0.0229885057471264
1,"cancer",0.0229885057471264
1,"details",0.0229885057471264
1,"heck",0.0229885057471264
1,"help",0.0229885057471264
1,"hopkins",0.0229885057471264
1,"johns",0.0229885057471264
1,"oct4",0.0229885057471264
1,"one",0.0229885057471264
1,"patients",0.0229885057471264
1,"proceeds",0.0229885057471264
1,"putting",0.0229885057471264
1,"show",0.0229885057471264
1,"media",0.0229885057471264
1,"social",0.0229885057471264
1,"clients",0.0229885057471264
1,"metrics",0.0229885057471264
1,"monthly",0.0229885057471264
1,"reports",0.0229885057471264
2,"zappa",0.0677966101694915
2,"stage",0.0338983050847458
2,"talk",0.0338983050847458
2,"main",0.0338983050847458
2,"crappy",0.0338983050847458
2,"dweezil",0.0338983050847458
2,"iphone",0.0338983050847458
2,"pic",0.0338983050847458
2,"efficient",0.0338983050847458
2,"make",0.0338983050847458
3,"zappa",0.0524974905145253
3,"social",0.0524968245649029
3,"media",0.0524968076214076
3,"watching",0.0393731178860173
3,"monitoring",0.0390822748644234
3,"prs",0.0262487452573449
3,"charity",0.0262487452573449
3,"chevy",0.0262487452573449
3,"drivers",0.0262487452573449
3,"guitars",0.0262487452573449
3,"nascar",0.0262487452573449
3,"partner",0.0262487452573449
3,"qfiqx",0.0262487452573449
3,"rock",0.0262487452573449
3,"roll",0.0262487452573449
3,"companies",0.0262487452573449
4,"rt",0.0406469610129332
4,"thanks",0.0406469610129332
4,"stage",0.0270979740086221
4,"roi",0.0270979740086221
4,"rock",0.0270979740086221
4,"australia",0.0270979740086221
4,"band",0.0270979740086221
4,"brought",0.0270979740086221
4,"electric",0.0270979740086221
4,"great",0.0270979740086221
4,"just",0.0270979740086221
4,"main",0.0270979740086221
4,"mary",0.0270979740086221
4,"noise",0.0270979740086221
4,"looking",0.0270979740086221
4,"now",0.0270979740086221
4,"products",0.0270979740086221
5,"1cause",0.0697674418604651
5,"auction",0.0697674418604651
5,"prs",0.0465116279069768
5,"twitpic.com",0.0465116279069768
5,"buddy",0.0465116279069768
5,"guy",0.0465116279069768
5,"help",0.0348837209302326
5,"guitar",0.0232558139534884
5,"new",0.0232558139534884
5,"guitars",0.0232558139534884
5,"one",0.0232558139534884
5,"baltimore",0.0232558139534884
5,"santana",0.0232558139534884
5,"rt",0.0232558139534884
5,"cause",0.0232558139534884
5,"grateful",0.0232558139534884
5,"prsguitars",0.0232558139534884
5,"recruiting",0.0232558139534884
5,"zmqku",0.0232558139534884
5,"j82ki",0.0232558139534884
5,"scj",0.0232558139534884
5,"signed",0.0232558139534884
5,"artist",0.0232558139534884
5,"j8ywu",0.0232558139534884
5,"jean's",0.0232558139534884
5,"local",0.0232558139534884
5,"se",0.0232558139534884
5,"serge",0.0232558139534884
6,"twitpic.com",0.0493827160493827
6,"ace",0.0493827160493827
6,"cakes",0.0493827160493827
6,"can",0.037037037037037
6,"charity",0.0246913580246913
6,"1cause",0.0246913580246913
6,"baltimore",0.0246913580246913
6,"concert",0.0246913580246913
6,"date",0.0246913580246913
6,"follow",0.0246913580246913
6,"information",0.0246913580246913
6,"live",0.0246913580246913
6,"october",0.0246913580246913
6,"ramshead",0.0246913580246913
6,"amp",0.0246913580246913
6,"anniversary",0.0246913580246913
6,"assembling",0.0246913580246913
6,"cake",0.0246913580246913
6,"duff",0.0246913580246913
6,"j31iw",0.0246913580246913
6,"shaped",0.0246913580246913
6,"assembled",0.0246913580246913
6,"creation",0.0246913580246913
6,"j3w62",0.0246913580246913
6,"clients",0.0246913580246913
7,"twitpic.com",0.100000623334253
7,"private",0.0666670822231244
7,"stock",0.0666670822231244
7,"people",0.0666608488759147
7,"guitar",0.0333335411115622
7,"new",0.0333335411115622
7,"blocks",0.0333335411115622
7,"display",0.0333335411115622
7,"interactive",0.0333335411115622
7,"j7x5u",0.0333335411115622
7,"maple",0.0333335411115622
7,"staining",0.0333335411115622
7,"carve",0.0333335411115622
7,"discussing",0.0333335411115622
7,"hancock",0.0333335411115622
7,"j9h8j",0.0333335411115622
7,"luthier",0.0333335411115622
7,"rick",0.0333335411115622
8,"prs",0.0512820512820513
8,"stage",0.0512820512820513
8,"guitars",0.0512820512820513
8,"last",0.0512820512820513
8,"night",0.0512820512820513
8,"nascar",0.0256410256410256
8,"experience",0.0256410256410256
8,"twitpic.com",0.0256410256410256
8,"buddy",0.0256410256410256
