"topic","term","beta"
1,"wind",0.077720207253886
1,"c",0.0725388601036269
1,"conditions",0.0725388601036269
1,"direction",0.0725388601036269
1,"f",0.0725388601036269
1,"humidity",0.0725388601036269
1,"pressure",0.0725388601036269
1,"temperature",0.0725388601036269
1,"clear",0.0673575129533679
1,"win",0.0362694300518135
2,"mid",0.0560747663551402
2,"mph",0.0560747663551402
2,"winds",0.0560747663551402
2,"around",0.0467289719626168
2,"astrological",0.0373831775700935
2,"signs",0.0373831775700935
2,"chance",0.0280373831775701
2,"70s",0.0280373831775701
2,"cloudy",0.0280373831775701
2,"highs",0.0280373831775701
2,"mostly",0.0280373831775701
2,"50s",0.0280373831775701
2,"lows",0.0280373831775701
2,"east",0.0280373831775701
2,"saturday",0.0280373831775701
3,"massage",0.0425531914893617
3,"tinyurl.com",0.0425531914893617
3,"fair",0.0319148936170213
3,"ks",0.0319148936170213
3,"state",0.0319148936170213
3,"therapeutic",0.0212765957446809
3,"therapy",0.0212765957446809
3,"massages",0.0212765957446809
3,"brafton",0.0212765957446809
3,"franchise",0.0212765957446809
3,"getting",0.0212765957446809
3,"hands",0.0212765957446809
3,"incorporates",0.0212765957446809
3,"new",0.0212765957446809
3,"quh3cn",0.0212765957446809
3,"seo",0.0212765957446809
3,"t",0.0212765957446809
3,"website",0.0212765957446809
3,"cg",0.0212765957446809
3,"funk",0.0212765957446809
3,"industry",0.0212765957446809
3,"often",0.0212765957446809
3,"pjjzp5",0.0212765957446809
3,"president",0.0212765957446809
3,"relations",0.0212765957446809
3,"says",0.0212765957446809
3,"scheduling",0.0212765957446809
3,"truth",0.0212765957446809
3,"vice",0.0212765957446809
3,"classic",0.0212765957446809
3,"good",0.0212765957446809
3,"morning",0.0212765957446809
4,"healing",0.0963328726741766
4,"nlp",0.0584463322043335
4,"energy",0.0584463322043335
4,"alternative",0.0389642214695557
4,"careers",0.0389642214695557
4,"home",0.0389642214695557
4,"hypnosis",0.0389642214695557
4,"news",0.0389642214695557
4,"telepathy",0.0389642214695557
4,"athens",0.0194821107347778
4,"college",0.0194821107347778
4,"learning",0.0194821107347778
4,"mar4b5",0.0194821107347778
4,"learn",0.0194821107347778
4,"many",0.0194821107347778
4,"2vkg8a",0.0194821107347778
4,"conserve",0.0194821107347778
4,"effort",0.0194821107347778
4,"health",0.0194821107347778
4,"steps",0.0194821107347778
4,"19vnbf",0.0194821107347778
4,"causes",0.0194821107347778
4,"deep",0.0194821107347778
4,"disease",0.0194821107347778
4,"illness",0.0194821107347778
4,"lie",0.0194821107347778
4,"pets",0.0194821107347778
4,"underlying",0.0194821107347778
4,"works",0.0194821107347778
4,"akdeh",0.0194821107347778
4,"archive",0.0194821107347778
4,"blog",0.0194821107347778
4,"center",0.0194821107347778
4,"expansion",0.0194821107347778
