"topic","term","beta"
1,"go",0.444444444444444
1,"cowboys",0.222222222222222
1,"emails",0.111111111111111
1,"sending",0.111111111111111
1,"dallas",0.111111111111111
1,"shower",3.72007597602084e-44
1,"forecast",3.72007597602084e-44
1,"means",3.72007597602084e-44
1,"rain",3.72007597602084e-44
1,"saw",3.72007597602084e-44
1,"shadow",3.72007597602084e-44
1,"today",3.72007597602084e-44
1,"online",3.72007597602084e-44
1,"shopping",3.72007597602084e-44
1,"tickets",3.72007597602084e-44
1,"craving",3.72007597602084e-44
1,"hmmmm",3.72007597602084e-44
1,"im",3.72007597602084e-44
1,"something",3.72007597602084e-44
1,"sweet",3.72007597602084e-44
1,"dream",3.72007597602084e-44
1,"know",3.72007597602084e-44
1,"okay",3.72007597602084e-44
1,"cant",3.72007597602084e-44
1,"decide",3.72007597602084e-44
1,"ideas",3.72007597602084e-44
1,"sing",3.72007597602084e-44
1,"time",3.72007597602084e-44
1,"info",3.72007597602084e-44
1,"thanks",3.72007597602084e-44
1,"blackberry",3.72007597602084e-44
1,"margaritas",3.72007597602084e-44
1,"mmmmmmm",3.72007597602084e-44
1,"taryn",3.72007597602084e-44
1,"bad",3.72007597602084e-44
1,"oh",3.72007597602084e-44
1,"tooth",3.72007597602084e-44
1,"sept",3.72007597602084e-44
1,"tn",3.72007597602084e-44
1,"twitpic.com",3.72007597602084e-44
1,"wedding",3.72007597602084e-44
1,"candice",3.72007597602084e-44
1,"clarksville",3.72007597602084e-44
1,"cnanah's",3.72007597602084e-44
1,"girl",3.72007597602084e-44
1,"ijcs4",3.72007597602084e-44
1,"awwwww",3.72007597602084e-44
1,"beautiful",3.72007597602084e-44
1,"bride",3.72007597602084e-44
1,"cnanah",3.72007597602084e-44
1,"ijcvj",3.72007597602084e-44
1,"microwave",3.72007597602084e-44
1,"need",3.72007597602084e-44
1,"umm",3.72007597602084e-44
1,"work",3.72007597602084e-44
1,"beat",3.72007597602084e-44
1,"sounthone",3.72007597602084e-44
1,"later",3.72007597602084e-44
1,"o",3.72007597602084e-44
1,"see",3.72007597602084e-44
1,"tennesseetitans",3.72007597602084e-44
1,"touchdown",3.72007597602084e-44
1,"u",3.72007597602084e-44
1,"y",3.72007597602084e-44
1,"chris",3.72007597602084e-44
1,"cj",3.72007597602084e-44
1,"johnson",3.72007597602084e-44
1,"thumbs",3.72007597602084e-44
1,"titans",3.72007597602084e-44
1,"babies",3.72007597602084e-44
1,"kriziagonzalez",3.72007597602084e-44
1,"lol",3.72007597602084e-44
1,"seriously",3.72007597602084e-44
1,"ummm",3.72007597602084e-44
2,"clarksvil",0.111111111111111
2,"friends",0.111111111111111
2,"ijce8",0.111111111111111
2,"le",0.111111111111111
2,"reception",0.111111111111111
2,"sept",0.111111111111111
2,"tn",0.111111111111111
2,"twitpic.com",0.111111111111111
2,"wedding",0.111111111111111
2,"go",3.72007597602084e-44
2,"shower",3.72007597602084e-44
2,"forecast",3.72007597602084e-44
2,"means",3.72007597602084e-44
2,"rain",3.72007597602084e-44
2,"saw",3.72007597602084e-44
2,"shadow",3.72007597602084e-44
2,"today",3.72007597602084e-44
2,"emails",3.72007597602084e-44
2,"sending",3.72007597602084e-44
2,"online",3.72007597602084e-44
2,"shopping",3.72007597602084e-44
2,"tickets",3.72007597602084e-44
2,"craving",3.72007597602084e-44
2,"hmmmm",3.72007597602084e-44
2,"im",3.72007597602084e-44
2,"something",3.72007597602084e-44
2,"sweet",3.72007597602084e-44
2,"dream",3.72007597602084e-44
2,"know",3.72007597602084e-44
2,"okay",3.72007597602084e-44
2,"cant",3.72007597602084e-44
2,"decide",3.72007597602084e-44
2,"ideas",3.72007597602084e-44
2,"sing",3.72007597602084e-44
2,"time",3.72007597602084e-44
2,"info",3.72007597602084e-44
2,"thanks",3.72007597602084e-44
2,"blackberry",3.72007597602084e-44
2,"margaritas",3.72007597602084e-44
2,"mmmmmmm",3.72007597602084e-44
2,"taryn",3.72007597602084e-44
2,"bad",3.72007597602084e-44
2,"oh",3.72007597602084e-44
2,"tooth",3.72007597602084e-44
2,"candice",3.72007597602084e-44
2,"clarksville",3.72007597602084e-44
2,"cnanah's",3.72007597602084e-44
2,"girl",3.72007597602084e-44
2,"ijcs4",3.72007597602084e-44
2,"awwwww",3.72007597602084e-44
2,"beautiful",3.72007597602084e-44
2,"bride",3.72007597602084e-44
2,"cnanah",3.72007597602084e-44
2,"ijcvj",3.72007597602084e-44
2,"microwave",3.72007597602084e-44
2,"need",3.72007597602084e-44
2,"umm",3.72007597602084e-44
2,"work",3.72007597602084e-44
2,"beat",3.72007597602084e-44
2,"sounthone",3.72007597602084e-44
2,"cowboys",3.72007597602084e-44
2,"later",3.72007597602084e-44
2,"o",3.72007597602084e-44
2,"see",3.72007597602084e-44
2,"tennesseetitans",3.72007597602084e-44
2,"touchdown",3.72007597602084e-44
2,"u",3.72007597602084e-44
2,"y",3.72007597602084e-44
2,"chris",3.72007597602084e-44
2,"cj",3.72007597602084e-44
2,"johnson",3.72007597602084e-44
2,"thumbs",3.72007597602084e-44
2,"titans",3.72007597602084e-44
2,"dallas",3.72007597602084e-44
2,"babies",3.72007597602084e-44
2,"kriziagonzalez",3.72007597602084e-44
2,"lol",3.72007597602084e-44
2,"seriously",3.72007597602084e-44
2,"ummm",3.72007597602084e-44
3,"later",0.0833333333333333
3,"o",0.0833333333333333
3,"see",0.0833333333333333
3,"tennesseetitans",0.0833333333333333
3,"touchdown",0.0833333333333333
3,"u",0.0833333333333333
3,"y",0.0833333333333333
3,"babies",0.0833333333333333
3,"kriziagonzalez",0.0833333333333333
3,"lol",0.0833333333333333
3,"seriously",0.0833333333333333
3,"ummm",0.0833333333333333
