"topic","term","beta"
1,"campaign",0.0332698784100922
1,"mpdotcom",0.0221799189400615
1,"spread",0.0221799189400615
1,"word",0.0221799189400615
1,"now",0.0166349392050461
1,"steamboat",0.0166349392050461
1,"friday",0.0166349392050461
1,"greet",0.0166349392050461
1,"info",0.0166349392050461
1,"meet",0.0166349392050461
1,"sunpies",0.0166349392050461
2,"woman",0.0210360370578883
2,"student",0.0140240247052589
2,"hey",0.0140240247052589
2,"stuff",0.0140240247052589
2,"forward",0.0140240247052589
2,"guru",0.0140240247052589
2,"looking",0.0140240247052589
2,"luv",0.0140240247052589
2,"seo",0.0140240247052589
2,"thanks",0.0140240247052589
2,"tim",0.0140240247052589
2,"timnebergall",0.0140240247052589
2,"tweet",0.0140240247052589
2,"u'r",0.0140240247052589
2,"plumbing",0.0140240247052589
2,"hot",0.0140240247052589
2,"today",0.0140240247052589
2,"creativecoaching",0.0140240247052589
2,"basically",0.0140240247052589
2,"parts",0.0140240247052589
3,"steamboat",0.0326806578417012
3,"mtn",0.0163403289208506
3,"great",0.0163403289208506
3,"2hwnzh",0.0163403289208506
3,"bike",0.0163403289208506
3,"season",0.0163403289208506
3,"skate",0.0163403289208506
3,"done",0.0163403289208506
3,"movie",0.0163403289208506
3,"night",0.0163403289208506
3,"open",0.0163403289208506
3,"space",0.0163403289208506
3,"short",0.0163403289208506
3,"woke",0.0163403289208506
4,"rt",0.0298668859063821
4,"post",0.0224001644297866
4,"new",0.0224001644297866
4,"blog",0.0162201905875433
4,"mtn",0.014933442953191
4,"service",0.014933442953191
4,"pls",0.014933442953191
4,"courses",0.014933442953191
4,"credit",0.014933442953191
4,"fun",0.014933442953191
4,"morning",0.014933442953191
4,"lord",0.014933442953191
5,"enjoy",0.0471688529661744
5,"day",0.0412727463454026
5,"blip.fm",0.0353766397246308
5,"happy",0.0353766397246308
5,"labor",0.0294805330794317
5,"eyes",0.0235844264830872
5,"keep",0.0235844264830872
5,"really",0.0235844264830872
5,"rockin",0.0235844264830872
5,"us",0.0235844264830872
6,"lake",0.0548040156371139
6,"powell",0.0469748705460976
6,"11ikyj",0.046974870510973
6,"fsgqu",0.0313165803640651
6,"yo",0.0313165592340615
6,"ready",0.0291860298763147
6,"co",0.0234874352730488
6,"brewing",0.0234874352730488
6,"ml",0.0234874352730488
6,"great",0.0156582901820325
6,"hear",0.0156582901820325
6,"get",0.0156582901820325
6,"chillin",0.0156582901820325
6,"lifestyle",0.0156582901820325
6,"pjhik",0.0156582901820325
6,"video",0.0156582901820325
6,"rippin",0.0156582901820325
6,"just",0.0156582901820325
6,"check",0.0156582901820325
6,"igoxtreme",0.0156582901820325
6,"man",0.0156582901820325
6,"returned",0.0156582901820325
6,"ski",0.0156582901820325
6,"vid",0.0156582901820325
6,"ball",0.0156582901820325
6,"denisewakeman",0.0156582901820325
6,"play",0.0156582901820325
6,"ale",0.0156582901820325
6,"beerfriday",0.0156582901820325
6,"wi",0.0156582901820325
7,"co",0.0470588235694858
7,"brewing",0.0411764706233001
7,"ml",0.0411764706233001
7,"abv",0.0294117647309286
7,"pilsner",0.0176470588385572
7,"left",0.0176470588385572
7,"ipa",0.0176470588385572
7,"finish",0.0117647058923715
7,"place",0.0117647058923715
7,"strong",0.0117647058923715
7,"else",0.0117647058923715
7,"urquell",0.0117647058923715
7,"going",0.0117647058923715
7,"steamboat",0.0117647058923715
7,"beerwednesday",0.0117647058923715
7,"hand",0.0117647058923715
7,"longmont",0.0117647058923715
7,"www.lefthandbrewing.com",0.0117647058923715
7,"ca",0.0117647058923715
7,"republic",0.0117647058923715
7,"beermonday",0.0117647058923715
7,"lakewood",0.0117647058923715
7,"ny",0.0117647058923715
7,"southern",0.0117647058923715
7,"tier",0.0117647058923715
7,"www.southerntierbrewing.com",0.0117647058923715
8,"door",0.0412686479088408
8,"great",0.0206343239544204
8,"prelude",0.0137562159696136
8,"postsecret",0.0137562159696136
8,"friends",0.0137562159696136
8,"today",0.0137562159696136
8,"back",0.0137562159696136
8,"old",0.0137562159696136
8,"town",0.0137562159696136
8,"dancing",0.0137562159696136
8,"starting",0.0137562159696136
9,"just",0.0437956204379562
9,"thanks",0.0364963503649635
9,"awesome",0.0291970802919708
9,"weekend",0.0291970802919708
9,"get",0.0291970802919708
9,"time",0.0218978102189781
9,"year",0.0218978102189781
9,"might",0.0218978102189781
9,"luv",0.0145985401459854
9,"tweet",0.0145985401459854
9,"tearsofjoy",0.0145985401459854
9,"buddy",0.0145985401459854
9,"matthewrayscott",0.0145985401459854
9,"u",0.0145985401459854
9,"powell",0.0145985401459854
9,"blast",0.0145985401459854
9,"highly",0.0145985401459854
9,"love",0.0145985401459854
9,"recommend",0.0145985401459854
9,"timeforlifeva",0.0145985401459854
9,"smile",0.0145985401459854
9,"seen",0.0145985401459854
9,"ever",0.0145985401459854
