"topic","term","beta"
1,"well",0.0207260364229156
1,"like",0.0155445273171867
1,"back",0.0155445273171867
1,"yes",0.0155445273171867
1,"now",0.0155445273171867
1,"just",0.0155445273171581
1,"rt",0.0103630182114578
1,"criminals",0.0103630182114578
1,"free",0.0103630182114578
1,"gun",0.0103630182114578
1,"shoot",0.0103630182114578
1,"soft",0.0103630182114578
1,"targets",0.0103630182114578
1,"zones",0.0103630182114578
1,"wow",0.0103630182114578
1,"hugheswb",0.0103630182114578
1,"bung",0.0103630182114578
1,"say",0.0103630182114578
1,"rizoh",0.0103630182114578
1,"listening",0.0103630182114578
1,"please",0.0103630182114578
2,"like",0.0272600998818413
2,"nikki",0.0163560599291048
2,"today",0.0163560599291048
2,"day",0.0163560599291048
2,"call",0.0163560599291048
2,"centered",0.0109040399527365
2,"conway",0.0109040399527365
2,"ching",0.0109040399527365
2,"vague",0.0109040399527365
2,"just",0.0109040399527365
2,"make",0.0109040399527365
2,"also",0.0109040399527365
2,"w",0.0109040399527365
2,"hours",0.0109040399527365
2,"talk",0.0109040399527365
2,"baseball",0.0109040399527365
2,"c'mon",0.0109040399527365
2,"full",0.0109040399527365
2,"adoption",0.0109040399527365
2,"ministry",0.0109040399527365
2,"tomorrow",0.0109040399527365
3,"via",0.0399593010433997
3,"da",0.0342643475702748
3,"group",0.0342643475702748
3,"congressional",0.0342643475702748
3,"racist",0.0342643475702748
3,"1st",0.0228428983801832
3,"n",0.0228428983801832
3,"scool",0.0228428983801832
3,"rt",0.0228428983801832
3,"attention",0.0228428983801832
3,"bart",0.0228428983801832
3,"democrat",0.0228428983801832
3,"district",0.0228428983801832
3,"gordon",0.0228428983801832
3,"k2qtk",0.0228428983801832
3,"lot",0.0228428983801832
3,"thinks",0.0228428983801832
3,"tn",0.0228428983801832
3,"voters",0.0228428983801832
4,"rt",0.0455560531407633
4,"goofy4jc",0.0155695242358491
4,"stand",0.0155695242358491
4,"corporate",0.0155695242358491
4,"flight",0.0155695242358491
4,"management",0.0155695242358491
