"topic","term","beta"
1,"go",0.0404193042865353
1,"today",0.0215522802544036
1,"now",0.0202695920738034
1,"home",0.0168900096504359
1,"got",0.0113484224007001
1,"much",0.0107721832897791
1,"right",0.00888553508502419
1,"work",0.00802007563006737
1,"happy",0.00760201500019866
1,"gotta",0.00702008718548277
2,"new",0.0360716777551323
2,"blog",0.0197686244015377
2,"post",0.0145793394256656
2,"bad",0.0145686002670877
2,"rt",0.0121458808778254
2,"watching",0.011198356492454
2,"follow",0.0091303663281309
2,"car",0.0081400087216253
2,"one",0.0070380164912401
2,"maybe",0.00643609693446874
3,"rt",0.023307327450574
3,"thanks",0.0178928891514916
3,"last",0.0143144535459999
3,"night",0.0139645452100006
3,"ha",0.0120898472920317
3,"lol",0.01110524231721
3,"good",0.00630360863089024
3,"haha",0.00618317260821683
3,"know",0.00546922763581783
3,"day",0.00539052967250771
4,"another",0.0151396502957265
4,"find",0.012823011357315
4,"just",0.0122020192111745
4,"tomorrow",0.0114167854768261
4,"love",0.00864356085109738
4,"game",0.00846266875824791
4,"prospects",0.00843849361388756
4,"school",0.00835914014679574
4,"business",0.00830969321116207
4,"head",0.00694926644877704
5,"lol",0.0314812605544314
5,"good",0.027313649689467
5,"get",0.020966534261982
5,"need",0.0197012635740719
5,"work",0.0126423452844101
5,"one",0.0119377686768127
5,"yeah",0.0107302344194448
5,"rt",0.00982064126897064
5,"can",0.00914961216312693
5,"now",0.00904599093899576
6,"great",0.0261351346945598
6,"going",0.0175342371887162
6,"rt",0.0172954743574758
6,"tonight",0.0149153723118075
6,"just",0.0137452306715809
6,"days",0.00900452329663231
6,"wow",0.008565296281234
6,"tweet",0.00855368585935977
6,"lmao",0.00833438711945782
6,"hate",0.00790642733685723
7,"ca",0.0377908843129539
7,"sacramento",0.0337328027759924
7,"jobs",0.0319573921035717
7,"hiring",0.0309428717193314
7,"shjobs",0.0304356115272112
7,"california",0.0106524012998466
7,"tinyurl.com",0.00938807653644102
7,"marketing",0.00862342326604317
7,"drive",0.00735527094364163
7,"rt",0.00671616295086826
8,"time",0.0302456522196904
8,"twitpic.com",0.0209086751727139
8,"rt",0.0135034900500248
8,"best",0.0127612338638291
8,"hey",0.0119390780003279
8,"lol",0.0111780753774839
8,"like",0.0109710353915558
8,"day",0.00969112460231628
8,"weekend",0.00820365032726266
8,"social",0.00638061693331492
9,"like",0.0307968855458475
9,"just",0.0284998936423175
9,"u",0.0229978966475653
9,"want",0.0179017425411018
9,"know",0.0158466313357065
9,"get",0.0151312878755866
9,"really",0.0116616546558166
9,"still",0.0108776007374883
9,"can",0.0103614959170187
9,"lol",0.0102188104550961
