"topic","term","beta"
1,"one",0.0131936696561984
1,"say",0.0122399579286906
1,"d",0.0112428390133874
1,"man",0.0107686213676811
1,"rt",0.0100245036444659
1,"game",0.00852376428738134
1,"ecu",0.00737079514828849
1,"thing",0.00689076767763735
1,"get",0.00683019325968438
1,"now",0.00649159818519024
2,"back",0.0203411232460482
2,"raleigh",0.0197444048471972
2,"us",0.0158128206134495
2,"check",0.0124230987471168
2,"gonna",0.0122702077944268
2,"right",0.00966710826842849
2,"tinyurl.com",0.00917225728164871
2,"just",0.00859981447494472
2,"school",0.00838720835400203
2,"nc",0.00723068494356543
3,"see",0.0247874044968572
3,"think",0.0247649793716621
3,"get",0.0118828662558699
3,"sure",0.0107977343416732
3,"yeah",0.00991637161700998
3,"got",0.00984722446600527
3,"know",0.00883012876635204
3,"cool",0.00881859887519859
3,"tinyurl.com",0.00793576740131295
3,"good",0.00734688268975365
4,"now",0.0227577460533242
4,"u",0.0172548263979631
4,"rt",0.0149969439695826
4,"nc",0.0115472530356871
4,"just",0.0109227931953113
4,"new",0.0106960493765069
4,"soon",0.0092982807517938
4,"lol",0.00924387754980407
4,"like",0.00907731660443375
4,"ur",0.00893847706730045
5,"day",0.0282708703929646
5,"rt",0.0165709834494599
5,"work",0.0153827560504052
5,"need",0.0135109539491382
5,"great",0.0112261435053146
5,"way",0.0108211974796392
5,"yes",0.0102109646750875
5,"well",0.00930777651222446
5,"oh",0.00920107065294663
5,"time",0.00842907021819633
6,"getting",0.0130841077345603
6,"home",0.0123516235885909
6,"rt",0.00998257042380436
6,"weekend",0.00974939016732384
6,"dinner",0.00804591370319716
6,"shit",0.00748453513040491
6,"want",0.00732141607603274
6,"like",0.00730481852762697
6,"one",0.00683011171310415
6,"go",0.00648783850090295
7,"rt",0.024648085485043
7,"new",0.0147971908446304
7,"show",0.0124744855367844
7,"free",0.0102869413209601
7,"season",0.00970964539775709
7,"tomorrow",0.0088147440832323
7,"come",0.008221804974317
7,"can",0.00809809180057825
7,"is.gd",0.00762805115595201
7,"blog",0.00762578805121308
8,"morning",0.0139338359564768
8,"great",0.0126397490788046
8,"night",0.0122336348577456
8,"watching",0.012008207912749
8,"ever",0.0118968242131858
8,"love",0.0110292670691736
8,"good",0.010062366236623
8,"happy",0.00983027232542349
8,"like",0.00967996695252472
8,"got",0.00848456326688891
9,"going",0.0210992724445818
9,"week",0.0178200524069447
9,"twitter",0.0177472825800476
9,"awesome",0.0155468593145624
9,"still",0.0111087665634428
9,"looking",0.0101877419073359
9,"rt",0.00950039731327514
9,"people",0.00709267895190691
9,"ok",0.00628811699803271
9,"just",0.00623786706162093
