"topic","term","beta"
1,"waiting",0.181818181818182
1,"today",0.0909090909090909
1,"hot",0.0909090909090909
1,"salinas",0.0909090909090909
1,"wow",0.0909090909090909
1,"listened",0.0909090909090909
1,"looking",0.0909090909090909
1,"now",0.0909090909090909
1,"ok",0.0909090909090909
1,"shovel",0.0909090909090909
2,"yes",0.153846153846154
2,"can",0.0769230769230769
2,"come",0.0769230769230769
2,"boxes",0.0769230769230769
2,"help",0.0769230769230769
2,"packing",0.0769230769230769
2,"still",0.0769230769230769
2,"anyone",0.0769230769230769
2,"get",0.0769230769230769
2,"printer",0.0769230769230769
2,"working",0.0769230769230769
2,"zebra",0.0769230769230769
3,"gmail",0.0833333333333333
3,"just",0.0833333333333333
3,"know",0.0833333333333333
3,"packing",0.0833333333333333
3,"crash",0.0833333333333333
3,"hoping",0.0833333333333333
3,"servers",0.0833333333333333
3,"updating",0.0833333333333333
3,"hanging",0.0833333333333333
3,"house",0.0833333333333333
3,"marshillcoffee",0.0833333333333333
3,"wife",0.0833333333333333
4,"abby",0.181818181818182
4,"night",0.0909090909090909
4,"date",0.0909090909090909
4,"daughter",0.0909090909090909
4,"hill",0.0909090909090909
4,"mars",0.0909090909090909
4,"way",0.0909090909090909
4,"beat",0.0909090909090909
4,"chess",0.0909090909090909
4,"trying",0.0909090909090909
5,"tonight",0.166666666666667
5,"can",0.0833333333333333
5,"abc",0.0833333333333333
5,"excited",0.0833333333333333
5,"nascar",0.0833333333333333
5,"race",0.0833333333333333
5,"watch",0.0833333333333333
5,"four",0.0833333333333333
5,"go",0.0833333333333333
5,"hour",0.0833333333333333
5,"one",0.0833333333333333
6,"back",0.181818181818182
6,"night",0.0909090909090909
6,"can",0.0909090909090909
6,"kids",0.0909090909090909
6,"school",0.0909090909090909
6,"already",0.0909090909090909
6,"come",0.0909090909090909
6,"hurry",0.0909090909090909
6,"leave",0.0909090909090909
6,"wait",0.0909090909090909
7,"early",0.0625
7,"fixing",0.0625
7,"last",0.0625
7,"night",0.0625
7,"outage",0.0625
7,"problems",0.0625
7,"monterey",0.0625
7,"day",0.0625
7,"beautiful",0.0625
7,"bowl",0.0625
7,"bread",0.0625
7,"chowder",0.0625
7,"clam",0.0625
7,"enjoying",0.0625
7,"lunch",0.0625
7,"warf",0.0625
8,"today",0.0909090909090909
8,"awake",0.0909090909090909
8,"can",0.0909090909090909
8,"conference",0.0909090909090909
8,"day",0.0909090909090909
8,"hope",0.0909090909090909
8,"least",0.0909090909090909
8,"loud",0.0909090909090909
8,"pti",0.0909090909090909
8,"snore",0.0909090909090909
8,"stay",0.0909090909090909
9,"today",0.153846153846154
9,"heading",0.153846153846154
9,"give",0.0769230769230769
9,"lord",0.0769230769230769
9,"need",0.0769230769230769
9,"strength",0.0769230769230769
9,"wisdom",0.0769230769230769
9,"hours",0.0769230769230769
9,"monterey",0.0769230769230769
9,"funeral",0.0769230769230769
9,"galt",0.0769230769230769
