"topic","term","beta"
1,"best",0.011268562357735
1,"never",0.00968052089617775
1,"ever",0.00808070511006582
1,"rt",0.00767476507732352
1,"happy",0.00711896177916169
1,"just",0.00707705209720489
1,"tinyurl.com",0.00689003606165919
1,"stop",0.00597566629981225
1,"giants",0.00537852677819652
1,"kanye",0.00537809967129798
2,"love",0.0258051845577031
2,"rt",0.0111000850154501
2,"just",0.0103713769403502
2,"yes",0.00957365132994574
2,"like",0.00855339446040008
2,"next",0.00844311842646987
2,"weekend",0.00821933566742306
2,"things",0.00797929724483697
2,"look",0.00753427744716943
2,"d",0.00719941744772994
3,"get",0.0262158280421455
3,"now",0.0241120974846805
3,"good",0.0167591518385049
3,"going",0.0144339241049857
3,"just",0.0119046912873046
3,"u",0.011857812072036
3,"know",0.0115962913319674
3,"think",0.0111758930353739
3,"work",0.0111001241326555
3,"really",0.0105596203649717
4,"rt",0.0179658130832831
4,"p",0.00751008330524972
4,"always",0.00627880105054967
4,"fb",0.00607879296933951
4,"looks",0.00594243676310908
4,"found",0.00566213316672028
4,"can",0.00560781060403633
4,"read",0.00557187557438357
4,"sorry",0.00543784721188437
4,"like",0.00518462529399815
5,"rt",0.0169605613286586
5,"san",0.0159136526954741
5,"francisco",0.0124520402158912
5,"go",0.0117277877218552
5,"game",0.0103786440456477
5,"big",0.0100772240057517
5,"tomorrow",0.00926220054949008
5,"day",0.00777728602115897
5,"tonight",0.00737881100249947
5,"open",0.0068447349583162
6,"dealnay.com",0.0255215977315284
6,"save",0.0240096547379544
6,"watch",0.00882265912155291
6,"coming",0.0065807431904613
6,"itunes",0.00641063829275357
6,"deal",0.00573796033185028
6,"car",0.00538234628831375
6,"album",0.00514060617782928
6,"offer",0.00447535126097891
6,"twitpic.com",0.00436739872499558
7,"one",0.0270239419701267
7,"twitter",0.0174127122796091
7,"thanks",0.0172942199697676
7,"rt",0.0117566978698433
7,"just",0.00876591884987623
7,"looking",0.00840581339297239
7,"lol",0.00828685251908275
7,"can",0.00790079405149909
7,"know",0.00747833628814057
7,"news",0.00716060017173512
8,"new",0.0486453473464389
8,"twitpic.com",0.0121019963437798
8,"night",0.0114130345815389
8,"rt",0.00958134268782948
8,"post",0.00738671347374143
8,"video",0.00678612154148119
8,"via",0.00655968865238073
8,"photo",0.00601933286938767
8,"last",0.00549288167255568
8,"star",0.00537020157466174
9,"jobs",0.0138515546017252
9,"ca",0.0136635846152128
9,"blog",0.0124410054325331
9,"hiring",0.00908516865006222
9,"shjobs",0.00877477911068714
9,"full",0.0081255768908934
9,"san",0.00807309802945059
9,"n",0.00707961924417823
9,"ow.ly",0.00638817152248147
9,"health",0.00589163740288994
