"topic","term","beta"
1,"good",0.021811795121129
1,"just",0.0209791677582843
1,"beach",0.0170300839084486
1,"got",0.0124920320346532
1,"today",0.0112055574992594
1,"class",0.0099342156132617
1,"day",0.0099342156132617
1,"stuff",0.0099342156132617
1,"lol",0.0099342156132617
1,"now",0.00875338769274653
2,"new",0.0286781099965437
2,"blog",0.0251745663820268
2,"post",0.0183742884270865
2,"bengals",0.0141606916315363
2,"rt",0.0119426713835317
2,"tinyurl.com",0.0110138721103673
2,"just",0.01038938088859
2,"one",0.00943942825216755
2,"world",0.00918463929093087
2,"really",0.00803218516798181
3,"now",0.0134766503208487
3,"great",0.012417621609137
3,"powered",0.0108654189079949
3,"sun",0.0108654189079949
3,"never",0.0108654189066483
3,"make",0.0107302272682896
3,"right",0.0103886985095089
3,"announces",0.00931321620685278
3,"electric",0.00931321620685278
3,"solarcity",0.00931321620685278
4,"just",0.0244352302472099
4,"now",0.0181971059397078
4,"time",0.0169880294292255
4,"go",0.016875465683587
4,"done",0.0130600085882633
4,"got",0.0130238882477714
4,"one",0.011327362504238
4,"day",0.0112641410250926
4,"today",0.0105896963549718
4,"right",0.0102196629874283
5,"best",0.0182920551338726
5,"year",0.0168488934606326
5,"can",0.0162500154010694
5,"thing",0.015317570704219
5,"d",0.0137856546046784
5,"get",0.0130979871141037
5,"oh",0.0122540551906996
5,"work",0.0107222994929533
5,"man",0.0107222908240485
5,"first",0.0107193158614102
6,"get",0.0249428148701879
6,"free",0.014179480660093
6,"tcot",0.014179480660093
6,"tedguyver",0.014179480660093
6,"solar",0.0124069062602913
6,"can",0.00946229109932506
6,"find",0.00886217541255814
6,"anyone",0.00886217541255814
6,"morning",0.00880644956410796
6,"today",0.00834559040887002
7,"just",0.0186724600422167
7,"can",0.0127665543452516
7,"top",0.0118826133418113
7,"rt",0.0118826133418113
7,"become",0.0118826133418113
7,"victim",0.010185097150124
7,"chuck",0.010185097150124
7,"watch",0.010133441610856
7,"pantry",0.00841766557028021
7,"thing",0.00679006476674932
7,"teams",0.00679006476674932
7,"ur",0.00679006476674932
7,"really",0.00679006476674932
7,"got",0.00679006476674932
7,"counties",0.00679006476674932
7,"luis",0.00679006476674932
7,"obispo",0.00679006476674932
7,"san",0.00679006476674932
7,"bay",0.00679006476674932
7,"morro",0.00679006476674932
7,"like",0.00679006476674932
8,"just",0.030896655935244
8,"140army",0.0289369280431986
8,"140army.com",0.0289369280431985
8,"purchased",0.0130216176194394
8,"still",0.0114558974397091
8,"news",0.0101279248151195
8,"won",0.0101279248151195
8,"attacked",0.0101279248151195
8,"well",0.0086810784129596
8,"hope",0.00827894846064168
9,"going",0.0184602240881652
9,"awesome",0.0169218720808181
9,"around",0.0107684640501124
9,"made",0.0107684539298852
9,"good",0.00923011204408262
9,"dinner",0.00923011204408262
9,"tonight",0.00923011204408262
9,"let",0.00923011204408262
9,"u",0.00923011204408262
9,"start",0.00919252460471777
