"topic","term","beta"
1,"go",0.0260189868845394
1,"love",0.0208914645585979
1,"need",0.00930617772021293
1,"ping.fm",0.00905667192837404
1,"first",0.00892841229701541
1,"yes",0.00754722660697836
1,"still",0.00704815069934193
1,"just",0.00654765129815768
1,"make",0.00602443628374367
1,"house",0.00593797954711259
2,"get",0.0218542367534299
2,"good",0.0118817138040135
2,"back",0.0118114172813318
2,"blog",0.0101267079008308
2,"ping.fm",0.0100460113191793
2,"rt",0.00939567041148133
2,"hehe",0.00795672732353126
2,"goleta",0.00720079474626256
2,"come",0.00678385596280474
2,"fire",0.00578647406202554
3,"coupon",0.0204976825307721
3,"get",0.0177022161032172
3,"now",0.0160498625048339
3,"best",0.0131867681626996
3,"happy",0.0114787022106878
3,"lol",0.0110114431344478
3,"birthday",0.0106924099634294
3,"new",0.0099388755201925
3,"code",0.00983856294094579
3,"rt",0.00838312332098731
4,"santa",0.0322588152810595
4,"ca",0.0199043753861857
4,"going",0.0179495832860201
4,"public",0.015786228754561
4,"maria",0.0144135132106862
4,"barbara",0.0137269701367461
4,"f",0.0130407976668113
4,"u",0.012499106629069
4,"eu.htm",0.0123544398948739
4,"pressure",0.0123544398948739
4,"s2z.us",0.0123544398948739
4,"winds",0.0123544398948739
5,"new",0.0261328817383453
5,"like",0.0136976682327531
5,"big",0.0122767003715076
5,"ow.ly",0.0116327567685859
5,"day",0.0106386619376908
5,"technology",0.00722159841367696
5,"ucsb",0.00722159837432232
5,"today",0.00715574553746416
5,"time",0.00715535390670592
5,"just",0.00675348256726676
6,"que",0.0257172320811186
6,"e",0.0198621821259682
6,"de",0.0162111598783899
6,"eu",0.0138026991378747
6,"thanks",0.0105877319753954
6,"o",0.00959498083837401
6,"é",0.00954070588763266
6,"mobsters2",0.00944395204170376
6,"two",0.00944394623925863
6,"um",0.00852573146672488
7,"just",0.0192420041684319
7,"u",0.0190677518211942
7,"even",0.00894701093719412
7,"rt",0.00824220410769986
7,"hey",0.00770064098723969
7,"go",0.00769622239698263
7,"need",0.00746920684265015
7,"havenlamoureux",0.00700058271567249
7,"another",0.00700058271567249
7,"pretty",0.00700058271567249
8,"cartoon",0.0184898683851026
8,"deal",0.015962323506103
8,"o",0.0128406872922192
8,"de",0.0123416944829009
8,"funny",0.0117591813234999
8,"tweet",0.0100853827555105
8,"west",0.0100679043174397
8,"joe",0.00917133643513632
8,"wilson",0.0084044856295921
8,"great",0.00831833153286549
9,"people",0.0272724556155485
9,"rt",0.0159029037049879
9,"oh",0.00951791807685988
9,"work",0.00929972607790303
9,"miss",0.00843672666770186
9,"sorry",0.00773272195582733
9,"tcot",0.00723541026353462
9,"today",0.00701291828697562
9,"d",0.0069609931815373
9,"govt",0.00623370514393168
