"topic","term","beta"
1,"ur",0.0137519053418261
1,"know",0.0137519053418261
1,"rt",0.0137519053418261
1,"awesome",0.0110015242734609
1,"took",0.00825114320509568
1,"part",0.00825114320509568
1,"next",0.00825114320509119
1,"back",0.00825114320507637
1,"alive",0.00825114316444676
1,"day",0.00803525088622488
2,"jrnygirl",0.0222094938505377
2,"rt",0.0222094938505377
2,"something",0.0138809336565861
2,"thanks",0.0138809336565861
2,"think",0.0111047469252689
2,"fed",0.0111047469252689
2,"lukewarm",0.0111047469252689
2,"sierra",0.0111043255031301
2,"club",0.0111042999891928
2,"hope",0.00832856019395165
2,"just",0.00832856019395165
2,"one",0.00832856019395165
2,"cat",0.00832856019395165
2,"can",0.00832856019395165
2,"vote",0.00832856019395165
2,"well",0.00832856019395165
2,"music",0.00832856019395165
2,"please",0.00832856019395165
2,"sarakamin",0.00832856019395165
3,"que",0.0896372439570833
3,"en",0.0780320331630468
3,"argentina",0.0647134871804287
3,"pienso",0.0600910952389695
3,"yo",0.0600910952389695
3,"muchos",0.0554687032975103
3,"de",0.039991417004722
3,"son",0.0277343516487552
3,"información",0.023111959707296
3,"para",0.0208007637365664
4,"kaaslaw",0.0191275264096602
4,"mine",0.0159396054286611
4,"w",0.0159396054286611
4,"say",0.0159395992755016
4,"twitpic.com",0.0127516843429289
4,"morning",0.0127515539489263
4,"thank",0.00956376325719669
4,"makes",0.00956376325719669
4,"now",0.00956376325719669
4,"rt",0.00956376325719669
4,"ow.ly",0.00956376325719669
4,"like",0.00956376325719669
5,"eft",0.0119593087130168
5,"good",0.0119593087130168
5,"u",0.0114540264335362
5,"t",0.00896948153476263
5,"rt",0.00896948153476263
5,"y",0.00896948153476263
5,"mi",0.00896948153476263
5,"much",0.00896948153476263
5,"d",0.00896948153476263
5,"eftsejual",0.00896948153476263
5,"serenitythrueft",0.00896948153476263
5,"post",0.00896948153476263
6,"santa",0.101395346805185
6,"fe",0.0981245291616746
6,"blog",0.0327081751724537
6,"county",0.0261640843650478
6,"property",0.0163540881943848
6,"tonight",0.0136773349923491
6,"el",0.013258769060639
6,"seen",0.0130832705555078
6,"assessor",0.00981245291663086
6,"edgewood",0.00981245291663086
6,"season",0.00981245291663086
7,"time",0.0136993439556988
7,"oh",0.0134616066159294
7,"can",0.0110847195090637
7,"lol",0.0110828502532647
7,"stop",0.00831353963179777
7,"rt",0.00831353963179777
7,"play",0.00831353963179777
7,"club",0.00831353963179777
7,"sierra",0.00831353963179777
7,"darlin",0.00831353963179777
8,"la",0.0827008933043416
8,"de",0.0548692403454015
8,"lt10digital_",0.054752521649596
8,"en",0.0376931140300137
8,"el",0.0355582609094353
8,"y",0.0251501561715072
8,"un",0.0164312056269528
8,"se",0.0164312056269305
8,"del",0.0148667957800085
8,"que",0.0105688082103634
9,"now",0.0166440295065012
9,"right",0.0166440295065012
9,"flu",0.013870024588751
9,"jrnygirl",0.0110960196710008
9,"rt",0.0110960196710008
9,"get",0.0110960196710008
9,"well",0.0110960196710008
9,"just",0.0107005974511466
9,"city",0.0083220147532506
9,"think",0.0083220147532506
9,"got",0.0083220147532506
9,"green",0.0083220147532506
9,"getting",0.0083220147532506
9,"sick",0.0083220147532506
9,"really",0.0083220147532506
9,"h1n1",0.0083220147532506
9,"meeting",0.0083220147532506
9,"available",0.0083220147532506
9,"land",0.0083220147532506
9,"video",0.0083220147532506
9,"back",0.0083220147532506
9,"watch",0.0083220147532506
9,"october",0.0083220147532506
