"topic","term","beta"
1,"lnk.ms",0.15
1,"just",0.05
1,"0cxrq",0.05
1,"boutta",0.05
1,"cookie",0.05
1,"monstasz",0.05
1,"paqe",0.05
1,"0f1xv",0.05
1,"hit",0.05
1,"hmph",0.05
1,"miqht",0.05
1,"sheetsz",0.05
1,"soon",0.05
1,"0fpmm",0.05
1,"madd",0.05
1,"sick",0.05
1,"woke",0.05
1,"wtf",0.05
2,"lnk.ms",0.16
2,"new",0.08
2,"webcam",0.08
2,"233l5",0.04
2,"picture",0.04
2,"23kdd",0.04
2,"default",0.04
2,"hella",0.04
2,"last",0.04
2,"nite",0.04
2,"tired",0.04
2,"244zk",0.04
2,"deadassz",0.04
2,"jay",0.04
2,"like",0.04
2,"lmfaoo",0.04
2,"mean",0.04
2,"whoresz",0.04
2,"24mpn",0.04
2,"flowww",0.04
3,"lnk.ms",0.0967741840240619
3,"alwaysz",0.0967741840240619
3,"hear",0.0967741840240619
3,"ll",0.0967741840240619
3,"lt",0.0967741840240619
3,"needed",0.0967741840240619
3,"thatsz",0.0967741840240619
3,"yoursz",0.0967741840240619
3,"0ym1w",0.032258061341354
3,"0zpsl",0.032258061341354
3,"anyone",0.032258061341354
3,"meee",0.032258061341354
3,"w",0.032258061341354
3,"wanna",0.032258061341354
3,"webcammmm",0.032258061341354
4,"lnk.ms",0.136363636363636
4,"buddiesz",0.0909090909090909
4,"haaa",0.0909090909090909
4,"lrb",0.0909090909090909
4,"pill",0.0909090909090909
4,"poppin",0.0909090909090909
4,"sjb",0.0909090909090909
4,"0zyh0",0.0454545454545454
4,"21d0q",0.0454545454545454
4,"jayy",0.0454545454545454
4,"wasz",0.0454545454545454
4,"23tg1",0.0454545454545454
4,"knew",0.0454545454545454
4,"uqh",0.0454545454545454
5,"lnk.ms",0.0714285714285714
5,"boutta",0.0714285714285714
5,"jay",0.0714285714285714
5,"24q0g",0.0714285714285714
5,"comfy",0.0714285714285714
5,"count",0.0714285714285714
5,"crack",0.0714285714285714
5,"iloveyatho",0.0714285714285714
5,"livinq",0.0714285714285714
5,"lmfao",0.0714285714285714
5,"mad",0.0714285714285714
5,"room",0.0714285714285714
5,"sheep",0.0714285714285714
5,"upppp",0.0714285714285714
6,"lnk.ms",0.0833333333333333
6,"21xnd",0.0416666666666667
6,"back",0.0416666666666667
6,"bed",0.0416666666666667
6,"enouqh",0.0416666666666667
6,"havent",0.0416666666666667
6,"iludimples",0.0416666666666667
6,"qoinq",0.0416666666666667
6,"qotten",0.0416666666666667
6,"sleep",0.0416666666666667
6,"tired",0.0416666666666667
6,"jay",0.0416666666666667
6,"hit",0.0416666666666667
6,"sheetsz",0.0416666666666667
6,"24pqb",0.0416666666666667
6,"answer",0.0416666666666667
6,"boutsz",0.0416666666666667
6,"cause",0.0416666666666667
6,"dnt",0.0416666666666667
6,"dumb",0.0416666666666667
6,"knocked",0.0416666666666667
6,"m",0.0416666666666667
6,"sz",0.0416666666666667
7,"iloveyoudimples",0.500000762740946
7,"0zy7w",0.499999237259054
7,"lnk.ms",3.00028259584171e-21
7,"hear",1.5064198621561e-22
7,"thatsz",1.14139438866788e-22
7,"lt",9.66832014236065e-23
7,"needed",9.52835612764237e-23
7,"yoursz",9.14107469781237e-23
7,"ll",6.19750827540439e-23
7,"alwaysz",4.9877280293778e-23
8,"anymore",0.0869565217391304
8,"lnk.ms",0.0869565217391304
8,"1zsqr",0.0434782608695652
8,"can",0.0434782608695652
8,"dram",0.0434782608695652
8,"everyone",0.0434782608695652
8,"just",0.0434782608695652
8,"life",0.0434782608695652
8,"losinq",0.0434782608695652
8,"much",0.0434782608695652
8,"people",0.0434782608695652
8,"qo",0.0434782608695652
8,"soo",0.0434782608695652
8,"stop",0.0434782608695652
8,"t",0.0434782608695652
8,"talkinq",0.0434782608695652
8,"new",0.0434782608695652
8,"default",0.0434782608695652
8,"0djpl",0.0434782608695652
8,"idfk",0.0434782608695652
8,"wowww",0.0434782608695652
9,"lnk.ms",0.0833333333333333
9,"w",0.0833333333333333
9,"pill",0.0833333333333333
9,"poppin",0.0833333333333333
9,"22gvd",0.0833333333333333
9,"buddy",0.0833333333333333
9,"dont",0.0833333333333333
9,"im",0.0833333333333333
9,"knowsz",0.0833333333333333
9,"phone",0.0833333333333333
9,"sinqinq",0.0833333333333333
9,"think",0.0833333333333333
