"topic","term","beta"
1,"xd",0.0555555555555556
1,"much",0.037037037037037
1,"got",0.037037037037037
1,"cna",0.037037037037037
1,"job",0.037037037037037
1,"eyes",0.0185185185185185
1,"may",0.0185185185185185
1,"prize",0.0185185185185185
1,"think",0.0185185185185185
1,"30pm",0.0185185185185185
1,"interview",0.0185185185185185
1,"position",0.0185185185185185
1,"tomorrow",0.0185185185185185
1,"indiana",0.0185185185185185
1,"nursing",0.0185185185185185
1,"scholarship",0.0185185185185185
1,"today",0.0185185185185185
1,"coming",0.0185185185185185
1,"fun",0.0185185185185185
1,"first",0.0185185185185185
1,"friends",0.0185185185185185
1,"miss",0.0185185185185185
1,"pictures",0.0185185185185185
1,"scream",0.0185185185185185
1,"swamp",0.0185185185185185
1,"text",0.0185185185185185
1,"wanna",0.0185185185185185
1,"play",0.0185185185185185
1,"tennessee",0.0185185185185185
1,"anything",0.0185185185185185
1,"dirty",0.0185185185185185
1,"facemask",0.0185185185185185
1,"hide",0.0185185185185185
1,"playing",0.0185185185185185
1,"try",0.0185185185185185
1,"give",0.0185185185185185
1,"joedooder",0.0185185185185185
1,"sweater",0.0185185185185185
1,"vest",0.0185185185185185
1,"awfully",0.0185185185185185
1,"chainlift",0.0185185185185185
1,"chipper",0.0185185185185185
1,"college",0.0185185185185185
1,"football",0.0185185185185185
1,"heard",0.0185185185185185
1,"never",0.0185185185185185
1,"someone",0.0185185185185185
1,"talk",0.0185185185185185
2,"well",0.075
2,"offensive",0.05
2,"today",0.05
2,"play",0.05
2,"can",0.05
2,"just",0.025
2,"understand",0.025
2,"wishes",0.025
2,"definitely",0.025
2,"feeling",0.025
2,"back",0.025
2,"drop",0.025
2,"deonte",0.025
2,"due",0.025
2,"gator_sports",0.025
2,"good",0.025
2,"hamstring",0.025
2,"injury",0.025
2,"receiver",0.025
2,"rt",0.025
2,"tennessee",0.025
2,"thompson",0.025
2,"vs",0.025
2,"wide",0.025
2,"calling",0.025
2,"mullen",0.025
2,"bomb",0.025
2,"cover",0.025
2,"least",0.025
2,"please",0.025
2,"pleeeeease",0.025
2,"spread",0.025
2,"nbfke",0.025
2,"poopies",0.025
3,"go",0.0512820512820513
3,"day",0.0512820512820513
3,"long",0.0512820512820513
3,"need",0.0256410256410256
3,"extremely",0.0256410256410256
3,"tired",0.0256410256410256
3,"interview",0.0256410256410256
3,"going",0.0256410256410256
3,"definitely",0.0256410256410256
3,"luck",0.0256410256410256
3,"time",0.0256410256410256
3,"wish",0.0256410256410256
3,"hard",0.0256410256410256
3,"bad",0.0256410256410256
3,"first",0.0256410256410256
3,"florida",0.0256410256410256
3,"issue",0.0256410256410256
3,"real",0.0256410256410256
3,"waiting",0.0256410256410256
3,"wanting",0.0256410256410256
3,"good",0.0256410256410256
3,"play",0.0256410256410256
3,"rt",0.0256410256410256
3,"ass",0.0256410256410256
3,"beat",0.0256410256410256
3,"gators",0.0256410256410256
3,"pompous",0.0256410256410256
3,"submission",0.0256410256410256
3,"call",0.0256410256410256
3,"espn4d",0.0256410256410256
3,"fourth",0.0256410256410256
3,"predictable",0.0256410256410256
3,"run",0.0256410256410256
3,"still",0.0256410256410256
3,"tebow",0.0256410256410256
3,"worked",0.0256410256410256
4,"love",0.0526315789473684
4,"people",0.0526315789473684
4,"fsu",0.0350877192982456
4,"hope",0.0350877192982456
4,"proud",0.0350877192982456
4,"bite",0.0350877192982456
4,"cards",0.0350877192982456
4,"jvgfy",0.0350877192982456
4,"recipe",0.0350877192982456
4,"start",0.0350877192982456
5,"work",0.0465116279069768
5,"105ies",0.0465116279069768
5,"branches",0.0465116279069768
5,"gold",0.0465116279069768
5,"journal",0.0465116279069768
5,"little",0.0465116279069768
5,"notebook",0.0465116279069768
5,"just",0.0232558139534884
5,"3am",0.0232558139534884
5,"bed",0.0232558139534884
5,"chocolate",0.0232558139534884
5,"got",0.0232558139534884
5,"lay",0.0232558139534884
5,"pillow",0.0232558139534884
5,"roomie",0.0232558139534884
5,"weekend",0.0232558139534884
5,"wild",0.0232558139534884
5,"bullshit",0.0232558139534884
5,"catagory",0.0232558139534884
5,"drama",0.0232558139534884
5,"face",0.0232558139534884
5,"fucking",0.0232558139534884
5,"illness",0.0232558139534884
5,"sick",0.0232558139534884
5,"slap",0.0232558139534884
5,"notecard",0.0232558139534884
5,"pretty",0.0232558139534884
5,"red",0.0232558139534884
5,"set",0.0232558139534884
5,"trillium",0.0232558139534884
5,"vxuas",0.0232558139534884
5,"game",0.0232558139534884
5,"good",0.0232558139534884
5,"tebow",0.0232558139534884
5,"take",0.0232558139534884
5,"trying",0.0232558139534884
6,"drink",0.0476190476190476
6,"four",0.0476190476190476
6,"hours",0.0476190476190476
6,"like",0.0476190476190476
6,"look",0.0476190476190476
6,"need",0.0476190476190476
6,"past",0.0476190476190476
6,"times",0.0476190476190476
6,"told",0.0476190476190476
6,"coming",0.0476190476190476
7,"www.territaylordesign.etsy.com",0.140625
7,"paper",0.109375
7,"makes",0.109375
7,"sassy",0.109375
7,"smile",0.109375
7,"sweet",0.109375
7,"e",0.0625
7,"buy",0.03125
7,"celebrate",0.03125
7,"f",0.03125
7,"get",0.03125
7,"notebooks",0.03125
7,"notepads",0.03125
7,"r",0.03125
7,"sales",0.03125
8,"check",0.0784313725490196
8,"code",0.0784313725490196
8,"coupon",0.0784313725490196
8,"online",0.0784313725490196
8,"paper",0.0784313725490196
8,"purchase",0.0784313725490196
8,"receive",0.0784313725490196
8,"shop",0.0784313725490196
8,"today",0.0784313725490196
8,"twitter",0.0784313725490196
8,"use",0.0784313725490196
8,"www.territaylordesign.etsy.com",0.0784313725490196
9,"majors",0.0740740740740741
9,"definitely",0.037037037037037
9,"animals",0.037037037037037
9,"excellent",0.037037037037037
9,"meterology",0.037037037037037
9,"party",0.037037037037037
9,"performance",0.037037037037037
9,"crazy",0.037037037037037
9,"fun",0.037037037037037
9,"game",0.037037037037037
9,"wouldve",0.037037037037037
