"topic","term","beta"
1,"like",0.0316427962859962
1,"just",0.0123842615350871
1,"think",0.0117872158586554
1,"way",0.00888872229422052
1,"year",0.00867593462554035
1,"want",0.00736305388294004
1,"see",0.00705614721120102
1,"night",0.00584797155308017
1,"call",0.00579212217189231
1,"old",0.00578395641702734
2,"rt",0.0163996841732364
2,"awesome",0.0162284396820194
2,"red",0.0126335302054714
2,"feel",0.012621727363652
2,"two",0.0118905592541884
2,"free",0.00895434078279135
2,"first",0.00893573005110467
2,"can",0.00802590022239112
2,"cont",0.00792478115831262
2,"tl.gd",0.00792470280329702
3,"hi",0.103476826972785
3,"day",0.0147193999781346
3,"u",0.0117187163253697
3,"going",0.0115520346911936
3,"see",0.0112325045080927
3,"friday",0.0102742948767005
3,"today",0.00992769546289577
3,"tomorrow",0.00928382574773086
3,"now",0.00897372090789067
3,"ch1c423",0.00880653846576889
4,"good",0.0244426544043363
4,"one",0.0241117583807348
4,"say",0.0141675733068962
4,"album",0.0116657367196852
4,"sure",0.0113127064580881
4,"pschlenker",0.0108340266464491
4,"tonight",0.0106886343111682
4,"facebook",0.00989812795403278
4,"like",0.00834174442715803
4,"brown",0.00833386665111846
5,"get",0.0245804163738543
5,"lol",0.0172375961541432
5,"night",0.01420069174279
5,"oh",0.0117578255177849
5,"well",0.0116798952981954
5,"still",0.0108399106826995
5,"yeah",0.00927150498018734
5,"back",0.00916908154397632
5,"come",0.00779890162854661
5,"day",0.00774678962016292
6,"xrl.us",0.025864192541246
6,"p",0.00974491907689164
6,"good",0.00938890799487309
6,"stuff",0.00812076597577339
6,"fresh",0.00812076597577339
6,"bfmwdm",0.00730868937819606
6,"thanks",0.00726385743018228
6,"wichita",0.00715991794855136
6,"air",0.00649661278062002
6,"breath",0.00649661278061872
7,"is.gd",0.0225452878305231
7,"really",0.012414707063501
7,"take",0.0122245439247706
7,"us",0.0116231462590443
7,"just",0.0106763510110554
7,"think",0.0102779376712248
7,"something",0.00947245788365873
7,"gonna",0.00893577580267684
7,"work",0.00857247858821011
7,"people",0.00851411659396241
8,"wedding",0.0286949216702916
8,"new",0.0235437906028017
8,"derby",0.0191299477779216
8,"nice",0.0176537309999321
8,"just",0.0154455560427584
8,"a.gd",0.0153951266061273
8,"now",0.0149215213045602
8,"sign",0.0117718397358805
8,"website",0.0110364881364767
8,"today",0.0103323367631686
9,"wichita",0.0515201337340576
9,"tinyurl.com",0.0312109001097387
9,"bike",0.021961197260373
9,"ks",0.0215041106358159
9,"jobs",0.0173721320552772
9,"great",0.0162263941472999
9,"morning",0.0133813150721828
9,"rt",0.0122424795199193
9,"kurioskurion",0.0118558403463064
9,"girl",0.0111173738822395
