"topic","term","beta"
1,"news",0.0291365619253381
1,"update",0.0291365619253381
1,"weekend",0.0218524214440036
1,"city",0.0218524214440036
1,"sign",0.014568280962669
1,"leaders",0.014568280962669
1,"pleasant",0.014568280962669
1,"valley",0.014568280962669
1,"community",0.014568280962669
1,"mama",0.014568280962669
2,"time",0.0187593341753753
2,"maristpoll",0.0150074673403003
2,"work",0.0150074673403003
2,"just",0.0146680006312265
2,"rt",0.0112556005052252
2,"idiot",0.0112556005052252
2,"fuck",0.0112556005052252
2,"life",0.0112556005052252
2,"buffalo",0.0112556005052252
2,"say",0.0112556005052252
3,"mary",0.0336135201361394
3,"beacon",0.0252101401021046
3,"says",0.0252101401021046
3,"know",0.0252101401021046
3,"rt",0.0210084500850872
3,"races",0.0168067600680697
3,"blonde",0.0168067600680697
3,"still",0.0126050700510523
3,"state",0.0126050700510523
3,"got",0.0126050700510523
3,"shirt",0.0126050700510523
4,"d",0.0206012421269375
4,"event",0.0206012421269375
4,"dnd",0.017658207537375
4,"just",0.0176582075373735
4,"day",0.0147151729478125
4,"world",0.0147151729478125
4,"get",0.0147151729478125
4,"good",0.01177213835825
4,"see",0.01177213835825
4,"players",0.01177213835825
5,"mats",0.158602150537635
5,"floor",0.150537634408602
5,"tinyurl.com",0.0537634408602151
5,"forsale",0.0537634408602151
5,"gray",0.0537634408602151
5,"ihave",0.0537634408602151
5,"pc",0.0537634408602151
5,"rear",0.0537634408602151
5,"weather",0.0537634408602151
5,"dodge",0.0483870967741936
6,"news",0.081242348218578
6,"update",0.0764633671255519
6,"look",0.0238948093708287
6,"taste",0.0238947989221036
6,"town",0.0191158476476254
6,"mount",0.0191158476476254
6,"saint",0.0191158476476254
6,"may",0.0191158476476254
6,"falls",0.0191158476476254
6,"wappinger",0.0191158476476254
6,"wappingers",0.0191158476476254
7,"park",0.0237766553273348
7,"hyde",0.0237766553273348
7,"got",0.0198138794394457
7,"man",0.0198138794394392
7,"land",0.0158511035515566
7,"oh",0.0158511035515566
7,"coloring",0.0158511035515566
7,"okay",0.0158511035515566
7,"re",0.0158511035515566
7,"make",0.0118883276636674
7,"just",0.0118883276636674
7,"right",0.0118883276636674
7,"hair",0.0118883276636674
7,"fixed",0.0118883276636674
8,"rt",0.028505488674477
8,"news",0.0213791165058577
8,"update",0.0213791165058577
8,"3wordsaftersex",0.0213791136149211
8,"town",0.0178159304215481
8,"marist",0.0178159304215481
8,"eastman",0.0142527443372385
8,"festival",0.0142527443372385
8,"park",0.0142527443372385
8,"poughkeepsie",0.0142527443372385
8,"reports",0.0142527443372385
8,"last",0.0142527443372385
9,"like",0.0145172069376262
9,"video",0.013722069610522
9,"rt",0.0125052535062068
9,"wait",0.0125052534026379
9,"late",0.0125045700716502
9,"make",0.00937894012965511
9,"day",0.00937894012965511
9,"us",0.00937894012965511
9,"checking",0.00937894012965511
9,"million",0.00937894012965511
