"topic","term","beta"
1,"otacon91",0.0301486391165082
1,"thefix",0.0241189112932065
1,"late",0.0180891834699049
1,"funny",0.0120594556466033
1,"party",0.0120594556466033
1,"coming",0.0120594556466033
1,"toga",0.0120594556466033
1,"try",0.0120594556466033
1,"today",0.0120594556466033
1,"town",0.0120594556466033
1,"get",0.0120594556466033
1,"house",0.0120594556466033
1,"sure",0.0120594556466033
1,"absolutely",0.0120594556466033
1,"smell",0.0120594556466033
1,"via",0.0120594556466033
1,"awesome",0.0120594556466033
1,"sorry",0.0120594556466033
1,"county",0.0120594556466033
1,"dangerousdaven",0.0120594556466033
1,"g",0.0120594556466033
1,"pa",0.0120594556466033
2,"michellebunny",0.0314960629891426
2,"best",0.031496062876081
2,"washing",0.0236220472418685
2,"just",0.0236220472418685
2,"video",0.015748031494579
2,"stepwise",0.015748031494579
2,"check",0.015748031494579
2,"jameerbs",0.015748031494579
2,"well",0.015748031494579
2,"friends",0.015748031494579
2,"ow.ly",0.015748031494579
2,"delainie",0.015748031494579
2,"way",0.015748031494579
2,"tote",0.015748031494579
2,"saturday",0.015748031494579
2,"qt8vz",0.015748031494579
3,"music",0.0388652930088917
3,"time",0.0259101953392611
3,"ow.ly",0.0259101953392611
3,"go",0.0194326465044459
3,"work",0.0194326465044459
3,"bradnoble",0.0194326465044459
3,"last",0.0194326465044459
3,"little",0.0194326443687893
3,"going",0.0157893792999726
3,"awards",0.0129550976696306
3,"mtv",0.0129550976696306
3,"video",0.0129550976696306
3,"jacksons",0.0129550976696306
3,"michael",0.0129550976696306
3,"cake",0.0129550976696306
3,"bamberella",0.0129550976696306
3,"gonna",0.0129550976696306
3,"anyone",0.0129550976696306
3,"close",0.0129550976696306
3,"free",0.0129550976696306
3,"jam",0.0129550976696306
3,"pearl",0.0129550976696306
3,"back",0.0129550976696306
3,"twitpic.com",0.0129550976696306
3,"first",0.0129550976696306
3,"said",0.0129550976696306
3,"review",0.0129550976696306
3,"live",0.0129550976696306
3,"plymouth",0.0129550976696306
4,"patrick",0.0349948535291245
4,"swayze",0.0349948535291245
4,"ow.ly",0.0193613359547116
4,"delainie",0.0174974267645623
4,"meatballs",0.0174974267645562
4,"chance",0.0174974267645522
4,"cloudy",0.0174974267645492
4,"blogged",0.017497426763741
4,"fringe",0.0116649511763748
4,"start",0.0116649511763748
4,"watchin",0.0116649511763748
4,"snow",0.0116649511763748
4,"mxmaione",0.0116649511763748
4,"say",0.0116649511763748
4,"get",0.0116649511763748
4,"dancing",0.0116649511763748
4,"dies",0.0116649511763748
4,"dirty",0.0116649511763748
4,"ghost",0.0116649511763748
4,"pattern",0.0116649511763748
4,"pinny",0.0116649511763748
4,"actor",0.0116649511763748
4,"hunky",0.0116649511763748
4,"days",0.0116649511763748
4,"really",0.0116649511763748
5,"happens",0.0264575719945019
5,"love",0.0255698702180422
5,"ow.ly",0.021902323927137
5,"last",0.0198431789958764
5,"well",0.0198431789958764
5,"radiobenolson",0.0198431789958764
5,"crazy",0.01984317848694
5,"right",0.0198431783357032
5,"alive",0.013228785997251
5,"bryce",0.013228785997251
5,"sheboygan",0.013228785997251
5,"crap",0.013228785997251
5,"holy",0.013228785997251
5,"movie",0.013228785997251
5,"check",0.013228785997251
5,"one",0.013228785997251
5,"share",0.013228785997251
5,"happy",0.013228785997251
5,"theaters",0.013228785997251
5,"including",0.013228785997251
