"topic","term","beta"
1,"us",0.0321160143875531
1,"theepicjourney",0.0294940707529623
1,"tonight",0.0275280123321884
1,"know",0.0229394889796367
1,"epic",0.0183520082214589
1,"hang",0.0183520082214589
1,"come",0.0183520082214589
1,"playing",0.0183520082214589
1,"get",0.0160597191437242
1,"day",0.0137640061660942
1,"2nd",0.0137640061660942
2,"u",0.0211045069617199
2,"work",0.0211045069617199
2,"see",0.01582838022129
2,"hate",0.01582838022129
2,"bn.htm",0.01582838022129
2,"isolated",0.01582838022129
2,"pm",0.01582838022129
2,"s4z.us",0.01582838022129
2,"scattered",0.01582838022129
2,"showers",0.01582838022129
2,"thunderstorms",0.01582838022129
3,"just",0.0563609182521729
3,"vote",0.0513886584405729
3,"voted",0.0434805864466186
3,"swift",0.0276708161256922
3,"taylor",0.0276708161256922
3,"in:aviate",0.0245756541438073
3,"sho",0.0225707520473132
3,"doors",0.0208649492904321
3,"6pm",0.0197648686611702
3,"study",0.015811894928967
4,"oh",0.0245120701338926
4,"debvafod",0.0245120701338926
4,"david",0.0232595685950869
4,"lol",0.0196096561071141
4,"ajharter",0.019609656107114
4,"asked",0.0147072420803355
4,"just",0.0146688354373522
4,"cheat",0.00980482805355702
4,"surprise",0.00980482805355702
4,"yes",0.00980482805355702
4,"said",0.00980482805355702
4,"like",0.00980482805355702
4,"done",0.00980482805355702
4,"hope",0.00980482805355702
4,"wish",0.00980482805355702
4,"better",0.00980482805355702
4,"big",0.00980482805355702
4,"much",0.00980482805355702
4,"nascar",0.00980482805355702
4,"tn",0.00980482805355702
4,"think",0.00980482805355702
4,"won",0.00980482805355702
4,"nfl",0.00980482805355702
4,"det",0.00980482805355702
4,"hou",0.00980482805355702
4,"min",0.00980482805355702
4,"photos",0.00980482805355702
4,"hollyrefod",0.00980482805355702
5,"class",0.0218152760674337
5,"wish",0.0130891656404602
5,"better",0.0130891656404602
5,"god's",0.0130891656404602
5,"much",0.0130891656404602
5,"best",0.0130891656404602
5,"story",0.0130891656397005
5,"butter",0.00872611042697349
5,"get",0.00872611042697349
5,"last",0.00872611042697349
5,"night",0.00872611042697349
5,"just",0.00872611042697349
5,"day",0.00872611042697349
5,"today",0.00872611042697349
5,"first",0.00872611042697349
5,"come",0.00872611042697349
5,"love",0.00872611042697349
5,"playing",0.00872611042697349
5,"going",0.00872611042697349
5,"see",0.00872611042697349
5,"experience",0.00872611042697349
5,"overwhelmed",0.00872611042697349
5,"presence",0.00872611042697349
5,"drive",0.00872611042697349
5,"new",0.00872611042697349
5,"thank",0.00872611042697349
5,"kitchen",0.00872611042697349
5,"ftsmith21",0.00872611042697349
5,"tour",0.00872611042697349
5,"right",0.00872611042697349
5,"now",0.00872611042697349
5,"haha",0.00872611042697349
5,"write",0.00872611042697349
5,"annemariefod",0.00872611042697349
5,"soon",0.00872611042697349
6,"time",0.0250946821777476
6,"rt",0.0182752668099674
6,"like",0.0182752668099674
6,"lol",0.0182752668099674
6,"_likeastar",0.0182752668099609
6,"made",0.0137064501074755
6,"days",0.0137064501074755
6,"took",0.0137064408812485
6,"just",0.0108842188826792
6,"makes",0.00913763340498368
6,"morning",0.00913763340498368
6,"beejiveim",0.00913763340498368
6,"winners",0.00913763340498368
6,"secret",0.00913763340498368
6,"get",0.00913763340498368
6,"car",0.00913763340498368
6,"one",0.00913763340498368
6,"productive",0.00913763340498368
6,"better",0.00913763340498368
6,"glad",0.00913763340498368
6,"well",0.00913763340498368
6,"now",0.00913763340498368
6,"home",0.00913763340498368
6,"across",0.00913763340498368
6,"whateverhappenedto",0.00913763340498368
6,"im",0.00913763340498368
6,"always",0.00913763340498368
7,"thanks",0.0247934286758447
7,"voting",0.0247934286758447
7,"god",0.0198347429406758
7,"just",0.0160679889333106
7,"away",0.0148760572055068
7,"epic",0.0135927528646922
7,"sin",0.00991737147033788
7,"day",0.00991737147033788
7,"nice",0.00991737147033788
7,"make",0.00991737147033788
7,"try",0.00991737147033788
7,"library",0.00991737147033788
7,"life",0.00991737147033788
7,"rest",0.00991737147033788
7,"theepicjourney",0.00991737147033788
7,"hearing",0.00991737147033788
7,"impaired",0.00991737147033788
7,"may",0.00991737147033788
7,"girl",0.00991737147033788
7,"nfl",0.00991737147033788
7,"cin",0.00991737147033788
7,"gb",0.00991737147033788
7,"4th",0.00991737147033788
7,"jets",0.00991737147033788
7,"patriots",0.00991737147033788
8,"lake",0.0607902500949772
8,"salt",0.0607902500949771
8,"f",0.0607860291873292
8,"ae.htm",0.0574130139785896
8,"city",0.0574130139785896
8,"international",0.0574130139785896
8,"s2z.us",0.0574130139785896
8,"ut",0.0574130139785896
8,"winds",0.0574130139785896
8,"mph",0.0540357778622019
9,"show",0.024124163952457
9,"forward",0.0201034699924503
9,"message",0.0160827759939602
9,"thanks",0.0160827759939602
9,"looking",0.0160827759939602
9,"friday",0.0160827759939602
9,"back",0.0160827759939257
9,"great",0.0160485663113134
9,"tomorrow",0.0158645559495116
9,"murray",0.015304240691723
