"topic","term","beta"
1,"rt",0.0909090909090909
1,"last",0.0909090909090909
1,"louis",0.0909090909090909
1,"murphy",0.0909090909090909
1,"nfl",0.0909090909090909
1,"non",0.0909090909090909
1,"nru24p",0.0909090909090909
1,"profootballtalk",0.0909090909090909
1,"tinyurl.com",0.0909090909090909
1,"touchdown",0.0909090909090909
1,"word",0.0909090909090909
2,"butterbeer",0.0625
2,"catherinegilb",0.0625
2,"age",0.0625
2,"apx",0.0625
2,"correctly",0.0625
2,"drinking",0.0625
2,"legal",0.0625
2,"understand",0.0625
2,"wizarding",0.0625
2,"world",0.0625
2,"hermoine",0.0625
2,"blood",0.0625
2,"drunk",0.0625
2,"get",0.0625
2,"half",0.0625
2,"prince",0.0625
3,"catherinegilb",0.142857142857143
3,"called",0.142857142857143
3,"daughters",0.142857142857143
3,"good",0.142857142857143
3,"pancakes",0.142857142857143
3,"stuffed",0.142857142857143
3,"ugh",0.142857142857143
3,"music",5.07666154458987e-104
3,"old",4.71598222794405e-104
3,"butterbeer",4.40420093511595e-104
4,"kanye",0.1
4,"music",0.05
4,"country",0.05
4,"danecook",0.05
4,"incredible",0.05
4,"kanyunt",0.05
4,"like",0.05
4,"made",0.05
4,"now",0.05
4,"rt",0.05
4,"something",0.05
4,"tonight",0.05
4,"catherinegilb",0.05
4,"kind",0.05
4,"oh",0.05
4,"old",0.05
4,"pub",0.05
4,"vibes",0.05
4,"yeah",0.05
5,"fuck",0.0833333333333333
5,"language",0.0833333333333333
5,"ground",0.0833333333333333
5,"now",0.0416666666666667
5,"poor",0.0416666666666667
5,"raiders",0.0416666666666667
5,"sorry",0.0416666666666667
5,"brutal",0.0416666666666667
5,"call",0.0416666666666667
5,"causes",0.0416666666666667
5,"fumble",0.0416666666666667
5,"pardon",0.0416666666666667
5,"refs",0.0416666666666667
5,"catherinegilb",0.0416666666666667
5,"vibes",0.0416666666666667
5,"yeah",0.0416666666666667
5,"club",0.0416666666666667
5,"just",0.0416666666666667
5,"main",0.0416666666666667
5,"st",0.0416666666666667
5,"zero",0.0416666666666667
6,"butterbeer",0.08
6,"catherinegilb",0.08
6,"harry",0.08
6,"hermoine",0.08
6,"ron",0.08
6,"first",0.04
6,"drinking",0.04
6,"azkaban",0.04
6,"prisoner",0.04
6,"hogsmeade",0.04
6,"tell",0.04
6,"trip",0.04
6,"trying",0.04
6,"act",0.04
6,"going",0.04
6,"insinuating",0.04
6,"party",0.04
6,"slughornes",0.04
6,"thus",0.04
6,"wonder",0.04
7,"catherinegilb",0.230769230769231
7,"old",0.0769230769230769
7,"azkaban",0.0769230769230769
7,"prisoner",0.0769230769230769
7,"get",0.0769230769230769
7,"home",0.0769230769230769
7,"lol",0.0769230769230769
7,"references",0.0769230769230769
7,"insinuating",0.0769230769230769
7,"effects",0.0769230769230769
7,"inhibiting",0.0769230769230769
8,"butterbeer",0.1
8,"bmslou",0.05
8,"deleting",0.05
8,"music",0.05
8,"pc",0.05
8,"catherinegilb",0.05
8,"back",0.05
8,"cream",0.05
8,"ice",0.05
8,"pie",0.05
8,"pumpkin",0.05
8,"woohoo",0.05
8,"brought",0.05
8,"hogwarts",0.05
8,"really",0.05
8,"say",0.05
8,"served",0.05
8,"warms",0.05
8,"wish",0.05
9,"chicago",0.0769230769230769
9,"cutler",0.0769230769230769
9,"go",0.0769230769230769
9,"worth",0.0769230769230769
9,"adam_schefter",0.0769230769230769
9,"coast",0.0769230769230769
9,"deal",0.0769230769230769
9,"first",0.0769230769230769
9,"game",0.0769230769230769
9,"missing",0.0769230769230769
9,"people",0.0769230769230769
9,"west",0.0769230769230769
9,"work",0.0769230769230769
