"topic","term","beta"
1,"rt",0.00944715309689168
1,"anyone",0.00884223866419604
1,"looking",0.00820646546369763
1,"see",0.00789542107177782
1,"trying",0.00758920006431359
1,"time",0.00731674413150472
1,"ready",0.00658096173002359
1,"patriots",0.00607107752390725
1,"west",0.00605662848298328
1,"always",0.00605596882253448
2,"get",0.0203042181546097
2,"really",0.0159106996176921
2,"back",0.0142698546096514
2,"go",0.0139866059396279
2,"just",0.0139242721867802
2,"car",0.0110683127775239
2,"days",0.00968011514233721
2,"can",0.00934342309921896
2,"ready",0.00909982790231097
2,"day",0.00891384256386069
3,"lol",0.025955055465264
3,"good",0.0160025796487196
3,"rt",0.0125720425141029
3,"now",0.0125446687565926
3,"think",0.0121026847625519
3,"know",0.0113425117672621
3,"yeah",0.0110902313347963
3,"morning",0.0106665237240396
3,"like",0.00945599812621922
3,"day",0.00807701721718248
4,"tinyurl.com",0.0238890991837052
4,"love",0.0234486835154854
4,"acne",0.0161827093809979
4,"rt",0.0117457528986
4,"like",0.011728122105898
4,"first",0.00988179592763254
4,"via",0.00928919853239663
4,"ya",0.0089903941057133
4,"video",0.00835874801861749
4,"article",0.00809135469712001
5,"rt",0.0498193995260819
5,"day",0.0191921211099767
5,"today",0.011765926444145
5,"must",0.0115170865176049
5,"just",0.0100450825617536
5,"play",0.00987178945268351
5,"tonight",0.0090510230661572
5,"show",0.00904914031631052
5,"see",0.0087438625254804
5,"coming",0.00822647085734846
6,"night",0.0146836651861581
6,"last",0.0132887732442819
6,"much",0.0114802157433454
6,"happy",0.0110007911205355
6,"new",0.0104796226564799
6,"ask",0.0103627677799382
6,"week",0.0103263291141289
6,"rt",0.00993303117005478
6,"right",0.00956563592550658
6,"home",0.00906239581057946
7,"tinyurl.com",0.0424755395594736
7,"one",0.0412482758519212
7,"visit",0.0361341436032579
7,"oneyearbibleonline.com",0.0326927965934238
7,"readings",0.0326927965934238
7,"little",0.0258101025722893
7,"year",0.0234190542623903
7,"rock",0.0189274085540859
7,"chronological",0.0154860615442534
7,"ar",0.0154860615442534
8,"ow.ly",0.023076144622393
8,"best",0.0154759586068131
8,"just",0.0131345208945093
8,"social",0.0124821763935057
8,"twitter",0.0116918930603727
8,"krisallen4real",0.0114356633498075
8,"thanks",0.0110055655277897
8,"well",0.0104917303047219
8,"say",0.0102194538639326
8,"please",0.00943334202824556
9,"going",0.014613389582757
9,"local",0.00958477178061397
9,"krisallen4real",0.00915828499820937
9,"jets",0.00879614006089915
9,"looks",0.00879614006089915
9,"twitpic.com",0.00865391790202405
9,"like",0.00850379178498652
9,"time",0.00760450670823534
9,"via",0.00677597347161816
9,"good",0.00660685883487873
