"topic","term","beta"
1,"santa",0.0402858480565893
1,"rosa",0.0395790787924387
1,"u",0.0293439684859432
1,"ca",0.0200131037502722
1,"press",0.0162556930754653
1,"democrat",0.0106015389622603
1,"coming",0.00706769264128797
1,"tweets",0.00636091509538583
1,"like",0.00587349170097404
1,"just",0.0054610827197098
2,"time",0.0163812552823815
2,"c",0.0150395378886355
2,"s",0.0148243370373036
2,"wind",0.0134124954147033
2,"dub",0.0134124954147033
2,"pm",0.0128970473329089
2,"thanks",0.00988289135820244
2,"via",0.00773619502112422
2,"us",0.00773508591564612
2,"tplezya",0.00705920811300175
3,"good",0.0269715017592464
3,"just",0.0203463816290137
3,"going",0.0185486918305128
3,"got",0.0132205846979211
3,"twitpic.com",0.011966787440251
3,"go",0.00988817424624018
3,"bill",0.0091300047519983
3,"morning",0.00912954681006151
3,"right",0.00895469922098273
3,"get",0.00758806128382639
4,"tinyurl.com",0.0249366109812829
4,"new",0.0181683472841395
4,"just",0.0139896755257095
4,"jamaica",0.0115268800115163
4,"blogherfood09",0.0115268504753953
4,"bolt",0.010086020010064
4,"need",0.0100148728062208
4,"rt",0.00846833892189609
4,"sports",0.00792440901944612
4,"like",0.00752620744937676
5,"know",0.0287209607088948
5,"humanitas",0.0134671278520639
5,"say",0.0126952860424762
5,"stop",0.0108994674296891
5,"love",0.0103640070251027
5,"pinot",0.00972625900426839
5,"rt",0.00953014695851055
5,"hi",0.00897808523470928
5,"let",0.00896132476731087
5,"just",0.00834897422642069
6,"see",0.013692973331189
6,"go",0.0110570002568513
6,"can",0.00822875871972948
6,"just",0.00804112206069136
6,"rt",0.0076345432825234
6,"indyundead",0.00673431604795848
6,"tomorrow",0.00673295840925008
6,"better",0.00593584349286442
6,"okay",0.00550989494832966
6,"watch",0.005296931316109
7,"great",0.016027239251201
7,"one",0.0122941209184318
7,"week",0.0100033782247602
7,"just",0.00984787950516335
7,"rt",0.00933351386744918
7,"get",0.00901010009615864
7,"like",0.00897627225755153
7,"see",0.00893180940491502
7,"now",0.00821797948838313
7,"thanks",0.007636610951067
8,"love",0.0159424301302957
8,"twitter",0.0148849968527288
8,"show",0.0148365397580052
8,"tinyurl.com",0.0145450887626183
8,"come",0.0122829958029998
8,"like",0.011103285304702
8,"jamaican",0.0103956189444296
8,"way",0.0100402586093832
8,"rt",0.00838833663109585
8,"site",0.00779671419293779
9,"today",0.0149780102754448
9,"get",0.00962570282317059
9,"looking",0.00848625603244714
9,"san",0.00788081432476408
9,"days",0.00722407979770312
9,"new",0.00708588608839223
9,"great",0.00695352759223874
9,"working",0.0059106107330596
9,"another",0.00584080698517776
9,"gonna",0.00564313285608297
