"topic","term","beta"
1,"bill",0.0287469747012132
1,"hc",0.0255528664010784
1,"ob",0.0229975797609706
1,"page",0.0172481848207207
1,"never",0.0140540763448427
1,"awesome",0.0121318300492604
1,"man",0.0116373102411505
1,"u",0.0089939034725711
1,"acorn",0.00894350324037745
1,"govt",0.00857696605701492
2,"found",0.0175316745771306
2,"geocache",0.0131570749588619
2,"coord.info",0.012530547579889
2,"now",0.0109684429818717
2,"rt",0.00874882034407347
2,"last",0.0083671028371625
2,"hot",0.00814485583169956
2,"thank",0.00751832854771838
2,"w",0.00707421576168019
2,"right",0.00659670666680249
3,"pst",0.0247543143287659
3,"sep",0.0247543143287659
3,"just",0.0216398541827878
3,"got",0.0160274922751395
3,"wed",0.0154714464554787
3,"need",0.0140670828959595
3,"spokane",0.0107557365645317
3,"say",0.0105205835897111
3,"tue",0.00990172573150635
3,"now",0.00860829047843133
4,"new",0.0404251687897958
4,"post",0.0162889182797838
4,"just",0.0138125300869775
4,"cli.gs",0.0135740985674064
4,"day",0.0132616795258089
4,"one",0.0122636778503832
4,"rt",0.00949133916721898
4,"wall",0.00882316406881416
4,"qwkq",0.00865465521044712
4,"ow.ly",0.00865458649663211
5,"rt",0.0201402381640193
5,"spokane",0.0189801140462625
5,"weekend",0.0165790240391376
5,"great",0.0106382311389028
5,"us",0.0104990751909284
5,"forward",0.00988172597065778
5,"follow",0.00988172597065768
5,"looking",0.00926411809749167
5,"mini",0.00915949312826366
5,"adoptamini",0.00872210719333588
6,"good",0.0240878096580803
6,"know",0.0199163759996837
6,"time",0.0166067367168445
6,"get",0.016387718386353
6,"just",0.0126257277532796
6,"like",0.0124876459497011
6,"can",0.0121620397314165
6,"going",0.0115679830386722
6,"see",0.00881376314728314
6,"bed",0.00808476643740818
7,"home",0.0149272681361085
7,"cool",0.0139644752635086
7,"make",0.0101159865641917
7,"adoptamini",0.0100338747016705
7,"day",0.0100074893082125
7,"face",0.00997619462742863
7,"hour",0.00931116093970846
7,"beautiful",0.00864608434344738
7,"lost",0.0086460494960497
7,"ow.ly",0.00681602835315022
8,"rt",0.0156413127177952
8,"know",0.0111166727081191
8,"long",0.0109768557584643
8,"facebook",0.0103829476867844
8,"work",0.00989330715409155
8,"life",0.00934751804395174
8,"free",0.00854917181211325
8,"back",0.00842989426476935
8,"day",0.00741791128396281
8,"ya",0.00609568789221995
9,"just",0.0238721181698063
9,"can",0.014885232052074
9,"marijuana",0.0142711532449527
9,"best",0.0138931958662399
9,"wa",0.0136224158964351
9,"medical",0.0129737756772296
9,"new",0.0113116955686859
9,"health",0.00840025596331188
9,"like",0.00834032554254419
9,"read",0.00778426313432986
