"topic","term","beta"
1,"sick",0.959999999999194
1,"fml",0.0400000000008052
1,"ugh",5.15230827602914e-95
1,"soon",4.55780626974784e-95
1,"bed",3.37550014100054e-95
1,"eating",3.31135311290621e-95
1,"crackers",1.57947840617296e-95
1,"going",1.80934830273662e-113
1,"much",6.41261332606265e-176
1,"ahh",4.77244052990562e-221
1,"girl",4.77244052990562e-221
1,"gossip",4.77244052990562e-221
2,"movies",0.25
2,"ears",0.0833333333333333
2,"getting",0.0833333333333333
2,"clean",0.0833333333333333
2,"going",0.0833333333333333
2,"gross",0.0833333333333333
2,"itchy",0.0833333333333333
2,"sleep",0.0833333333333333
2,"home",0.0833333333333333
2,"better",0.0833333333333333
3,"going",0.199999999989935
3,"ugh",0.0999999999949677
3,"hamster",0.0999999999949677
3,"hate",0.0999999999949677
3,"return",0.0999999999949677
3,"bed",0.0999999999949677
3,"crackers",0.0999999999949677
3,"eating",0.0999999999949677
3,"soon",0.0999999999949677
3,"sick",5.03228929313103e-11
4,"love",0.0869565217391304
4,"bestest",0.0434782608695652
4,"catherine",0.0434782608695652
4,"cecilia",0.0434782608695652
4,"cleans",0.0434782608695652
4,"d",0.0434782608695652
4,"ears",0.0434782608695652
4,"friend",0.0434782608695652
4,"heals",0.0434782608695652
4,"infected",0.0434782608695652
4,"stephany",0.0434782608695652
4,"beatles",0.0434782608695652
4,"billy_jo",0.0434782608695652
4,"cc_s",0.0434782608695652
4,"finished",0.0434782608695652
4,"fun",0.0434782608695652
4,"life",0.0434782608695652
4,"regular",0.0434782608695652
4,"rockband",0.0434782608695652
4,"season",0.0434782608695652
4,"supernatural",0.0434782608695652
4,"today",0.0434782608695652
5,"shelbysunshine",0.0952380952380952
5,"getting",0.0476190476190476
5,"dick",0.0476190476190476
5,"hey",0.0476190476190476
5,"homeworkkk",0.0476190476190476
5,"lolol",0.0476190476190476
5,"lot",0.0476190476190476
5,"parking",0.0476190476190476
5,"reading",0.0476190476190476
5,"suck",0.0476190476190476
5,"try",0.0476190476190476
5,"way",0.0476190476190476
5,"changing",0.0476190476190476
5,"name",0.0476190476190476
5,"sickkk",0.0476190476190476
5,"twitter",0.0476190476190476
5,"lol",0.0476190476190476
5,"nvm",0.0476190476190476
5,"taken",0.0476190476190476
5,"yo",0.0476190476190476
6,"finished",0.125
6,"good",0.125
6,"now",0.125
6,"going",0.125
6,"sleep",0.125
6,"book",0.125
6,"feels",0.125
6,"home",0.125
6,"much",1.07525185529835e-131
6,"ahh",2.25547120284539e-176
6,"girl",2.25547120284539e-176
6,"gossip",2.25547120284539e-176
7,"dumb",0.1875
7,"school",0.125
7,"today",0.0625
7,"want",0.0625
7,"coughning",0.0625
7,"get",0.0625
7,"go",0.0625
7,"headache",0.0625
7,"stop",0.0625
7,"annoyed",0.0625
7,"family",0.0625
7,"severly",0.0625
7,"sickness",0.0625
8,"please",0.0869565217391304
8,"school",0.0869565217391304
8,"beatles",0.0434782608695652
8,"crash",0.0434782608695652
8,"effing",0.0434782608695652
8,"good",0.0434782608695652
8,"movie",0.0434782608695652
8,"watching",0.0434782608695652
8,"getting",0.0434782608695652
8,"help",0.0434782608695652
8,"listening",0.0434782608695652
8,"ready",0.0434782608695652
8,"kill",0.0434782608695652
8,"now",0.0434782608695652
8,"stuck",0.0434782608695652
8,"ugh",0.0434782608695652
8,"want",0.0434782608695652
8,"ahh",0.0434782608695652
8,"girl",0.0434782608695652
8,"gossip",0.0434782608695652
8,"much",0.0434782608695652
9,"gaga",0.0625
9,"j_roger12",0.0625
9,"lady",0.0625
9,"penish",0.0625
9,"movie",0.0625
9,"watching",0.0625
9,"breakfast",0.0625
9,"classy",0.0625
9,"lovely",0.0625
9,"tiffinay's",0.0625
9,"homeworkkk",0.0625
9,"bro",0.0625
9,"died",0.0625
9,"swayze",0.0625
9,"tonight's",0.0625
9,"wah",0.0625
