"topic","term","beta"
1,"love",0.0265024932296207
1,"great",0.0265024932289444
1,"text",0.0198768699222155
1,"twitter",0.0198768699222155
1,"time",0.0198768699222155
1,"bed",0.0198768699222155
1,"admiralperry",0.0139895793775945
1,"true",0.0132512466148103
1,"going",0.0132512466148103
1,"keep",0.0132512466148103
1,"rocking",0.0132512466148103
1,"guys",0.0132512466148103
1,"sister",0.0132512466148103
1,"things",0.0132512466148103
1,"oh",0.0132512466148103
2,"actors",0.0151858638735368
2,"3d",0.0151858638735368
2,"people",0.0151858638735368
2,"year",0.0151858638735368
2,"billieperry",0.0151858638735368
2,"can",0.0151858638735368
2,"go",0.0151858638735368
2,"younger",0.0151858638735368
2,"ibc2009",0.0151858638735368
2,"acoustic",0.0151858638735368
2,"linear",0.0151858638735368
2,"metadata",0.0151858638735368
2,"radio",0.0151858638735368
2,"xm",0.0151858638735368
2,"thinks",0.0151858638735368
3,"just",0.0197368685058368
3,"people",0.0197368685058368
3,"still",0.0197368685058368
3,"awesome",0.0197368685058368
3,"aweatherhead85",0.0197368685057049
3,"really",0.0131579123372245
3,"florida",0.0131579123372245
3,"looking",0.0131579123372245
3,"bar",0.0131579123372245
3,"cream",0.0131579123372245
3,"ice",0.0131579123372245
3,"chocolate",0.0131579123372245
3,"shirt",0.0131579123372245
3,"wants",0.0131579123372245
3,"felicialuvsdew",0.0131579123372245
3,"gonna",0.0131579123372245
3,"hey",0.0131579123372245
3,"loves",0.0131579123372245
3,"idol",0.0131579123372245
3,"ftw",0.0131579123372245
3,"lol",0.0131579123372245
4,"just",0.0298894461002724
4,"omg",0.0298894461002724
4,"get",0.0224170845716099
4,"like",0.0223838029639843
4,"now",0.0211547022810302
4,"wire",0.0149447230501362
4,"know",0.0149447230501362
4,"started",0.0149447230501362
4,"night",0.0149447230501362
4,"sat",0.0149447230501362
4,"freezing",0.0149447230501362
4,"open",0.0149447230501362
4,"costume",0.0149447230501362
4,"halloween",0.0149447230501362
4,"need",0.0149447230501362
4,"pic",0.0149447230501362
4,"rollerderbychik",0.0149447230501362
4,"late",0.0149447230501362
5,"reed",0.0205479452068136
5,"news",0.0205479452068136
5,"ashley",0.0205479452068136
5,"congratulations",0.0205479452068136
5,"great",0.0205479452068136
5,"ibc2009",0.0205479452068136
5,"video",0.0205479452068136
5,"show",0.0136986301378757
5,"brown",0.0136986301378757
5,"dana",0.0136986301378757
5,"next",0.0136986301378757
5,"announces",0.0136986301378757
5,"shows",0.0136986301378757
5,"forget",0.0136986301378757
5,"coming",0.0136986301378757
5,"day",0.0136986301378757
5,"ibc",0.0136986301378757
5,"rt",0.0136986301378757
5,"see",0.0136986301378757
6,"clear",0.037763510389418
6,"com",0.0307550019534899
6,"ibc2009",0.0307446329252669
6,"back",0.0251789789730163
6,"hybrid",0.0188842342297622
6,"network",0.0188842342297622
6,"katy_stephens",0.0188842342297622
6,"love",0.0125894894865081
6,"just",0.0125894894865081
6,"got",0.0125894894865081
6,"one",0.0125894894865081
6,"phone",0.0125894894865081
6,"lnk.ms",0.0125894894865081
6,"broookiebaby",0.0125894894865081
6,"horse",0.0125894894865081
6,"shoe",0.0125894894865081
6,"party",0.0125894894865081
7,"blip.fm",0.09999999999999
7,"listening",0.0949999999999905
7,"little",0.0349999999999965
7,"ann",0.0249999999999975
7,"margret",0.019999999999998
7,"tommy",0.019999999999998
7,"james",0.0149999999999985
7,"loretta",0.0149999999999985
7,"lynn",0.0149999999999985
7,"just",0.009999999999999
7,"yes",0.009999999999999
7,"way",0.009999999999999
7,"ibc2009",0.009999999999999
7,"series",0.009999999999999
7,"business",0.009999999999999
7,"mind",0.009999999999999
7,"elvis",0.009999999999999
7,"re",0.009999999999999
7,"shondells",0.009999999999999
7,"lovin",0.009999999999999
7,"t",0.009999999999999
8,"nurse",0.0242560517343997
8,"everyone",0.0242560517343997
8,"begins",0.0242560517343997
8,"tickets",0.0242560517343997
8,"willy",0.0242560517343997
8,"wonka",0.0242560517343997
8,"come",0.0242560517343997
8,"admiralperry",0.0233550528466785
8,"baby",0.0161707011562665
8,"now",0.0161707011562665
8,"tomorrow",0.0161707011562665
8,"weekend",0.0161707011562665
8,"billieperry",0.0161707011562665
8,"takes",0.0161707011562665
9,"u",0.0258064644130396
9,"know",0.0258064644130396
9,"good",0.0258064644079001
9,"ur",0.0193548483097797
9,"seen",0.0193548483097797
9,"always",0.0129032322065198
9,"tell",0.0129032322065198
9,"billieperry",0.0129032322065198
9,"world",0.0129032322065198
9,"also",0.0129032322065198
9,"best",0.0129032322065198
9,"joeymcintyre",0.0129032322065198
9,"many",0.0129032322065198
