"topic","term","beta"
1,"need",0.0164106907318018
1,"facebook",0.013870696526328
1,"just",0.0138328849031935
1,"dj",0.011721921951287
1,"check",0.00937753756102958
1,"www.musicmasterdj.com",0.00937753756102958
1,"day",0.00937753756102958
1,"weekend",0.00937753756102958
1,"ani",0.00937753344788727
1,"d_u_c_k",0.00937731025434485
2,"lnk.ms",0.0805507957382088
2,"pc4pc",0.0521211031247234
2,"new",0.0450136788996297
2,"box",0.0379062568179801
2,"comment",0.0355371157666386
2,"truth",0.0355365535049624
2,"0lkzn",0.033167974715733
2,"txt",0.033167974715733
2,"hair",0.0189531284089903
2,"pic",0.0189531284089903
2,"tag",0.0189531284089903
3,"rt",0.0483867451405896
3,"wedding",0.0473628207098567
3,"ow.ly",0.0305163372065928
3,"weddzilla",0.0163090721048451
3,"going",0.00977393060443636
3,"new",0.0094836220974364
3,"news",0.0094836220974364
3,"live",0.0094836220974364
3,"rescue",0.0071127165730773
3,"fb",0.0071127165730773
3,"fox",0.0071127165730773
3,"j",0.0071127165730773
4,"like",0.0364842272401301
4,"really",0.0249442265490785
4,"rt",0.020799626012447
4,"just",0.0168073487457696
4,"crazy",0.0145597382087128
4,"bark",0.0124797756074682
4,"now",0.0116664958520928
4,"dog",0.0103998130062235
4,"house",0.0103998130062235
4,"school",0.0103998130012268
5,"rt",0.0269375361267496
5,"next",0.0146894546472446
5,"morning",0.0146894546472446
5,"twitter",0.0122412122060371
5,"rest",0.0122412107518683
5,"think",0.00831334401591634
5,"quanp",0.00734472732362228
5,"monday",0.00734472732362228
5,"hot",0.00734472732362228
5,"study",0.00734472732362228
5,"week",0.00734472732362228
5,"google",0.00734472732362228
5,"dinner",0.00734472732362228
5,"people",0.00734472732362228
5,"online",0.00734472732362228
5,"aimclear",0.00734472732362228
5,"great",0.00734472732362228
5,"made",0.00734472732362228
6,"show",0.0172084820018291
6,"watching",0.0147501342084467
6,"short.to",0.0142202822001549
6,"tyra",0.0122917785070389
6,"studying",0.0122917785070389
6,"fall",0.0120362232806666
6,"crowley",0.00737506710422333
6,"mr",0.00737506710422333
6,"gold",0.00737506710422333
6,"look",0.00737506710422333
6,"though",0.00737506710422333
6,"via",0.00737506710422333
6,"say",0.00737506710422333
6,"thing",0.00737506710422333
6,"still",0.00737506710422333
6,"better",0.00737506710422333
6,"hope",0.00737506710422333
6,"biochem",0.00737506710422333
7,"got",0.035131145674905
7,"going",0.0165402301724626
7,"love",0.0165323038625356
7,"today",0.0118999424794501
7,"work",0.0114198637502713
7,"sleep",0.0103326899140848
7,"last",0.0103326899140848
7,"boo",0.0082661519312678
7,"stars",0.0082661519312678
7,"better",0.00826615193126744
8,"make",0.0161241750243702
8,"soon",0.0145251935533916
8,"right",0.0145251935533889
8,"current",0.0145231732780017
8,"go",0.0124036912151683
8,"tinyurl.com",0.0123083039509004
8,"friday",0.0122279132691231
8,"day",0.0106658428905366
8,"long",0.0103751382524226
8,"best",0.0103751382524226
8,"guys",0.0103751382524226
8,"stages",0.0103751382524226
9,"yay",0.0170306000036086
9,"now",0.0149017779558909
9,"good",0.0149016988456201
9,"rt",0.0119496374052821
9,"just",0.0112520622401053
9,"going",0.0111360477619377
9,"time",0.0106441271113506
9,"chance",0.0106441271113506
9,"think",0.0106416789168497
9,"get",0.0102544443510638
