"topic","term","beta"
1,"bedtime",0.0847978678337192
1,"right",0.0847978678337192
1,"try",0.0847978678337192
1,"now",0.0672234538290859
1,"get",0.0423989339168596
1,"presentation",0.0423989339168596
1,"bit",0.0423989339168596
1,"definitely",0.0423989339168596
1,"long",0.0423989339168596
1,"minutes",0.0423989339168596
1,"needa",0.0423989339168596
1,"slower",0.0423989339168596
1,"talk",0.0423989339168596
1,"one",0.0423989339168596
1,"time",0.0423989339168596
1,"4th",0.0423989339168596
1,"answers",0.0423989339168596
1,"idea",0.0423989339168596
1,"possibly",0.0423989339168596
1,"way",0.0423989339168596
2,"pretty",0.0909090909090909
2,"get",0.0909090909090909
2,"use",0.0909090909090909
2,"cnkrox",0.0909090909090909
2,"picture",0.0454545454545454
2,"completely",0.0454545454545454
2,"honest",0.0454545454545454
2,"look",0.0454545454545454
2,"much",0.0454545454545454
2,"notice",0.0454545454545454
2,"probably",0.0454545454545454
2,"ugly",0.0454545454545454
2,"yeah",0.0454545454545454
2,"2ad",0.0454545454545454
2,"answer",0.0454545454545454
2,"vf2",0.0454545454545454
2,"vi",0.0454545454545454
2,"vi2",0.0454545454545454
3,"get",0.08
3,"cnkrox",0.08
3,"picture",0.04
3,"hand",0.04
3,"just",0.04
3,"notice",0.04
3,"heh",0.04
3,"amazing",0.04
3,"omgggggggggggg",0.04
3,"one",0.04
3,"placement",0.04
3,"subtle",0.04
3,"home",0.04
3,"time",0.04
3,"work",0.04
3,"btw",0.04
3,"feel",0.04
3,"leave",0.04
3,"lo",0.04
3,"ready",0.04
3,"rushed",0.04
3,"siento",0.04
3,"wanted",0.04
4,"cnkrox",0.133333333333333
4,"acceleration",0.133333333333333
4,"negative",0.133333333333333
4,"supposed",0.133333333333333
4,"believe",0.0666666666666667
4,"esplode",0.0666666666666667
4,"going",0.0666666666666667
4,"head",0.0666666666666667
4,"make",0.0666666666666667
4,"apparently",0.0666666666666667
4,"distance",0.0666666666666667
5,"drunk",0.0833333333333333
5,"cnkrox",0.0833333333333333
5,"haha",0.0833333333333333
5,"keeping",0.0833333333333333
5,"english",0.0833333333333333
5,"funny",0.0833333333333333
5,"guy",0.0833333333333333
5,"idk",0.0833333333333333
5,"show",0.0833333333333333
5,"though",0.0833333333333333
5,"tomorrow",0.0833333333333333
5,"version",0.0833333333333333
6,"bed",0.157894736842105
6,"go",0.105263157894737
6,"another",0.0526315789473684
6,"now",0.0526315789473684
6,"guess",0.0526315789473684
6,"presentation",0.0526315789473684
6,"run",0.0526315789473684
6,"something",0.0526315789473684
6,"actually",0.0526315789473684
6,"gonna",0.0526315789473684
6,"home",0.0526315789473684
6,"morning",0.0526315789473684
6,"okay",0.0526315789473684
6,"school",0.0526315789473684
6,"time",0.0526315789473684
6,"work",0.0526315789473684
7,"windows",0.153846153846154
7,"another",0.0769230769230769
7,"beer",0.0769230769230769
7,"drew",0.0769230769230769
7,"drunk",0.0769230769230769
7,"hand",0.0769230769230769
7,"just",0.0769230769230769
7,"looking",0.0769230769230769
7,"passed",0.0769230769230769
7,"people",0.0769230769230769
7,"train",0.0769230769230769
7,"xd",0.0769230769230769
8,"cnkrox",0.09375
8,"picture",0.0625
8,"use",0.03125
8,"draw",0.03125
8,"haha",0.03125
8,"idc",0.03125
8,"keeping",0.03125
8,"lose",0.03125
8,"meant",0.03125
8,"points",0.03125
8,"situation",0.03125
8,"thought",0.03125
8,"work",0.03125
8,"bad",0.03125
8,"fml",0.03125
8,"seriously",0.03125
8,"suck",0.03125
8,"wishing",0.03125
8,"2at2",0.03125
8,"certain",0.03125
8,"d",0.03125
8,"fairly",0.03125
8,"vit",0.03125
8,"blows",0.03125
8,"decided",0.03125
8,"hellllppp",0.03125
8,"neeeeeed",0.03125
8,"officially",0.03125
8,"physics",0.03125
9,"cnkrox",0.0786952289540677
9,"yet",0.0786952289540677
9,"soon",0.0786952289540648
9,"now",0.0556572525511912
9,"pretty",0.0393476144770338
9,"get",0.0393476144770338
9,"thought",0.0393476144770338
9,"funny",0.0393476144770338
9,"awkwardly",0.0393476144770338
9,"hahaha",0.0393476144770338
9,"heh",0.0393476144770338
9,"imaginable",0.0393476144770338
9,"jkjk",0.0393476144770338
9,"mention",0.0393476144770338
9,"realistically",0.0393476144770338
9,"well",0.0393476144770338
9,"definitely",0.0393476144770338
9,"even",0.0393476144770338
9,"know",0.0393476144770338
9,"let",0.0393476144770338
9,"looked",0.0393476144770338
9,"shall",0.0393476144770338
